section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005392703916,10.792684,5.792683,-3.109756,-0.279114,-0.963745,-0.290283,7.147577317306798,89.64236672015022,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005397643916,10.365854,5.97561,-3.292683,-0.278503,-0.963318,-0.292175,7.2958354403243675,89.28256419057521,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005402583916,9.939025,6.158537,-3.292683,-0.276123,-0.96167,-0.288147,7.444202000664831,88.92044424184354,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005407523916,9.817074,6.219512,-3.414634,-0.277527,-0.963684,-0.287598,7.5931175171980385,88.55782811651324,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005412463916,9.573171,6.097561,-3.719512,-0.279907,-0.966064,-0.283936,7.7419622075112215,88.19420789554806,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005417403916,9.085366,5.97561,-3.963415,-0.284058,-0.965271,-0.278564,7.891746165647362,87.8286914414494,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005422343916,8.719512,5.914634,-4.146341,-0.281616,-0.964111,-0.28241,8.040248340212855,87.46115665183004,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005427283916,8.536586,5.914634,-4.634146,-0.283508,-0.963867,-0.283875,8.189239478189478,87.09294504554464,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005432223916,8.47561,5.792683,-5.0,-0.282898,-0.970032,-0.282104,8.336403923333677,86.72417059415557,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005437163916,8.47561,5.609756,-5.182927,-0.280029,-0.968201,-0.280334,8.481493210126445,86.35517097223999,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005442103916,8.231708,5.609756,-5.365854,-0.282593,-0.964355,-0.278076,8.627694138548776,85.9854205097314,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005447043916,7.926829,5.426829,-5.670732,-0.278442,-0.966797,-0.278381,8.770754421125162,85.61364852028402,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005451983916,7.439024,5.121951,-5.670732,-0.281128,-0.961548,-0.278015,8.913644987726599,85.24002183464097,,,,,
6eba7490-7df9-497f-83cf-956bc8d9c191,56b44320-8521-480c-bb2a-bdc7c76b1641,1702042005456923916,6.768293,4.756098,-5.731708,-0.278015,-0.958923,-0.27832,9.053503776849595,84.86290221585034,,,,,
