section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1,1702041902363048335,1702041902491046335,127,593.568,732.853,3.745687830712961,-14.458073801264844
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,2,1702041902531094335,1702041902847164335,316,643.922,667.275,7.511261026730783,-9.516041443560855
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,3,1702041902883075335,1702041903075077335,192,619.752,707.852,5.721740779547907,-12.569754988669928
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,4,1702041903155070335,1702041904427017335,1271,578.698,907.876,2.7730980633660804,-27.645417995217727
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,5,1702041904491090335,1702041904859072335,367,636.679,621.187,6.92438256464012,-6.067846009065966
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,6,1702041905015086335,1702041906147092335,1132,583.403,897.396,3.140726506857256,-26.849630640122403
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,7,1702041906207260335,1702041906667072335,459,637.166,678.115,7.011650526696045,-10.331537418284011
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,8,1702041906747080335,1702041908031114335,1284,597.223,882.982,4.233650074470165,-25.75064072531528
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,9,1702041908091097335,1702041908519152335,428,648.361,633.424,7.813340353739115,-6.979814687827685
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,10,1702041908599085335,1702041908807086335,208,892.271,741.564,26.720574807078126,-14.624321341320824
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,11,1702041908827082335,1702041909031092335,204,868.945,720.356,24.799209761933245,-13.13938876101518
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,12,1702041909171113335,1702041909827068335,655,657.648,706.111,8.607415419544939,-12.413883344377805
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,13,1702041909903064335,1702041910991071335,1088,610.648,888.557,5.329073614380048,-26.159676807159162
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,14,1702041911063091335,1702041911511092335,448,700.793,634.951,11.76687105053096,-7.066937292860698
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,15,1702041911583100335,1702041912287099335,703,629.359,895.614,6.8634989518385,-26.671078834417905
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,16,1702041912379067335,1702041912747156335,368,916.981,669.637,28.22983924869135,-9.357929816990806
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,17,1702041912823103335,1702041913023057335,199,608.952,676.738,4.871336843761558,-10.24128946353883
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,18,1702041913051102335,1702041913943108335,892,668.556,654.9,9.359575798139183,-8.576169442106432
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,19,1702041914011077335,1702041914403094335,392,641.069,874.804,7.739020677639395,-25.08596129782615
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,20,1702041914475070335,1702041915023086335,548,664.775,616.785,9.035576808761391,-5.728511588770927
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,21,1702041915099057335,1702041915503122335,404,643.119,852.464,7.829997133023898,-23.40179347088622
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,22,1702041915571096335,1702041916367074335,795,658.623,604.92,8.564423908772113,-4.843399979113819
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,23,1702041916443046335,1702041916787107335,344,643.126,843.14,7.801929361136608,-22.7007878130967
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,24,1702041916823029335,1702041917103069335,280,622.201,795.06,6.041089127033948,-19.110918738759075
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,25,1702041917139078335,1702041918099109335,960,643.327,872.612,7.9128019354595756,-24.917701799294747
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,26,1702041918167120335,1702041919143097335,975,656.93,635.884,8.461446604494684,-7.160183490580419
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,27,1702041919211058335,1702041919939115335,728,619.939,857.567,5.99844094320892,-23.813225957973017
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,28,1702041919999089335,1702041920683102335,684,647.804,597.575,7.747125138493444,-4.296794005739229
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,29,1702041920755087335,1702041922183072335,1427,604.779,807.763,4.702481529686995,-20.078902525530857
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,30,1702041922219134335,1702041922427074335,207,652.234,820.197,8.452130307047106,-20.965976093493854
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,31,1702041922467118335,1702041923071092335,603,622.138,725.984,5.9260232051008295,-13.927950829315764
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,32,1702041923131451335,1702041924251145335,1119,615.622,863.349,5.667807703492217,-24.25317289579328
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,33,1702041924283031335,1702041924367055335,84,641.736,843.633,7.693248557502788,-22.739632502194045
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,34,1702041924431042335,1702041924631067335,200,790.095,756.825,18.920773167615916,-15.994900360371384
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,35,1702041924723047335,1702041925547094335,824,595.159,940.442,4.186594594430555,-30.103651026568414
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,36,1702041925607070335,1702041926363435335,756,646.348,651.379,7.677949164056357,-8.324755413924793
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,37,1702041926439045335,1702041927379049335,940,634.615,808.944,7.040243715105853,-20.141740611671455
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,38,1702041927479054335,1702041927739066335,260,821.44,671.55,20.96800681390039,-9.655076836940438
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,39,1702041927811066335,1702041928843087335,1032,650.809,854.17,8.44758771324189,-23.519506075898256
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,40,1702041928887183335,1702041929179120335,291,641.453,905.617,7.881789465486639,-27.409283107592074
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,41,1702041929231368335,1702041929555094335,323,636.505,731.467,7.034016933106155,-14.329161362805658
