section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902363048335,595.951,732.529,1.0,1,,3.927996628307114,-14.432774608313087
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902367026335,591.673,732.343,1.0,1,,3.600037546910091,-14.420538983885695
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902371039335,591.774,733.466,1.0,1,,3.6087043918479824,-14.504800182407125
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902379027335,593.343,730.102,1.0,1,,3.7260804690888327,-14.251661435781276
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902383037335,593.726,732.194,1.0,1,,3.757210814327192,-14.408552037673715
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902387026335,598.605,735.26,1.0,1,,4.1339671206890065,-14.636586377801569
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902391054335,593.783,729.281,1.0,1,,3.7590704205890395,-14.189848681643241
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902399066335,596.366,733.413,1.0,1,,3.9605966697823347,-14.49890449145401
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902403251335,593.369,733.538,1.0,1,,3.7309922869626972,-14.509545240216655
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902407071335,594.124,733.347,1.0,1,,3.788706583257882,-14.494884934923986
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902411065335,598.448,733.741,1.0,1,,4.120488341962763,-14.52265330842618
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902419062335,598.282,732.452,1.0,1,,4.106563598777556,-14.425944359279805
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902423077335,598.321,732.196,1.0,1,,4.109321151065583,-14.406720713154735
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902427076335,598.828,730.956,1.0,1,,4.147013992453367,-14.313419992912808
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902431120335,594.46,727.494,1.0,1,,3.8094489051201244,-14.0554051830002
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902439211335,593.631,730.601,1.0,1,,3.748605516026742,-14.288962188938287
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902443065335,595.687,731.475,1.0,1,,3.9068118200006814,-14.353763785619401
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902447054335,595.213,732.371,1.0,1,,3.8713124743568668,-14.421218193928343
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902451050335,591.011,730.41,1.0,1,,3.5477615032773824,-14.275679091241466
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902459038335,591.264,732.853,1.0,1,,3.569109094165431,-14.458992145800087
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902463068335,587.941,734.996,1.0,1,,3.3160919500271016,-14.621108359264145
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902467065335,586.132,734.946,1.0,1,,3.17729776321915,-14.618043110822335
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902471115335,587.103,733.916,1.0,1,,3.2509891426332276,-14.540335689442935
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902479064335,588.592,734.356,1.0,1,,3.365476477808782,-14.57281887218507
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902483044335,594.679,737.122,1.0,1,,3.8346040670086534,-14.77812512829205
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902487049335,590.449,738.741,1.0,1,,3.511457365965202,-14.901364807514362
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902491046335,591.991,735.929,1.0,,,3.627375622713313,-14.68962584986521
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902499059335,601.415,726.037,1.0,,,4.340412970944337,-13.94303628631752
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041902503077335,604.405,719.698,1.0,,,4.562919661095897,-13.465985768014649
