section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903270499335,-11.097561,-5.54878,1.707317,-0.064453,-0.890686,-0.555908,7.003501951178578,89.51848033557985,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903275439335,-10.853659,-5.365854,2.134146,-0.065247,-0.890015,-0.55957,7.008260536596623,89.03821460842232,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903280379335,-10.426829,-5.365854,2.5,-0.068909,-0.893494,-0.563049,7.014608428111387,88.56022588807502,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903285319335,-9.939025,-5.304878,2.743902,-0.069885,-0.897583,-0.567688,7.021566434444907,88.0847460837062,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903290259335,-9.390244,-5.060976,3.04878,-0.064636,-0.896545,-0.565247,7.027372472651621,87.61190220504363,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903295199335,-8.780488,-4.878049,3.353659,-0.068115,-0.891785,-0.563904,7.035923927337251,87.1423253915911,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903300139335,-8.109756,-4.634146,3.963415,-0.071106,-0.895752,-0.566406,7.047094550866319,86.67630560934327,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903305079335,-7.439024,-4.45122,4.268293,-0.067078,-0.901184,-0.569763,7.057286296800299,86.2136185802957,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903310019335,-6.890244,-4.268293,4.634146,-0.070496,-0.901489,-0.573669,7.070103131581675,85.75394611754905,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903314959335,-5.97561,-4.02439,4.817073,-0.072571,-0.905579,-0.577454,7.085061334621571,85.29906008087607,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903319899335,-5.060976,-3.841464,4.756098,-0.07428,-0.905823,-0.575806,7.101748000643283,84.84897485926399,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903324839335,-4.085366,-3.536585,4.573171,-0.071045,-0.900879,-0.575928,7.11868140146305,84.4038476137518,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903329779335,-3.414634,-3.231707,4.512195,-0.075195,-0.898621,-0.573792,7.139104560757829,83.96243463999974,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903334719335,-2.865854,-3.04878,4.512195,-0.077332,-0.895996,-0.569763,7.161575112806588,83.52408412946909,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903339659335,-2.195122,-2.804878,4.268293,-0.075439,-0.897583,-0.57489,7.184297134620806,83.08924654859709,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903344599335,-1.829268,-2.682927,4.268293,-0.074585,-0.893188,-0.575745,7.2074874129135935,82.65648552853247,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903349539335,-1.402439,-2.317073,4.268293,-0.075134,-0.889832,-0.573669,7.232929309526725,82.2261606721429,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903354479335,-1.097561,-2.012195,4.390244,-0.078308,-0.887939,-0.573242,7.26150641333254,81.79777239207522,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903359419335,-0.792683,-1.768293,4.329268,-0.081482,-0.882568,-0.573792,7.292925567386305,81.37134054510818,,,,,
7c7b9b00-4bfe-4091-9efe-e1e6a1f89484,a67904c8-b5b3-4c87-9d63-59ad7ad6c079,1702041903364359335,-0.609756,-1.585366,4.573171,-0.085632,-0.88208,-0.571655,7.327366497554465,80.94631293292235,,,,,
