section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820772896012,-0.792683,-22.256098,-25.42683,-0.049622,-0.93573,-0.467957,6.912238856689839,89.56896585548986,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820777836012,-0.426829,-22.134148,-24.45122,-0.04425,-0.936829,-0.466187,6.821338648810411,89.13980146636385,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820782776012,0.060976,-21.890244,-23.353659,-0.039612,-0.931763,-0.469849,6.728457903249421,88.71315351465552,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820787716012,0.182927,-21.829269,-22.439024,-0.040527,-0.93042,-0.468567,6.635220253966594,88.28732875983474,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820792656012,0.304878,-21.646341,-21.707317,-0.043152,-0.933533,-0.465515,6.542976972768599,87.86236450311065,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820797596012,0.609756,-21.219513,-20.731709,-0.041077,-0.932495,-0.46405,6.451015670074213,87.43907387868671,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820802536012,0.914634,-20.975611,-20.060976,-0.041931,-0.927979,-0.465149,6.359821076835914,87.01752709770608,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820807476012,1.402439,-20.731709,-19.268293,-0.045227,-0.927429,-0.461182,6.270549020659075,86.59866560940975,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820812416012,2.195122,-20.121952,-18.231709,-0.044067,-0.932678,-0.453247,6.18309285617903,86.18389515546295,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820817356012,3.109756,-19.634148,-17.012196,-0.04071,-0.942749,-0.452576,6.095943787625714,85.77376275431197,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820822296012,4.268293,-18.963415,-16.097561,-0.040405,-0.949768,-0.456482,6.0113759036472345,85.36954370162164,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820827236012,5.914634,-18.414635,-14.817074,-0.041748,-0.950134,-0.457458,5.929868995447805,84.97363656220813,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820832176012,7.378049,-17.621952,-13.597561,-0.041016,-0.94458,-0.456909,5.8519101666626625,84.58510554038259,,,,,
c74d2b41-048e-481f-af72-30d37bae52c0,d32e8f0c-813a-4372-a24e-82811b622a7d,1702041820837116012,8.841464,-16.95122,-12.195122,-0.038879,-0.936646,-0.45874,5.776488713300523,84.20390109191294,,,,,
