section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703895624853,-4.390244,-15.487805,1.95122,-0.058533,-0.942932,-0.474487,6.950034538269108,89.55131553501326,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703900564853,-4.512195,-14.634147,2.195122,-0.063049,-0.943115,-0.481506,6.906115184092357,89.10215479528483,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703905504853,-4.634146,-13.841464,2.378049,-0.068909,-0.945374,-0.476135,6.868508889273613,88.65258774813856,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703910444853,-4.634146,-13.170732,2.743902,-0.067078,-0.942932,-0.467468,6.833403048625371,88.20301225058228,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703915384853,-4.45122,-12.560976,2.804878,-0.074402,-0.941101,-0.474487,6.804509900095553,87.7546492519453,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703920324853,-4.45122,-11.95122,3.04878,-0.073364,-0.937561,-0.480164,6.7782367743810426,87.30634785081088,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703925264853,-4.329268,-11.219512,2.987805,-0.074341,-0.940613,-0.474121,6.755847339903596,86.8587921011042,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703930204853,-4.512195,-10.54878,3.292683,-0.073059,-0.946045,-0.468079,6.736097537670332,86.41041220416025,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703935144853,-4.146341,-9.878049,3.536585,-0.078369,-0.945923,-0.472412,6.7220192791753846,85.96416719237948,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703940084853,-4.02439,-9.45122,3.780488,-0.08606,-0.941284,-0.472534,6.71364303641451,85.51898443662776,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703945024853,-3.902439,-9.085366,4.146341,-0.085815,-0.938293,-0.469116,6.707267920979518,85.07459549965358,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703949964853,-3.597561,-8.414635,4.45122,-0.083435,-0.937988,-0.472717,6.703343003342582,84.6318345423361,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703954904853,-3.536585,-7.926829,4.45122,-0.087158,-0.940186,-0.46637,6.703452176845559,84.18974297492923,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703959844853,-3.597561,-7.5,4.45122,-0.089539,-0.941711,-0.460999,6.706739673687281,83.74769161749299,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703964784853,-3.719512,-7.073171,4.329268,-0.088989,-0.941101,-0.467163,6.711899593235273,83.30528780750808,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703969724853,-3.902439,-6.707317,4.268293,-0.092896,-0.938782,-0.466553,6.720666779538419,82.86242405162841,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703974664853,-4.02439,-6.402439,4.268293,-0.097351,-0.937561,-0.467896,6.732954166341386,82.41943818817924,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703979604853,-4.146341,-6.036585,4.329268,-0.099365,-0.933777,-0.467285,6.748185128697827,81.97626218707506,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703984544853,-4.329268,-5.853659,4.329268,-0.095703,-0.932434,-0.464355,6.762944162452413,81.53237499152584,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703989484853,-4.45122,-5.54878,4.45122,-0.101257,-0.930237,-0.461243,6.781854774292981,81.08846583616855,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703994424853,-4.756098,-5.304878,4.573171,-0.102417,-0.9328,-0.46228,6.802540068860111,80.64344461622142,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041703999364853,-4.939024,-5.243903,4.756098,-0.102966,-0.934204,-0.464172,6.82395295647288,80.19790268576605,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704004304853,-5.0,-5.0,4.634146,-0.105164,-0.930115,-0.463318,6.8476775800589,79.75255399481898,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704009244853,-5.426829,-5.060976,4.45122,-0.103821,-0.933167,-0.463257,6.87038351224237,79.30542593533829,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704014184853,-5.792683,-4.939024,4.45122,-0.106873,-0.935913,-0.46521,6.894933254148015,78.85700942929304,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704019124853,-6.280488,-4.878049,4.268293,-0.109192,-0.934204,-0.466797,6.920737712064636,78.40670247008677,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704024064853,-6.890244,-4.756098,4.085366,-0.105957,-0.937195,-0.465942,6.945616047860824,77.9536676321988,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704029004853,-7.256098,-4.817073,3.902439,-0.103821,-0.934265,-0.467529,6.969352564452294,77.4991815934103,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704033944853,-7.5,-4.756098,3.963415,-0.111572,-0.932312,-0.468994,6.996789566084885,77.04426215142598,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704038884853,-7.682927,-4.817073,3.841464,-0.108826,-0.931824,-0.46875,7.022805136157672,76.58877856041227,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704043824853,-7.743903,-4.756098,3.902439,-0.110413,-0.934326,-0.469666,7.049813410615627,76.13351042173315,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704048764853,-7.865854,-4.695122,3.902439,-0.11676,-0.932495,-0.47229,7.079834493800831,75.6783787523421,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704053704853,-7.987805,-4.634146,4.02439,-0.11084,-0.932922,-0.473145,7.1079861268218,75.22286084480538,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704058644853,-8.04878,-4.512195,3.963415,-0.111206,-0.934448,-0.474304,7.1368197232888235,74.76752828880512,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704063584853,-7.987805,-4.45122,4.085366,-0.110596,-0.934387,-0.474854,7.165962105179148,74.31295747412241,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704068524853,-7.804878,-4.390244,4.146341,-0.11322,-0.938477,-0.47406,7.196466522051196,73.85988377070947,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704073464853,-7.743903,-4.268293,4.146341,-0.114075,-0.94104,-0.474243,7.227887136567176,73.40763532134588,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704078404853,-7.743903,-3.963415,4.207317,-0.111084,-0.943481,-0.481445,7.259592630983434,72.95572421718941,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704083344853,-7.560976,-3.841464,4.02439,-0.109497,-0.946655,-0.481812,7.290963676643514,72.50514523043586,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704088284853,-7.317073,-3.597561,3.841464,-0.109192,-0.949646,-0.480835,7.323083381414307,72.05625945116998,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704093224853,-6.829268,-3.231707,3.597561,-0.112915,-0.952393,-0.483337,7.357946264937681,71.61040668219457,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704098164853,-6.463415,-2.987805,3.292683,-0.111816,-0.951538,-0.481689,7.39317877299078,71.16682585310372,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704103104853,-6.036585,-2.682927,2.926829,-0.114563,-0.950806,-0.483276,7.430383045536729,70.72594407914039,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704108044853,-5.365854,-2.317073,2.682927,-0.117615,-0.946594,-0.495544,7.47015176682541,70.28891260044537,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704112984853,-5.121951,-2.012195,2.378049,-0.117493,-0.942078,-0.496521,7.510988125647856,69.85356441210877,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704117924853,-4.939024,-1.646341,2.195122,-0.112,-0.942139,-0.497803,7.551096655718595,69.41937968123597,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704122864853,-4.939024,-1.402439,2.195122,-0.113647,-0.9422,-0.495117,7.592996956311254,68.98577480431115,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704127804853,-4.878049,-0.97561,1.829268,-0.114746,-0.947449,-0.496887,7.636398806667472,68.55297248584293,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704132744853,-4.573171,-0.548781,1.341463,-0.116821,-0.946472,-0.499756,7.681651583015537,68.12219933476649,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704137684853,-4.146341,-0.365854,0.853659,-0.11969,-0.947021,-0.499146,7.727864823257079,67.69411656935279,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704142624853,-3.597561,-0.304878,0.365854,-0.1203,-0.948547,-0.496277,7.773569308510417,67.26925394832148,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704147564853,-3.109756,-0.121951,0.0,-0.118713,-0.94812,-0.496216,7.818739651645757,66.84719835705582,,,,,
76a80711-825c-4039-985b-ac467df0f2fb,83c36bd2-8587-4d48-8516-c64985b780ec,1702041704152504853,-2.804878,0.0,-0.060976,-0.115601,-0.940918,-0.49707,7.863357951895267,66.42699538655589,,,,,
