section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1,1702040728012259616,1702040728274795616,262,842.369,710.376,22.713254407884286,-12.467253920071027
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,2,1702040728506669616,1702040728574676616,68,457.528,909.397,-7.113370168392122,-27.708713225018297
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,3,1702040729090630616,1702040729198677616,108,551.665,772.206,0.5396152013520584,-17.425032902951024
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,4,1702040729498683616,1702040729578682616,79,731.899,820.667,14.716085115672795,-20.861505549825665
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,5,1702040729638657616,1702040729930697616,292,519.174,800.768,-1.9927731721652837,-19.569691364740237
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,6,1702040729950705616,1702040730126739616,176,486.544,775.187,-4.505509466742394,-17.632190054038457
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,7,1702040730218715616,1702040730298667616,79,524.069,768.204,-1.5949305144042945,-17.122355908364195
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,8,1702040730334806616,1702040731026707616,691,475.267,766.204,-5.365694624682942,-16.950593664702346
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,9,1702040731074762616,1702040731270747616,195,646.926,767.583,7.9038365426551405,-17.026706588416154
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,10,1702040731410705616,1702040731470732616,60,429.668,724.033,-8.797930208250897,-13.753105290005008
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,11,1702040731530743616,1702040731662685616,131,451.482,787.256,-7.24758855320974,-18.510636957778384
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,12,1702040732026718616,1702040732102697616,75,439.039,941.344,-8.768752224728914,-30.096498076057003
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,13,1702040732218802616,1702040732486675616,267,509.633,923.931,-2.882591644728537,-28.86152620865504
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,14,1702040732690785616,1702040733050678616,359,464.412,705.546,-6.1172639753555575,-12.393893884666518
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,15,1702040733318696616,1702040733487143616,168,505.942,911.113,-3.165201562567721,-27.887690139913232
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,16,1702040733838650616,1702040733974697616,136,713.116,729.662,12.89793654603234,-14.113760563691176
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,17,1702040733990706616,1702040734166835616,176,691.417,743.616,11.273067325185153,-15.183007696984875
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,18,1702040734534699616,1702040734854890616,320,469.669,884.304,-6.050084999569059,-25.828956454815962
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,19,1702040735018710616,1702040735330741616,312,536.248,686.873,-0.641417929042583,-11.014296655055775
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,20,1702040735358663616,1702040735462761616,104,576.355,679.892,2.4013649470835152,-10.487275401894772
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,21,1702040735562794616,1702040735678686616,115,517.381,903.508,-2.222531743938251,-27.31790501293354
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,22,1702040735698742616,1702040735998686616,299,518.914,907.356,-2.101684541887565,-27.60990446444798
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,23,1702040736018694616,1702040736318695616,300,473.288,906.232,-5.818236141379451,-27.489443961274315
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,24,1702040736542733616,1702040736702742616,160,752.874,784.478,16.174051215538086,-18.123530871973244
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,25,1702040736778677616,1702040736854722616,76,461.228,945.461,-6.943373215834112,-30.445688104971218
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,26,1702040736918687616,1702040736990762616,72,476.018,940.053,-5.695783882105767,-30.054967214996715
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,27,1702040737110720616,1702040737610684616,499,539.083,658.076,-0.42425908164946474,-8.852048002131955
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,28,1702040737694689616,1702040737906741616,212,559.937,965.907,1.283611452530898,-32.06326394644736
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,29,1702040738014689616,1702040738102724616,88,535.835,959.112,-0.742698049251944,-31.546452117297992
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,30,1702040738250703616,1702040738314734616,64,818.975,760.59,21.171822044158336,-16.205762988514582
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,31,1702040738334953616,1702040738590676616,255,777.745,778.253,18.074354869790206,-17.607097462325438
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,32,1702040738750718616,1702040739150709616,399,484.126,705.377,-4.615004716342142,-12.391034398703544
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,33,1702040739178715616,1702040739298708616,119,546.836,647.093,0.16165480204543917,-8.027447642133511
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,34,1702040739390741616,1702040739562656616,171,466.619,869.194,-6.254269177798798,-24.68603717091215
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,35,1702040739586695616,1702040740022690616,435,484.517,898.184,-4.884154619147195,-26.892581838404055
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,36,1702040740046870616,1702040740238718616,191,476.944,928.59,-5.5839900071667925,-29.186436801226566
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,37,1702040740374728616,1702040740470716616,95,786.067,714.154,18.425319253632583,-12.850549859214237
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,38,1702040740498730616,1702040740630687616,131,812.108,740.53,20.536168209393352,-14.745237253534997
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,39,1702040740698716616,1702040740834916616,136,541.691,695.665,-0.22846687804535104,-11.674753809736172
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,40,1702040740954757616,1702040741186671616,231,716.815,718.185,13.148304821700444,-13.253897311535578
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,41,1702040741270762616,1702040741574875616,304,619.211,933.951,6.159753140823067,-29.584849612377553
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,42,1702040741586905616,1702040741690675616,103,593.65,942.251,4.065549164203372,-30.242388248151627
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,43,1702040741794678616,1702040741862684616,68,654.16,665.568,8.284140627570743,-9.38258354685756
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,44,1702040741914685616,1702040741990701616,76,564.337,679.692,1.48981945440696,-10.474062696937304
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,45,1702040742022684616,1702040742122699616,100,520.549,683.498,-1.8325488471824296,-10.759240483911219
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,46,1702040742282698616,1702040742462701616,180,731.384,713.325,14.246902160174876,-12.872985191351875
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,47,1702040742490705616,1702040742682713616,192,698.849,720.684,11.782043700473167,-13.462279903848241
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,48,1702040742750774616,1702040743654728616,903,476.344,857.648,-5.4488512835793905,-23.825955286204074
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,49,1702040744190695616,1702040744278709616,88,534.773,668.791,-0.7512479656577981,-9.656395836799017
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,50,1702040744402693616,1702040744654892616,252,558.253,689.109,1.0299621282871534,-11.181812493656519
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,51,1702040744978663616,1702040745038788616,60,485.126,893.458,-4.823937841685885,-26.535975324210444
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,52,1702040745066672616,1702040745494741616,428,539.981,914.585,-0.3855719448965707,-28.16284840848251
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,53,1702040745590708616,1702040745742674616,151,538.937,923.088,-0.4730548067253658,-28.80762849064333
