section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727938736616,921.967,700.372,1.0,,,28.761352243849444,-11.567008522658611
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727942631616,932.914,709.71,1.0,,,29.656758696595627,-12.214011816092329
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727946647616,914.152,719.393,1.0,,,28.269830715830317,-12.960009399073094
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727950635616,910.169,718.727,1.0,,,27.959058153802484,-12.92191556259679
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727958659616,910.671,705.558,1.0,,,27.922385980208848,-11.967901607594454
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727962961616,911.726,712.354,1.0,,,28.04162647818299,-12.456997664738992
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727966642616,911.257,693.898,1.0,,,27.905772831649866,-11.123095727269355
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727970664616,897.658,705.186,1.0,,,26.921804264475856,-11.97065614809597
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727978675616,884.229,713.233,1.0,,,25.93428965340317,-12.585559351731833
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727982630616,889.054,702.694,1.0,,,26.249442810643828,-11.808856986908582
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727986661616,883.151,705.982,1.0,,,25.81391652075017,-12.060701376670762
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727990661616,878.538,711.374,1.0,,,25.488003490692066,-12.463178980927042
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040727998646616,870.488,702.898,1.0,,,24.829218663587273,-11.86316680540858
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728002660616,858.651,709.145,1.0,,,23.95339986940474,-12.343702987453915
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728006640616,850.036,707.08,1.0,,,23.284565213351367,-12.210486117060244
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728012259616,851.296,713.255,1.0,1,,23.410028903622596,-12.659576178709239
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728018991616,854.804,712.265,1.0,1,,23.673871247951684,-12.579765786227105
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728022616616,853.544,711.145,1.0,1,,23.572039621329353,-12.50054116432243
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728027002616,847.209,721.001,1.0,1,,23.134733171757087,-13.23513062529108
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728034706616,830.037,708.922,1.0,1,,21.763858928708032,-12.38497621624066
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728038639616,829.872,720.573,1.0,1,,21.803797363109762,-13.240443560756013
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728042865616,831.672,726.408,1.0,1,,21.969727057864553,-13.664958572252042
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728046658616,829.384,711.189,1.0,1,,21.723852570690678,-12.55262844995034
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728054629616,841.476,718.05,1.0,1,,22.680930724731,-13.03128530749232
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728058634616,838.042,707.795,1.0,1,,22.37076875710746,-12.286693003354316
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728062641616,843.776,708.739,1.0,1,,22.813402133219693,-12.344474967157039
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728066634616,835.955,710.939,1.0,1,,22.225229342617357,-12.521347896801506
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728074717616,862.994,707.752,1.0,1,,24.27911797848243,-12.232854539211779
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728078654616,862.712,717.795,1.0,1,,24.30750000284371,-12.966598721074446
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040728082635616,859.95,709.843,1.0,1,,24.056173186584694,-12.39196080273757
