section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729101245616,-10.426829,4.573171,14.085366,-0.089172,-0.830688,-0.713074,7.068542522348849,89.52316298546435,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729106185616,-10.54878,5.365854,14.634147,-0.093567,-0.832092,-0.713379,7.143839396963699,89.04608971426268,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729111125616,-10.060976,6.219512,14.695123,-0.096558,-0.833069,-0.707764,7.225498658696694,88.57175854183538,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729116065616,-9.695122,7.073171,14.695123,-0.099976,-0.839783,-0.706726,7.313385008459761,88.09958963808532,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729121005616,-9.02439,7.865854,14.390244,-0.107056,-0.839966,-0.708862,7.4092800447868115,87.63138550822464,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729125945616,-8.353659,8.658537,13.963415,-0.111267,-0.842163,-0.71521,7.511600291196686,87.16698957552137,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729130885616,-7.865854,9.45122,13.47561,-0.114929,-0.841187,-0.719849,7.620220379131496,86.70551349249428,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729135825616,-7.195122,10.243902,13.292684,-0.118042,-0.842102,-0.719727,7.734794168219992,86.24784582898917,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729140765616,-6.890244,10.731708,13.04878,-0.116089,-0.84198,-0.713928,7.851467165220214,85.79186685876181,,,,,
1b86b05d-fc04-49c5-babf-7a3877ba2052,1fcef643-dc9d-48fc-8a2d-bf8a42c7baf4,1702040729145705616,-6.402439,11.402439,12.926829,-0.124756,-0.838989,-0.709534,7.976291498859098,85.33924741949619,,,,,
