section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1,1702040521281479871,1702040521809368871,527
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,2,1702040525821483871,1702040526281435871,459
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,3,1702040529181467871,1702040529541484871,360
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,4,1702040531877502871,1702040532269405871,391
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,5,1702040540645358871,1702040540997503871,352
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,6,1702040547493492871,1702040547825379871,331
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,7,1702040548625522871,1702040549057970871,432
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,8,1702040553417451871,1702040553877474871,460
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,9,1702040554973571871,1702040555561453871,587
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,10,1702040558117457871,1702040558509418871,391
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,11,1702040566169551871,1702040566713440871,543
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,12,1702040570469375871,1702040570881413871,412
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,13,1702040572929580871,1702040573401439871,471
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,14,1702040578273605871,1702040578701617871,428
