section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1,1702040521193585871,1702040521289446871,95,561.31,792.766,1.294192452526808,-18.96989963713786
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,2,1702040521569314871,1702040521801698871,232,529.227,779.64,-1.1999702499417244,-17.98294928625059
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,3,1702040521829370871,1702040522038227871,208,576.005,764.184,2.4185650991491383,-16.817569801311304
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,4,1702040522057556871,1702040522201524871,143,594.711,778.266,3.878775023024917,-17.868093870305405
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,5,1702040522225607871,1702040522641435871,415,596.325,774.749,3.9998437519090118,-17.602975165736446
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,6,1702040522819483871,1702040523025484871,206,494.785,999.831,-4.295409173134259,-34.6356850162044
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,7,1702040523045440871,1702040523173373871,127,479.515,995.577,-5.5933641534761165,-34.29173094210928
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,8,1702040523241416871,1702040523414261871,172,491.176,974.945,-4.531318832389167,-32.72796028005284
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,9,1702040523641530871,1702040524093598871,452,909.364,662.953,27.621224681318086,-8.888243496605478
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,10,1702040524285785871,1702040524365456871,79,502.471,790.161,-3.2860454817991727,-18.765791934479815
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,11,1702040524393734871,1702040524469591871,75,527.481,821.769,-1.3536711871903542,-21.15222718760318
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,12,1702040524573515871,1702040524745468871,171,534.522,820.271,-0.7995181727004461,-21.040646695560223
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,13,1702040524769493871,1702040524889515871,120,595.272,796.455,3.9439212047557946,-19.234729939669712
