section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522051855871,-1.646341,2.317073,-0.548781,-0.061096,-0.961853,-0.451233,7.0385554254931435,89.5649121052125,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522056795871,-1.585366,2.134146,-0.853659,-0.062561,-0.962952,-0.450806,7.076816100758947,89.13018806530789,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522061735871,-1.402439,1.829268,-1.036585,-0.062256,-0.962463,-0.450684,7.1134266660771175,88.69640520548376,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522066675871,-1.158537,1.585366,-1.585366,-0.064636,-0.965027,-0.448547,7.149701851927745,88.26395290176049,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522071615871,-0.97561,1.463415,-1.890244,-0.062195,-0.964966,-0.44812,7.184212636799032,87.8324176669056,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522076555871,-0.670732,1.280488,-2.012195,-0.06366,-0.962402,-0.446777,7.218433699651484,87.40253983836891,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522081495871,-0.487805,0.97561,-2.378049,-0.056763,-0.959534,-0.445435,7.248070720280424,86.9735013410326,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522086435871,-0.243902,0.914634,-2.5,-0.062622,-0.9599,-0.448975,7.279798423043388,86.54596660974244,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522091375871,-0.060976,0.609756,-2.560976,-0.065063,-0.962646,-0.450989,7.310866113829832,86.11955983850163,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522096315871,0.487805,0.487805,-2.5,-0.059204,-0.961853,-0.450867,7.338749097476011,85.69588163079106,,,,,
4c0c6ff0-1c86-4ee4-8191-ea4bc495a4a8,244b56f5-7ff6-4099-923e-e7a3d7831bce,1702040522101255871,0.97561,0.304878,-2.5,-0.057129,-0.966736,-0.454895,7.364604154497272,85.2747451595867,,,,,
