section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1,1702040427439406751,1702040427947389751,507
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,2,1702040431115415751,1702040431371402751,255
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,3,1702040434711388751,1702040434903367751,191
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,4,1702040435431406751,1702040435835395751,403
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,5,1702040440251370751,1702040440531389751,280
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,6,1702040442383446751,1702040442719487751,336
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,7,1702040445399526751,1702040445695398751,295
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,8,1702040447691540751,1702040447967403751,275
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,9,1702040452919433751,1702040453263420751,343
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,10,1702040457523435751,1702040457823913751,300
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,11,1702040463351427751,1702040463583755751,232
