section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425545219751,-17.743902,7.804878,-10.853659,-0.01239,-0.947815,-0.44281,7.043906103253903,89.48454797962052,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425550159751,-16.890244,7.439024,-10.304878,-0.003784,-0.959595,-0.429932,7.08178702266693,88.9732784304706,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425555099751,-15.182927,7.134147,-9.878049,-0.013977,-0.971863,-0.417542,7.122281197242984,88.47051986209806,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425560039751,-12.743903,6.219512,-9.390244,-0.007568,-0.981934,-0.403503,7.15515515006544,87.97984540910954,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425564979751,-9.939025,5.54878,-8.902439,0.010376,-0.983337,-0.398499,7.176775765913305,87.50313259484108,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425569919751,-7.195122,5.121951,-8.597561,0.007446,-0.961365,-0.411133,7.197263171793935,87.04009151988453,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425574859751,-5.182927,4.390244,-8.231708,0.012329,-0.936035,-0.437805,7.211743925597034,86.58715907987687,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425579799751,-4.329268,3.902439,-7.987805,0.012939,-0.927795,-0.454956,7.223334301922932,86.13861554806778,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425584739751,-4.695122,3.231707,-8.231708,0.002869,-0.925049,-0.456604,7.235752958422609,85.68841629608335,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425589679751,-5.731708,2.682927,-8.597561,0.010803,-0.927246,-0.446899,7.241473206241864,85.23331685625732,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425594619751,-7.317073,2.134146,-9.390244,0.020752,-0.931091,-0.435364,7.23941315333451,84.77067056071468,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425599559751,-8.841464,1.52439,-10.304878,0.018494,-0.931885,-0.427979,7.234533764801171,84.30072190919986,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425604499751,-9.878049,0.97561,-10.670732,0.019775,-0.935669,-0.42627,7.225811315881117,83.82594440257355,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425609439751,-10.121951,0.365854,-10.426829,0.01947,-0.940308,-0.423523,7.21394717692155,83.3502772659877,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425614379751,-9.695122,-0.060976,-9.878049,0.017761,-0.939697,-0.418152,7.200597364551726,82.87704837811975,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425619319751,-9.329268,-0.548781,-9.268292,0.015991,-0.936035,-0.415955,7.185562599602122,82.405971982511,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425624259751,-8.841464,-1.280488,-8.292683,0.018616,-0.931885,-0.408936,7.16603103279283,81.9377038649364,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425629199751,-8.414635,-1.890244,-7.5,0.024231,-0.934326,-0.404968,7.141320291442355,81.47198364444273,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425634139751,-8.109756,-2.378049,-7.073171,0.022766,-0.945557,-0.408936,7.1149823993720815,81.00814772110499,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425639079751,-7.621952,-2.926829,-7.195122,0.018738,-0.954773,-0.411133,7.08736256661382,80.54708748283645,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425644019751,-7.134147,-3.414634,-7.743903,0.021179,-0.9552,-0.410339,7.055596905789173,80.088865129731,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425648959751,-6.768293,-4.02439,-8.414635,0.023376,-0.948425,-0.414124,7.018999950489615,79.63288575752654,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425653899751,-6.463415,-4.146341,-8.780488,0.02594,-0.929382,-0.411987,6.979863094548392,79.17887177131138,,,,,
3053c734-5e2e-4ad2-bdbd-d071a3af14aa,22232dd7-4fe4-472f-a558-cf9cbbce7152,1702040425658839751,-6.829268,-4.268293,-8.658537,0.025513,-0.9151,-0.417664,6.939944282569854,78.72347969671114,,,,,
