section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142718749622,-18.414635,66.158539,3.292683,-0.413513,-0.964844,-0.213196,7.495408169300362,89.5158716905824,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142723689622,-17.987804,63.963417,3.841464,-0.40918,-0.971008,-0.210083,7.978024605972479,89.03311559930182,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142728629622,-17.195122,61.768295,3.658537,-0.411438,-0.985352,-0.199463,8.44878438913014,88.55391483620087,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142733569622,-15.914635,59.329269,3.109756,-0.414856,-0.990234,-0.200134,8.908094369261562,88.08131352009087,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142738509622,-14.634147,56.829269,2.317073,-0.412415,-0.982056,-0.199402,9.35535692496802,87.61513638585575,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142743449622,-13.719513,54.573174,1.768293,-0.4104,-0.973755,-0.201172,9.791881539227973,87.15361883239154,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142748389622,-13.231708,52.073174,1.036585,-0.411011,-0.972961,-0.202026,10.21611077434008,86.69446159796371,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142753329622,-12.804878,49.939026,0.060976,-0.405884,-0.964417,-0.20929,10.628904795271865,86.23689392130547,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142758269622,-12.682927,48.048782,-0.426829,-0.401733,-0.951111,-0.216614,11.032551048751174,85.77993246679159,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142763209622,-12.621951,46.341465,-0.670732,-0.397827,-0.935913,-0.232605,11.428473267018887,85.32353902195922,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142768149622,-12.865854,44.878048,-0.792683,-0.395264,-0.922913,-0.248657,11.818054532890983,84.8663115451742,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142773089622,-13.719513,43.963417,0.0,-0.391296,-0.912292,-0.25946,12.203473272913726,84.40520617855555,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142778029622,-14.512196,43.292683,0.914634,-0.382446,-0.915344,-0.268921,12.582179921779272,83.93893605506304,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142782969622,-15.487805,42.987804,2.073171,-0.377441,-0.91803,-0.275208,12.95749268892439,83.46735119959317,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142787909622,-16.585365,42.621952,3.47561,-0.376282,-0.926514,-0.278198,13.329733239608913,82.99022962401398,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142792849622,-17.5,42.317074,4.634146,-0.373901,-0.938721,-0.275879,13.6980576892974,82.5079732283424,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142797789622,-17.92683,41.707317,5.0,-0.377808,-0.954895,-0.275208,14.062160352404817,82.02329998300485,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142802729622,-18.04878,40.792683,4.939024,-0.378845,-0.968628,-0.274048,14.419612833289477,81.5372322370842,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142807669622,-18.109756,39.939026,4.085366,-0.374756,-0.971924,-0.274719,14.769850226362792,81.04944679278316,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142812609622,-17.865854,38.902439,2.987805,-0.380127,-0.979797,-0.273926,15.11419632067421,80.56227081543591,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142817549622,-17.682928,37.743904,1.52439,-0.381104,-0.977783,-0.273376,15.451505768852059,80.07504032009996,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142822489622,-17.5,36.524391,0.121951,-0.374573,-0.977417,-0.27533,15.778725012680297,79.58664948127966,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142827429622,-17.317074,35.487804,-1.52439,-0.365295,-0.971008,-0.283691,16.09644787105981,79.09684357206947,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142832369622,-17.317074,34.634148,-2.743902,-0.364197,-0.958191,-0.292725,16.40945927824265,78.60639670886542,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142837309622,-17.5,33.902439,-3.414634,-0.365723,-0.944153,-0.293274,16.719614940333628,78.11514040813961,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142842249622,-17.439024,33.475609,-3.536585,-0.365417,-0.944031,-0.294861,17.02634602054158,77.62363428081278,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142847189622,-16.829269,33.231709,-3.292683,-0.360596,-0.945251,-0.300171,17.329292491629047,77.13419488194165,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142852129622,-15.731708,33.414635,-2.5,-0.354736,-0.941162,-0.302734,17.631421841755667,76.64975932393605,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142857069622,-14.268293,33.841465,-1.097561,-0.349243,-0.93042,-0.313232,17.935975458543794,76.17313024232249,,,,,
8c9499cc-84a8-4adc-a525-bb60782844fb,6e90fd25-377e-4c1d-b846-76d2b11c2b6a,1702040142862009622,-12.5,34.512196,1.097561,-0.348328,-0.932678,-0.318054,18.244728592655548,75.70638735977167,,,,,
