section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1,1702040039741702270,1702040039917541270,175,625.545,630.3,6.091780320839795,-6.754027923732714
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,2,1702040039941578270,1702040040233714270,292,594.702,569.341,3.752110472781177,-2.1884222504586033
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,3,1702040040261478270,1702040040341679270,80,531.107,546.74,-1.0190553313687651,-0.49321929497357286
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,4,1702040040401634270,1702040040577527270,175,791.875,520.065,18.541255069654063,1.480019103605852
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,5,1702040040633498270,1702040040793558270,160,570.696,492.35,1.95232627893993,3.588507243676485
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,6,1702040040825574270,1702040041073589270,248,560.163,495.545,1.1612178602955716,3.3491703529543417
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,7,1702040041137558270,1702040041277576270,140,519.027,783.455,-1.9935659301760436,-18.267605629794346
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,8,1702040041301569270,1702040042145590270,844,535.207,800.862,-0.7408223968510751,-19.579910547429392
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,9,1702040042241573270,1702040042386172270,144,938.521,394.339,29.940878410490217,10.471588464157076
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,10,1702040042425491270,1702040042537592270,112,851.002,353.249,23.44333063875271,13.652464585439612
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,11,1702040042565554270,1702040042649545270,83,800.441,397.97,19.400645124738755,10.47000607999718
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,12,1702040042709562270,1702040042901717270,192,560.029,489.077,1.1515636869981338,3.8345590559938456
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,13,1702040042933573270,1702040043013535270,79,620.426,499.219,5.684318138850629,3.0683151404358817
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,14,1702040043073570270,1702040044213624270,1140,549.391,809.358,0.3677784755759959,-20.219630017301252
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,15,1702040044297566270,1702040044477504270,179,924.93,382.238,28.96134034297673,11.37355854546078
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,16,1702040044517525270,1702040044737512270,219,799.401,389.958,19.347829615110275,11.061544706569824
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,17,1702040044797529270,1702040045193622270,396,601.253,462.73,4.255457502292281,5.806507107305223
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,18,1702040045273565270,1702040045705576270,432,567.405,814.491,1.7815277727351089,-20.60310543659032
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,19,1702040045793537270,1702040045961552270,168,910.191,365.557,27.92147484992292,12.61316497148975
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,20,1702040045997654270,1702040046137560270,139,835.797,325.871,22.421867149049923,15.692064090385928
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,21,1702040046197550270,1702040046525555270,328,611.971,470.637,5.05856373341929,5.211627141653537
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,22,1702040046597537270,1702040046941503270,343,567.644,820.278,1.8038465857387174,-21.038608092758416
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,23,1702040047017576270,1702040047293504270,275,635.115,422.822,6.833169070937482,8.785056475028417
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,24,1702040047357516270,1702040047549538270,192,888.957,383.961,26.19787558373101,11.330866725593829
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,25,1702040047613548270,1702040048013568270,400,588.394,486.477,3.282277733113422,4.0276319673864185
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,26,1702040048089533270,1702040049425540270,1336,594.986,784.491,3.907255554982718,-18.335667125719894
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,27,1702040049505606270,1702040049825552270,319,645.067,374.558,7.644967619352242,12.390104311456057
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,28,1702040049885545270,1702040050029547270,144,875.901,339.552,25.43495936020227,14.588000796635212
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,29,1702040050049576270,1702040050145529270,95,869.939,309.756,25.167055098093034,16.773014038342996
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,30,1702040050205524270,1702040050341534270,136,601.686,447.326,4.294433097877534,6.961155130446913
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,31,1702040050361529270,1702040050533810270,172,587.984,427.323,3.2695563107719856,8.463971255988646
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,32,1702040050561540270,1702040050701568270,140,572.352,380.937,2.104091703489552,11.94565990010371
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,33,1702040050781577270,1702040051205588270,424,590.824,773.025,3.571976790528554,-17.476221990398813
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,34,1702040051281523270,1702040051541535270,260,599.014,372.289,4.139262418282995,12.586135925748227
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,35,1702040051653563270,1702040051773540270,119,852.932,415.683,23.32710054298783,9.08914744325133
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,36,1702040051841546270,1702040052157508270,315,579.911,439.276,2.6559745483411095,7.569052668982775
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,37,1702040052217549270,1702040052665526270,447,601.042,771.143,4.360857406406927,-17.32955351781942
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,38,1702040052745585270,1702040053021547270,275,645.976,380.115,7.70615839730899,11.973845119021515
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,39,1702040053093560270,1702040053529556270,435,608.056,746.745,4.872126155194465,-15.49381426481981
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,40,1702040053729538270,1702040053825569270,96,645.179,422.083,7.594404000330455,8.835381254119032
