section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040938529270,-11.097561,-4.207317,-11.402439,0.01886,-0.722595,-0.805054,6.967816973178685,89.51752577676126,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040943469270,-10.731708,-4.02439,-11.219512,0.022766,-0.720398,-0.805969,6.933590338296966,89.03699239687887,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040948409270,-10.487805,-3.841464,-10.914635,0.022217,-0.71814,-0.802429,6.899970496198222,88.55774730860668,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040953349270,-10.243902,-3.719512,-10.609756,0.024536,-0.715576,-0.80304,6.865019361373612,88.07986993815388,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040958289270,-9.939025,-3.47561,-10.121951,0.02832,-0.713562,-0.798096,6.828582554126399,87.6037202613644,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040963229270,-9.573171,-3.47561,-10.060976,0.02417,-0.716797,-0.795349,6.794076171887923,87.12944720385894,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040968169270,-9.085366,-3.414634,-9.939025,0.024719,-0.711121,-0.801636,6.758951843182331,86.65777826491745,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040973109270,-8.902439,-3.47561,-9.695122,0.027954,-0.704224,-0.798706,6.721114043300531,86.18728556213017,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040978049270,-8.780488,-3.231707,-9.573171,0.029663,-0.698242,-0.800598,6.682912194008139,85.7176582154218,,,,,
5933a148-c8a3-4791-a0c6-0db496a0c0b6,29538e8e-f485-430e-9afc-593e4d6d2483,1702040040982989270,-8.902439,-3.04878,-9.268292,0.029419,-0.692322,-0.803101,6.645238078492412,85.24765271852317,,,,,
