section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396186698612,2.012195,-25.487806,-36.890244,0.104309,-0.807373,-0.727417,6.818617820393769,89.58593928831192,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396191638612,2.621951,-25.304878,-36.646343,0.113647,-0.805542,-0.725159,6.631123020889277,89.17626505052021,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396196578612,3.231707,-25.182928,-36.280487,0.115295,-0.803223,-0.720825,6.441197065717034,88.77047121282834,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396201518612,3.597561,-24.756098,-35.731709,0.114075,-0.799622,-0.720459,6.251780262657064,88.367146953531,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396206458612,3.841464,-24.512196,-35.182926,0.118408,-0.798828,-0.721924,6.059446149605861,87.96607872379798,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396211398612,4.207317,-24.207317,-34.695122,0.122253,-0.797241,-0.722717,5.864755987457585,87.56785899388944,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396216338612,4.45122,-23.780489,-34.085365,0.122986,-0.791687,-0.721497,5.6696473800880085,87.1716749750247,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396221278612,4.817073,-23.597561,-33.658539,0.126282,-0.788513,-0.718811,5.471879055005246,86.77832606812456,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396226218612,5.243903,-23.231709,-33.048782,0.128357,-0.793396,-0.715759,5.273784622507037,86.38786333180644,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396231158612,5.182927,-22.865854,-32.621952,0.130188,-0.793213,-0.717224,5.0750405056026295,85.99795118175524,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396236098612,5.426829,-22.560976,-32.134148,0.131592,-0.785095,-0.713562,4.87498143046119,85.61016097616482,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396241038612,5.731708,-22.073172,-31.280489,0.138306,-0.778687,-0.711426,4.6722618122961705,85.22520047979992,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396245978612,5.792683,-21.524391,-30.365854,0.137878,-0.773987,-0.711121,4.470884582647727,84.84114207126174,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396250918612,5.914634,-21.036587,-29.390245,0.143494,-0.774536,-0.711792,4.26826876745244,84.4587330873648,,,,,
1f482903-dbce-4076-8e2e-430c9a6e7d0f,476801e6-64ec-4137-83c2-7f2728539532,1702038396255858612,6.097561,-20.487804,-28.353659,0.147766,-0.766968,-0.715027,4.064645543126005,84.07829243374158,,,,,
