section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,1,1702038294658289292,1702038295141932292,483,604.38,687.206,4.532583131832982,-11.028282267956033
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,2,1702038295181963292,1702038295477930292,295,594.892,576.265,3.7673474074798423,-2.707885664300312
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,3,1702038295514048292,1702038295861878292,347,524.854,621.827,-1.4937944756193313,-6.1297621611763145
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,4,1702038295921869292,1702038296041890292,120,495.085,837.402,-3.923582312202104,-22.315790098466163
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,5,1702038296073944292,1702038296677899292,603,505.809,895.353,-3.1518417481488474,-26.694932359812032
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,6,1702038296753869292,1702038297173980292,420,554.033,626.024,0.7032638159794802,-6.445406372616989
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,7,1702038297241916292,1702038297341910292,99,491.05,881.591,-4.320614963092984,-25.64459986608696
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,8,1702038297441870292,1702038297789946292,348,736.014,737.277,14.677556312299716,-14.647164703843442
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,9,1702038297849990292,1702038298089921292,239,510.724,640.493,-2.562587320976763,-7.529393652902503
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,10,1702038298157929292,1702038298657924292,499,517.189,872.069,-2.2060645729399537,-24.94122657152625
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,11,1702038298742002292,1702038299117953292,375,591.781,563.073,3.532218941069352,-1.7183711263333405
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,12,1702038299289942292,1702038299469905292,179,756.146,745.962,16.256557254007333,-15.258227649876114
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,13,1702038299537903292,1702038299753909292,216,452.97,680.506,-6.957685376198927,-10.511031375655339
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,14,1702038299813902292,1702038300413883292,599,508.603,866.85,-2.888252783063562,-24.543327112340883
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,15,1702038300593909292,1702038300753977292,160,751.224,711.75,15.756340949704894,-12.728016649227698
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,16,1702038300821932292,1702038301373906292,551,486.074,662.837,-4.434700290099755,-9.200540667457489
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,17,1702038301441908292,1702038301849917292,408,528.393,849.025,-1.295022956154512,-23.20603759806168
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,18,1702038301929930292,1702038302505915292,575,571.809,563.11,2.034011947503927,-1.7218353328624756
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,19,1702038302534181292,1702038302837916292,303,554.312,603.987,0.7229395220398198,-4.790852786884321
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,20,1702038302901916292,1702038303865919292,964,509.754,856.73,-2.7844378540096484,-23.780514570468366
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,21,1702038303937966292,1702038304521950292,583,555.096,557.413,0.7801664720486358,-1.2944355682356103
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,22,1702038304593935292,1702038305657978292,1064,517.983,862.923,-2.13408075790063,-24.251199379718944
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,23,1702038305741929292,1702038305981912292,239,561.566,559.761,1.2655021229858134,-1.4706251377540605
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,24,1702038306145931292,1702038306361921292,215,675.074,730.823,9.987254015815864,-14.246072934333744
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,25,1702038306473931292,1702038306733912292,259,509.382,602.668,-2.654316225307344,-4.690296151692701
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,26,1702038306809913292,1702038307477903292,667,537.13,842.476,-0.5993774476790689,-22.713679348589892
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,27,1702038307550059292,1702038307669943292,119,564.835,549.59,1.5104253252269537,-0.7071339494544951
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,28,1702038307845915292,1702038308098091292,252,657.675,726.119,8.645400999337305,-13.911168201926419
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,29,1702038308165927292,1702038308301914292,135,470.855,839.832,-5.8451982780827905,-22.479383103679485
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,30,1702038308321893292,1702038309309900292,988,509.166,862.806,-2.8383683465428553,-24.238541931567852
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,31,1702038309397909292,1702038309577918292,180,753.281,743.181,16.025294964050104,-15.056953040457284
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,32,1702038309641944292,1702038310053905292,411,482.927,661.444,-4.671857180736639,-9.095087655707587
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,33,1702038310113907292,1702038310641964292,528,526.445,870.951,-1.4629738642696402,-24.859807898401236
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,34,1702038310713946292,1702038310921955292,208,521.842,559.501,-1.714227332734318,-1.4510511149041097
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,35,1702038311057940292,1702038311273930292,215,733.994,677.075,14.35100948280505,-10.174956692631792
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,36,1702038311337916292,1702038311493904292,155,423.976,643.228,-9.108658350302582,-7.705268712831546
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,37,1702038311569914292,1702038311806070292,236,678.218,708.452,10.179516239986729,-12.57096900736111
d65e8db2-49f1-4fd7-9503-be8cec0cdf58,c542656b-7946-4485-8383-4f91d8670e29,38,1702038311865925292,1702038312161970292,296,426.434,689.634,-8.984324576239347,-11.17699635538608
