section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,1,1702038224162173995,1702038224338097995,175,470.089,513.795,-5.596838432339043,1.9762197713774488
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,2,1702038224482128995,1702038224750294995,268,987.997,715.228,33.95310929234566,-12.461723498352889
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,3,1702038224830118995,1702038224946089995,115,546.161,541.09,0.10990132091068636,-0.06914877558760812
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,4,1702038224986118995,1702038225662627995,676,656.697,659.587,8.468901078332125,-8.933564914837802
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,5,1702038225698004995,1702038225798030995,100,631.474,749.158,6.676757056278661,-15.659136979513553
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,6,1702038225850754995,1702038226610030995,759,555.246,887.583,0.8522671126351129,-26.11809296152082
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,7,1702038226846023995,1702038227178057995,332,555.737,932.177,0.9120525972664824,-29.496793204884998
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,8,1702038227206046995,1702038227526058995,320,571.353,938.675,2.209547599336109,-29.985447828689455
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,9,1702038227574052995,1702038227746093995,172,526.254,861.333,-1.4722998116775716,-24.133841454312094
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,10,1702038227774079995,1702038227982088995,208,467.253,868.841,-6.202542306618584,-24.660098340243945
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,11,1702038228006055995,1702038228270063995,264,512.246,865.393,-2.595088242493703,-24.435154254888705
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,12,1702038228442256995,1702038228562081995,119,636.213,514.054,6.865404118505597,1.9551196729275668
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,13,1702038228606061995,1702038229730048995,1123,528.315,635.404,-1.2349062292580804,-7.149259261340463
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,14,1702038229778088995,1702038231274019995,1495,528.243,587.484,-1.2354720217726862,-3.5517388257463924
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,15,1702038231314219995,1702038231554060995,239,448.073,710.027,-7.368673363992697,-12.719253306878448
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,16,1702038231586169995,1702038231734084995,147,426.522,701.941,-8.997786052761903,-12.097630151924108
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,17,1702038231854084995,1702038231982063995,127,512.03,860.261,-2.6067983181582774,-24.047879767438268
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,18,1702038232006003995,1702038232646149995,640,517.988,911.635,-2.1818822212488143,-27.93370010890805
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,19,1702038232734054995,1702038232894133995,160,556.8,527.568,0.9078385504704382,0.9458418617690361
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,20,1702038233106157995,1702038233346063995,239,588.875,730.333,3.3840572994522558,-14.270688503324013
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,21,1702038233414052995,1702038234022080995,608,503.786,892.544,-3.3114002001941105,-26.481271769937223
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,22,1702038234102168995,1702038234234031995,131,534.789,551.237,-0.7429974683274893,-0.8308029317090065
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,23,1702038234266069995,1702038234786073995,520,519.439,583.637,-1.8961909638520404,-3.262593642481612
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,24,1702038234954111995,1702038235142056995,187,634.765,762.238,6.95355487096043,-16.637264733554396
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,25,1702038235214192995,1702038235706064995,491,504.827,892.68,-3.227349549274113,-26.492185878119795
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,26,1702038235778047995,1702038236078023995,299,512.396,568.758,-2.4234745593066838,-2.1455699342894814
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,27,1702038236182063995,1702038236382078995,200,638.864,760.078,7.26580307202197,-16.471731218575737
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,28,1702038236506056995,1702038236862093995,356,529.889,889.42,-1.1966744319784386,-26.256147874993392
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,29,1702038236954055995,1702038237510125995,556,551.101,559.731,0.4804963099549237,-1.4684915858256775
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,30,1702038237590647995,1702038237862055995,271,519.957,844.44,-1.9616997622196044,-22.85804992135163
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,31,1702038238126082995,1702038238606052995,479,492.91,608.28,-3.894047817402525,-5.109452883286137
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,32,1702038238674122995,1702038239206057995,531,521.443,870.071,-1.863252558944848,-24.791932583949208
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,33,1702038239274052995,1702038239506040995,231,527.419,536.079,-1.2956044045402637,0.30695832720999566
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,34,1702038239626082995,1702038239898077995,271,611.001,714.247,5.061137557956421,-13.053903578483093
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,35,1702038239950086995,1702038240118026995,167,469.716,597.755,-5.633780435115608,-4.316288257704382
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,36,1702038240182045995,1702038240302054995,120,503.49,806.3,-3.223233489470293,-19.979785261373564
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,37,1702038240326113995,1702038240882075995,555,518.98,840.849,-2.0363505846483227,-22.587088945910416
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,38,1702038240946080995,1702038241450075995,503,508.625,573.567,-2.706827733279981,-2.5062956192715817
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,39,1702038241530087995,1702038241650103995,120,485.006,859.89,-4.762764004409403,-24.00259489723577
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,40,1702038241718058995,1702038241966145995,248,655.075,724.931,8.44428729465403,-13.824533520196693
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,41,1702038242026066995,1702038242194082995,168,507.993,824.394,-2.8888551512311134,-21.34342265541478
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,42,1702038242218030995,1702038243014097995,796,521.144,843.479,-1.8669237498592957,-22.785991378622562
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,43,1702038243126056995,1702038243486078995,360,597.438,714.273,4.025970576014696,-13.061858771258208
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,44,1702038243550128995,1702038244194049995,643,512.857,877.626,-2.5597383386272203,-25.358953189108778
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,45,1702038244282242995,1702038244402253995,120,580.615,540.718,2.6937319688560435,-0.041289218624705866
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,46,1702038244438002995,1702038244882042995,444,524.513,569.403,-1.5143079886358721,-2.19432993094423
1e858279-1324-4339-8552-51c39831e2af,e870505e-3b0c-4a30-8931-6ccc3a586ca4,47,1702038244954031995,1702038245322087995,368,522.614,862.519,-1.763815130367833,-24.222321639344287
