section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143810803485,804.824,711.314,1.0,,,19.84722272946227,-12.607968661821012
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143814719485,714.663,723.953,1.0,,,12.99990999411804,-13.686324152098992
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143818761485,696.251,726.003,1.0,,,11.596880715127602,-13.862226254782518
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143822767485,687.105,719.841,1.0,,,10.882500670380367,-13.412665186326176
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143830772485,694.575,719.695,1.0,,,11.452966488755848,-13.393458909857413
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143834756485,707.801,720.775,1.0,1,,12.466503043688457,-13.458293684879063
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143838748485,687.27,722.174,1.0,1,,10.90058427840412,-13.586726441375879
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143842739485,687.753,727.928,1.0,1,,10.951321891583941,-14.015854314804164
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143850724485,678.02,714.386,1.0,1,,10.176650853556161,-13.014550218718826
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143854769485,693.421,720.811,1.0,1,,11.367476073959498,-13.478041962169993
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143858774485,683.975,721.0,1.0,1,,10.645965062599421,-13.50257987607461
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143866727485,675.704,726.27,1.0,1,,10.025289049930965,-13.90505062340749
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143870757485,675.646,737.588,1.0,1,,10.04678156802463,-14.751196145682439
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143874750485,667.816,739.885,1.0,1,,9.451279652778956,-14.931392396060934
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143878739485,666.709,737.323,1.0,1,,9.360614160106108,-14.74087545403816
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143886815485,676.509,746.481,1.0,1,,10.134743394428863,-15.415109989898683
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143890778485,676.884,749.93,1.0,1,,10.172345629130879,-15.672484090147027
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143894783485,671.341,739.93,1.0,1,,9.72193548289929,-14.93098371470063
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143898757485,674.071,734.8,1.0,1,,9.919504480650223,-14.544503962633275
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143906756485,673.401,739.786,1.0,1,,9.879715583105785,-14.91803624198587
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143910780485,667.889,749.592,1.0,1,,9.479410768231054,-15.657456304450172
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143914757485,655.905,747.036,1.0,1,,8.551860710596324,-15.47863565039921
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143918737485,664.677,757.183,1.0,1,,9.250228281805613,-16.229041997650892
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143926740485,661.977,750.543,1.0,1,,9.026667804737075,-15.734992071554421
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143930816485,659.168,750.42,1.0,1,,8.810210295102221,-15.728761025527017
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143934759485,664.131,747.88,1.0,1,,9.186285434605145,-15.533465653460187
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143938774485,663.076,745.405,1.0,1,,9.099616707757958,-15.349314943595331
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143948109485,665.101,741.337,1.0,1,,9.246036400279559,-15.042828737271561
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143950913485,665.303,747.885,1.0,1,,9.27642860282739,-15.532550317966688
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143955301485,662.123,744.826,1.0,1,,9.025012275537401,-15.306959112078676
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143958767485,653.683,741.433,1.0,1,,8.36950752490887,-15.061239429557222
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143966735485,641.51,739.408,1.0,1,,7.43117619848323,-14.92028518067209
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143970767485,650.618,748.416,1.0,1,,8.148134420421648,-15.587064954133853
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143974765485,654.89,744.997,1.0,1,,8.469502371978068,-15.326977664226346
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143978917485,662.457,735.668,1.0,1,,9.030897329681943,-14.621321226134118
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143987063485,652.085,740.355,1.0,1,,8.244636413933742,-14.982019729946144
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143990746485,653.368,742.746,1.0,1,,8.348001656298322,-15.159904154222184
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143994739485,657.677,747.521,1.0,1,,8.689110996148923,-15.513221716170195
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038143998775485,656.124,739.726,1.0,1,,8.553470379645658,-14.931170555380374
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144006769485,658.164,738.373,1.0,1,,8.707270061487565,-14.827923869923001
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144010791485,663.46,752.715,1.0,1,,9.145854934268291,-15.896008505196336
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144014758485,661.825,741.376,1.0,1,,8.994587141898089,-15.049061716314139
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144018813485,659.185,741.712,1.0,1,,8.79260409080418,-15.07688027801163
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144026756485,663.26,737.75,1.0,1,,9.09691631962651,-14.77634296854611
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144030755485,666.633,740.966,1.0,1,,9.362840897613966,-15.013466228013836
