section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144919186485,-4.45122,3.109756,-2.012195,-0.101379,-0.843567,-0.613586,7.066369857949923,89.55324721150367,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144924126485,-4.695122,2.134146,-2.012195,-0.099731,-0.832092,-0.612549,7.127767730411875,89.10529530578589,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144929066485,-5.243903,1.097561,-1.646341,-0.100098,-0.820923,-0.602112,7.184887486493494,88.6547852894858,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144934006485,-5.731708,-0.182927,-0.670732,-0.09845,-0.825562,-0.585144,7.234634739545783,88.20181666240518,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144938946485,-5.365854,-1.341463,-0.426829,-0.107544,-0.835754,-0.583984,7.282488232641185,87.75123031654073,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144943886485,-4.817073,-2.621951,-0.487805,-0.108826,-0.832947,-0.581482,7.32471752355616,87.30356730091546,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144948826485,-4.329268,-4.085366,-0.914634,-0.115356,-0.835022,-0.594971,7.362514402427678,86.85883180851562,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144953766485,-4.573171,-5.609756,-1.219512,-0.11499,-0.833435,-0.595093,7.39245979576441,86.41301215235166,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144958706485,-5.0,-7.073171,-0.609756,-0.107178,-0.832275,-0.5802,7.411512551741566,85.96477843877472,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144963646485,-5.304878,-8.47561,0.060976,-0.107788,-0.834473,-0.568848,7.423852681642444,85.51526089459878,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144968586485,-5.54878,-10.060976,0.121951,-0.114075,-0.840759,-0.577148,7.4307764445243265,85.06506722440321,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144973526485,-5.853659,-11.707317,0.365854,-0.120789,-0.851685,-0.572876,7.431914324019033,84.61391306538434,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144978466485,-5.670732,-13.47561,0.304878,-0.115662,-0.86676,-0.558411,7.42085654558997,84.16344946498941,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144983406485,-5.182927,-15.609756,-0.182927,-0.119751,-0.873901,-0.554321,7.4002431770907435,83.71579894044783,,,,,
f0ceaec8-a4a9-4177-ac8e-6b89aa2a29fb,5d7d795d-77c8-40a6-89c8-1a530b4b2e18,1702038144988346485,-5.304878,-17.743902,-0.792683,-0.121643,-0.87384,-0.557312,7.369371130359866,83.26787483868043,,,,,
