section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327231457037,-11.890244,0.548781,-5.792683,-0.092712,-0.917053,-0.537842,7.045621311475486,89.51560676256787,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327236397037,-11.585366,0.182927,-6.402439,-0.091797,-0.90802,-0.544678,7.089134173996058,89.03272197096447,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327241337037,-11.341464,-0.121951,-6.52439,-0.091248,-0.891968,-0.551575,7.131329027654374,88.55112383504388,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327246277037,-11.52439,-0.243902,-6.341464,-0.087952,-0.880249,-0.554993,7.1716409284101985,88.06858324568793,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327251217037,-11.768293,-0.182927,-5.97561,-0.087952,-0.871887,-0.567322,7.212395318653591,87.58496821628393,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327256157037,-12.378049,-0.243902,-5.54878,-0.087219,-0.863892,-0.572876,7.252668334566806,87.0984641773104,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327261097037,-12.987805,-0.182927,-5.426829,-0.085205,-0.866028,-0.577759,7.291921686697606,86.60898390329135,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327266037037,-13.597561,-0.060976,-5.304878,-0.083313,-0.868286,-0.586243,7.330521531281761,86.1165606016188,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327270977037,-14.146341,0.121951,-5.060976,-0.079285,-0.861328,-0.596252,7.368228930322545,85.62147022658644,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327275917037,-14.878049,0.426829,-4.756098,-0.081055,-0.856567,-0.600403,7.408296138587076,85.12307749544198,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327280857037,-15.487805,0.731707,-4.207317,-0.079041,-0.853027,-0.599304,7.4490356864699265,84.62184854792224,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327285797037,-15.853659,0.914634,-3.780488,-0.076538,-0.854675,-0.608582,7.489386612229424,84.11896745408035,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327290737037,-16.463415,1.341463,-3.536585,-0.077942,-0.856445,-0.613403,7.532290534061133,83.6134051388924,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327295677037,-16.585365,1.646341,-3.353659,-0.077148,-0.85553,-0.614624,7.5762355301880575,83.10750772093587,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327300617037,-16.585365,2.073171,-3.170732,-0.07251,-0.861145,-0.614014,7.619830830085249,82.6017252081138,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327305557037,-16.829269,2.378049,-2.865854,-0.072937,-0.859863,-0.611511,7.6651473901056875,82.0950973991446,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327310497037,-16.829269,2.682927,-2.926829,-0.072449,-0.868408,-0.612061,7.7111703876706486,81.5887614601416,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327315437037,-16.341463,3.109756,-3.04878,-0.074463,-0.868958,-0.612183,7.759851620136089,81.08524743984225,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327320377037,-15.853659,3.292683,-3.292683,-0.072144,-0.865784,-0.615173,7.808119254312118,80.58440431615406,,,,,
87946145-3cff-4e29-a491-ea0cbf04733a,1377c24e-79c5-4c27-b583-bd3ea53948e3,1702037327325317037,-15.609756,3.353659,-3.414634,-0.07019,-0.858032,-0.614746,7.8557829372306855,80.08507206063496,,,,,
