section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205953670512,659.649,941.825,1.0,,,9.543602857562957,-30.115234406968515
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205957635512,663.003,946.544,1.0,,,9.848228444992666,-30.465800582197783
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205961652512,657.703,949.596,1.0,,,9.42353944016967,-30.708010862034225
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205965640512,657.274,950.693,1.0,,,9.393702249887781,-30.792021371248588
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205973626512,662.486,954.485,1.0,,,9.850229149041606,-31.068836852850463
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205977798512,656.617,951.943,1.0,,,9.345618887937185,-30.88818185812711
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205981712512,638.559,948.44,1.0,,,7.8220932394999565,-30.655597503636287
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205985676512,632.173,961.345,1.0,,,7.345373490456086,-31.64662093893895
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205993656512,616.378,965.127,1.0,,,6.032998213917229,-31.957866395296975
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037205997680512,627.476,966.171,1.0,,,6.971364150484063,-32.02134386653442
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206001706512,622.304,964.846,1.0,1,,6.530583062369179,-31.928237163627387
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206006191512,609.485,963.089,1.0,1,,5.446155776654627,-31.811426219852326
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206013668512,615.384,968.214,1.0,1,,5.960618294262463,-32.194396438401
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206017660512,611.604,968.308,1.0,1,,5.642257431140661,-32.20646153559072
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206021650512,613.867,969.116,1.0,1,,5.835929155925436,-32.2651154533142
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206025656512,613.173,968.987,1.0,1,,5.776894568044094,-32.25620939397634
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206033642512,604.734,957.27,1.0,1,,5.029359912485289,-31.37376775658641
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206037637512,612.398,953.798,1.0,1,,5.659652655638832,-31.10069025674606
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206041743512,616.827,955.813,1.0,1,,6.037046384447135,-31.248365729465103
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206045748512,604.856,956.879,1.0,1,,5.0384008106251486,-31.343901694028496
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206053656512,597.617,956.912,1.0,1,,4.432214411507562,-31.353892504319415
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206057682512,606.074,962.665,1.0,1,,5.158173558124422,-31.7831353859768
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206061733512,600.716,964.808,1.0,1,,4.71406197726376,-31.952251354315578
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206065654512,603.168,965.186,1.0,1,,4.921523005990172,-31.97844007397232
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206073649512,600.972,972.991,1.0,1,,4.759552455708621,-32.57606660619444
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206077638512,601.855,971.14,1.0,1,,4.828614644820321,-32.43386578826677
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206081652512,606.202,974.278,1.0,1,,5.2060004596945415,-32.66836224165516
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206085652512,603.03,972.74,1.0,1,,4.932835106875378,-32.55465112145442
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037206093639512,600.353,973.542,1.0,1,,4.708862806200249,-32.61870948030992
