section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207098875512,-0.243902,-0.609756,4.085366,-0.131592,-1.024231,-0.187439,7.051579210496158,89.57447733842889,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207103815512,-0.060976,-0.609756,4.085366,-0.133606,-1.022156,-0.184631,7.104228291692209,89.15001954111358,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207108755512,0.487805,-0.548781,3.719512,-0.131836,-1.025024,-0.184265,7.156408529788024,88.72821862001808,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207113695512,1.036585,-0.487805,3.170732,-0.134766,-1.026611,-0.187012,7.210038375412921,88.30934571898706,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207118635512,1.219512,-0.365854,3.353659,-0.130432,-1.023254,-0.190674,7.2628115341925366,87.89127619607626,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207123575512,1.097561,-0.182927,3.902439,-0.129822,-1.017883,-0.191956,7.316720008070604,87.4727425752738,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207128515512,0.914634,0.121951,4.268293,-0.132751,-1.020142,-0.18634,7.373399240004545,87.05359740921841,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207133455512,0.914634,0.304878,3.841464,-0.138184,-1.024536,-0.182068,7.432940248511898,86.63486141816668,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207138395512,1.402439,0.304878,3.719512,-0.134827,-1.030151,-0.188782,7.490890596396667,86.21849206805012,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207143335512,1.707317,0.426829,3.780488,-0.133667,-1.027405,-0.18866,7.54922650917149,85.80378550202659,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207148275512,1.402439,0.548781,3.780488,-0.136169,-1.021057,-0.187256,7.609585686594045,85.38796193777432,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207153215512,1.036585,0.609756,3.597561,-0.136597,-1.026978,-0.18219,7.670099740830665,84.9705325845793,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207158155512,0.914634,0.731707,3.658537,-0.129944,-1.027222,-0.179016,7.728629149172292,84.55240399866256,,,,,
6aa24e5e-b6bd-4b7c-b979-617b1219b135,635f57fe-cef7-496f-b020-e6c6c5ed617c,1702037207163095512,0.97561,0.792683,3.47561,-0.139893,-1.028992,-0.178528,7.7913072486814485,84.13533267640258,,,,,
