section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066451622250,-35.365856,-3.292683,-23.658537,-0.148682,-0.925049,-0.418762,7.051014650240376,89.40285058879522,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066456562250,-36.829269,-2.865854,-22.92683,-0.147766,-0.927002,-0.425171,7.102271387683999,88.7983076744602,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066461502250,-38.231709,-2.560976,-22.743902,-0.147827,-0.935486,-0.425598,7.153135242458006,88.18671669287994,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066466442250,-39.268295,-2.5,-23.292683,-0.143799,-0.935791,-0.433655,7.201050454998551,87.56973638461028,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066471382250,-40.243904,-2.439024,-23.902439,-0.135925,-0.932068,-0.44342,7.2445106561465025,86.94751446938767,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066476322250,-41.463417,-2.5,-24.512196,-0.134827,-0.916443,-0.442444,7.286535202871562,86.31943788550473,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066481262250,-42.92683,-2.378049,-24.573172,-0.129761,-0.903381,-0.436584,7.326209248129317,85.68408109880465,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066486202250,-44.573174,-2.5,-23.841463,-0.121216,-0.894348,-0.431396,7.360770997431814,85.04036878486374,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066491142250,-46.036587,-2.682927,-22.439024,-0.112366,-0.893738,-0.432312,7.389607483411822,84.3892259415594,,,,,
b10e188d-9f8e-4e4f-be8a-f063f2b0e41e,f7a3abd6-7324-4ff6-be91-41c79ea51404,1702037066496082250,-46.829269,-2.743902,-20.670732,-0.111755,-0.894531,-0.430664,7.4172759383092455,83.73449770378761,,,,,
