section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714775081356,3.536585,-5.731708,-43.719513,-0.2323,-0.940186,-0.310059,7.073552783315563,89.60200660996713,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714780021356,2.5,-5.609756,-43.109756,-0.228088,-0.942078,-0.309326,7.1442235212225285,89.19815763903733,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714784961356,1.52439,-5.54878,-42.682926,-0.230408,-0.946167,-0.315552,7.214197192495362,88.78939263197685,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714789901356,0.548781,-5.487805,-41.951221,-0.232178,-0.943237,-0.313904,7.28398995790775,88.37586151656762,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714794841356,-0.548781,-5.243903,-40.975609,-0.223145,-0.944641,-0.302795,7.349680596866989,87.95582564154154,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714799781356,-1.52439,-5.060976,-40.060978,-0.220642,-0.951904,-0.294189,7.4131377088317265,87.53045611353639,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714804721356,-2.378049,-5.182927,-38.902439,-0.220032,-0.959351,-0.291138,7.473733634363299,87.10058941655132,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714809661356,-2.865854,-5.54878,-37.865856,-0.21991,-0.953064,-0.299255,7.53177271459532,86.66840654509832,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714814601356,-3.536585,-5.853659,-36.768295,-0.215393,-0.943848,-0.30072,7.5861114885052245,86.23269881446993,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714819541356,-4.390244,-6.158537,-35.487804,-0.206543,-0.950806,-0.301575,7.633586790086696,85.7918999948231,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714824481356,-5.609756,-6.52439,-34.57317,-0.204834,-0.957275,-0.304199,7.676841484172513,85.34490525307058,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714829421356,-6.585366,-6.890244,-34.146343,-0.206299,-0.963867,-0.3078,7.717010886821214,84.89320427608112,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714834361356,-7.682927,-7.378049,-34.085365,-0.204285,-0.966003,-0.297607,7.752351463869104,84.43600134377903,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714839301356,-8.353659,-7.987805,-34.268295,-0.196594,-0.965027,-0.297729,7.7800763481052115,83.97501208567826,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714844241356,-8.719512,-8.658537,-34.146343,-0.192444,-0.959106,-0.297852,7.801853260393983,83.51218259076899,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714849181356,-9.02439,-9.085366,-33.902439,-0.185669,-0.950745,-0.301453,7.818046309442309,83.04768338356666,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714854121356,-9.207317,-9.45122,-33.780487,-0.182922,-0.943115,-0.304138,7.830473684615441,82.58244757598715,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714859061356,-9.45122,-9.695122,-32.92683,-0.175049,-0.944641,-0.30481,7.837383599516386,82.11573419844314,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714864001356,-9.573171,-9.817074,-32.134148,-0.16803,-0.951111,-0.307678,7.8393962798487,81.6482019369505,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714868941356,-9.573171,-9.756098,-31.341465,-0.169434,-0.955994,-0.3125,7.841068752965981,81.18110600719677,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714873881356,-9.329268,-9.573171,-30.853659,-0.169861,-0.963318,-0.317444,7.842256218553359,80.71554410260302,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714878821356,-8.719512,-9.512196,-29.87805,-0.160767,-0.966248,-0.315735,7.839305803841199,80.25280410651214,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714883761356,-8.170732,-9.390244,-28.414635,-0.163452,-0.963745,-0.312439,7.838168923833081,79.7934798164988,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714888701356,-7.317073,-9.268292,-27.256098,-0.160583,-0.965149,-0.310791,7.836191224306901,79.33865689386903,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714893641356,-6.585366,-8.963415,-25.975611,-0.155884,-0.974365,-0.307739,7.833263066211572,78.88757102216618,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714898581356,-5.97561,-8.963415,-24.512196,-0.151855,-0.979492,-0.30603,7.8287482200278475,78.43974270320405,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714903521356,-5.060976,-8.963415,-23.414635,-0.148499,-0.983643,-0.30365,7.8227547836556255,77.99672271729918,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714908461356,-4.634146,-8.841464,-22.682928,-0.142822,-0.989258,-0.307007,7.8145672620040045,77.55594156350833,,,,,
9bb91ac0-7f86-48bc-b29e-64f5cb03000d,98f7d3a6-275e-4b7d-9529-dde39adfda25,1702036714913401356,-4.45122,-8.780488,-22.012196,-0.13916,-0.993042,-0.316101,7.804777200631008,77.11632398555446,,,,,
