section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1,1702036512631844956,1702036512775802956,143,753.644,535.388,15.669063589016059,0.35239320157952303
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,2,1702036513159833956,1702036513267794956,107,716.93,873.584,13.823329369752955,-24.848851896776925
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,3,1702036513291809956,1702036513379915956,88,711.763,895.448,13.542351608751595,-26.50033893408934
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,4,1702036513447855956,1702036514091714956,643,656.466,892.064,9.045636198851364,-26.362608880672152
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,5,1702036514115756956,1702036514303916956,188,658.063,910.102,9.25518110565094,-27.720139566185495
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,6,1702036514323849956,1702036515427770956,1103,649.667,905.933,8.55212465028727,-27.420025661554174
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,7,1702036515455876956,1702036516187801956,731,655.589,885.701,8.948396144520508,-25.884736645058695
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,8,1702036516400059956,1702036516575850956,175,606.247,688.819,4.675692911003151,-11.148497316615064
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,9,1702036516652434956,1702036516752274956,99,765.545,647.378,16.673134931982972,-7.939335317950834
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,10,1702036516815884956,1702036517499850956,683,659.335,789.219,8.919107210531918,-18.63425689577452
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,11,1702036517527847956,1702036517723829956,195,666.352,785.595,9.45455678917911,-18.354031961474238
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,12,1702036517803819956,1702036517935815956,131,580.593,587.358,2.695668980859813,-3.541257532693895
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,13,1702036518011818956,1702036518223815956,211,470.145,610.181,-5.606643740891273,-5.2477970576846475
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,14,1702036518355834956,1702036518511906956,156,702.644,731.95,12.102222465734911,-14.29803708046395
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,15,1702036518531898956,1702036518664018956,132,697.387,768.609,11.808326338434986,-17.041043936660248
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,16,1702036518971861956,1702036519039861956,68,523.75,515.88,-1.5712675181677134,1.8229225397370918
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,17,1702036519059877956,1702036519143878956,84,578.245,523.673,2.5163748696480965,1.2378210109847672
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,18,1702036519267867956,1702036519427797956,159,602.33,829.895,4.545800950691844,-21.745298898167068
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,19,1702036519455887956,1702036519687930956,232,624.794,772.765,6.2017925635768805,-17.435212977295343
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,20,1702036519775775956,1702036520091816956,316,632.589,483.919,6.602633380185696,4.212153885751739
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,21,1702036520132227956,1702036520463773956,331,604.725,556.775,4.5025491781231635,-1.2454526883801516
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,22,1702036520743984956,1702036521007841956,263,636.392,885.329,7.398168243648903,-25.885670304906757
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,23,1702036521087874956,1702036521415917956,328,592.128,420.667,3.585676825225071,8.961994811853668
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,24,1702036521783904956,1702036521891858956,107,764.686,664.085,16.64558939481038,-9.177378992853987
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,25,1702036522131875956,1702036522203845956,71,493.67,488.788,-3.831988413035776,3.853488507321858
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,26,1702036522235961956,1702036522311924956,75,549.541,495.453,0.3637674545888947,3.3563159255000308
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,27,1702036522531797956,1702036522723797956,192,647.904,894.646,8.362897782174672,-26.57127577267738
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,28,1702036522811980956,1702036523203851956,391,578.248,436.029,2.531546411329256,7.812856520358624
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,29,1702036523279784956,1702036523515883956,236,740.544,676.469,14.8462281131814,-10.12274748676592
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,30,1702036523755857956,1702036524023858956,268,600.978,899.214,4.570644465511655,-26.974061804194566
