section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512515770956,763.674,679.199,1.0,,,16.60747894754029,-10.297944221938312
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512519768956,738.094,676.262,1.0,,,14.659937093928201,-10.11007662831746
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512523745956,732.323,675.186,1.0,,,14.220031524521037,-10.03629873374495
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512531774956,723.183,670.311,1.0,,,13.517009237542364,-9.682963085163582
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512535777956,758.799,676.473,1.0,,,16.23050443840774,-10.101953559296465
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512539816956,772.972,668.449,1.0,,,17.283982116158654,-9.4907609131031
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512543766956,790.921,684.571,1.0,,,18.692119471310587,-10.658415699558667
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512551761956,754.678,705.023,1.0,,,15.998547535601556,-12.2240581690286
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512555719956,759.612,694.063,1.0,,,16.34097914451174,-11.40455499959537
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512559737956,752.595,659.084,1.0,,,15.719264529667534,-8.819625890959411
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512563759956,771.555,628.751,1.0,,,17.090864460860605,-6.555293952470902
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512571788956,772.515,627.287,1.0,,,17.160610714649973,-6.446228824190546
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512575923956,763.975,576.085,1.0,,,16.45676633912764,-2.661484976145045
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512579794956,770.853,549.688,1.0,,,16.96100325910653,-0.7065653967595525
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512583781956,770.198,586.021,1.0,,,16.93198498290811,-3.3946501642302644
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512591766956,764.66,581.623,1.0,,,16.512310322798466,-3.0712992663249894
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512595732956,756.286,565.218,1.0,,,15.87325202418069,-1.8584332813572981
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512599753956,786.717,564.067,1.0,,,18.156837652720775,-1.7668793073277163
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512603788956,759.812,552.268,1.0,,,16.133221161159305,-0.8983991913913413
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512612181956,767.068,531.034,1.0,,,16.676564687638116,0.6737370220766774
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512615753956,758.677,524.115,1.0,,,16.048513035750876,1.187198072746656
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512619743956,769.542,525.286,1.0,,,16.863352094785558,1.0987414042555779
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512623834956,770.826,521.022,1.0,,,16.961004821339827,1.4139285709265357
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512631844956,767.09,527.574,1.0,1,,16.67887744684837,0.9297958730095868
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512635784956,749.042,523.927,1.0,1,,15.325768181310163,1.2027256517708687
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512639792956,753.132,509.849,1.0,1,,15.638056736944066,2.245554811316793
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512643734956,758.538,517.683,1.0,1,,16.04021268858297,1.6637263290177449
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512651811956,749.324,519.806,1.0,1,,15.348115804008934,1.5082977237871669
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512655929956,748.186,509.184,1.0,1,,15.267224384226928,2.2962859675416056
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512660237956,751.057,513.891,1.0,1,,15.480465846109004,1.946454837052012
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512663758956,776.563,524.403,1.0,1,,17.390517119684205,1.162818019677483
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512671757956,770.187,529.932,1.0,1,,16.910784359279273,0.7549410720175792
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512675776956,772.202,521.589,1.0,1,,17.064082077120453,1.371674897727049
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512679780956,763.459,533.854,1.0,1,,16.405474089977908,0.46535083512571707
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512683790956,767.934,527.792,1.0,1,,16.742136951428165,0.9135326943605215
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512691754956,774.152,523.398,1.0,1,,17.20984161332289,1.2375620224881019
55c02f99-0e17-4288-b746-9bd413c01871,a21de6d1-0d95-4023-bc12-c19089e2b3a6,1702036512695778956,763.368,520.325,1.0,1,,16.401654090201482,1.4670319249849686
