section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1,1702036380130660135,1702036380262841135,132,836.529,669.519,22.10666737447002,-9.483685873198514
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,2,1702036380290676135,1702036380414719135,124,799.764,683.724,19.36139781741668,-10.58296823975821
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,3,1702036380470719135,1702036380542743135,72,810.71,685.486,20.199397336843194,-10.696106860089992
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,4,1702036380694758135,1702036381774665135,1079,585.246,523.251,3.04143421886539,1.269204763976046
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,5,1702036381846718135,1702036382094671135,247,832.188,548.134,21.5662070379697,-0.5879644642384474
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,6,1702036382122700135,1702036382330658135,207,814.388,575.797,20.243430533294088,-2.623151793612303
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,7,1702036382462738135,1702036382642692135,179,488.413,526.605,-4.2210790243238225,1.017108020175991
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,8,1702036382742715135,1702036384074708135,1331,597.24,887.115,4.2429183177923875,-26.062750322818886
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,9,1702036384094720135,1702036384242756135,148,626.726,875.831,6.5903295924262215,-25.181881646396896
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,10,1702036384334653135,1702036384502688135,168,863.521,489.06,23.955618526391902,3.722487475284621
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,11,1702036384570668135,1702036384686736135,116,845.61,540.217,22.574205525974058,-0.007899787652127717
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,12,1702036384722661135,1702036384982677135,260,755.483,650.748,15.919953294682061,-8.198709151881037
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,13,1702036385002691135,1702036385062663135,59,755.672,733.062,16.17024233665052,-14.302101542385131
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,14,1702036385250652135,1702036385434644135,183,517.634,699.488,-2.0596125500025244,-11.95935148781541
