section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381213901135,-21.768293,-7.682927,-1.890244,-0.038269,-0.890503,-0.529724,6.980371484226595,89.4650480548857,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381218841135,-22.073172,-7.439024,-1.280488,-0.033142,-0.886475,-0.533447,6.959347133386274,88.92852594694261,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381223781135,-22.621952,-7.012195,-0.304878,-0.038025,-0.88031,-0.541077,6.942758296666966,88.38945239584905,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381228721135,-23.353659,-6.646342,0.670732,-0.04126,-0.882019,-0.544128,6.929459836960888,87.84692347158705,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381233661135,-24.207317,-6.341464,1.646341,-0.043274,-0.877686,-0.541565,6.91880434585957,87.30035099005084,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381238601135,-24.87805,-5.914634,2.439024,-0.050354,-0.873718,-0.545166,6.913832294165388,86.75079782439963,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381243541135,-25.54878,-5.487805,3.414634,-0.053589,-0.871887,-0.551697,6.912801351917437,86.19820533255643,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381248481135,-26.219513,-5.060976,4.329268,-0.049744,-0.865845,-0.54541,6.9125991696690505,85.64242521999222,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381253421135,-26.585367,-4.817073,5.0,-0.051575,-0.871033,-0.542297,6.914695978432263,85.08512809350941,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381258361135,-27.012196,-4.512195,5.609756,-0.053894,-0.879333,-0.5401,6.919566693882842,84.52605105235341,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381263301135,-27.012196,-4.329268,5.54878,-0.059937,-0.887756,-0.539978,6.928004352407186,83.96743712583594,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381268241135,-26.768293,-4.329268,5.304878,-0.061951,-0.896301,-0.536011,6.937160191219903,83.41040923979278,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381273181135,-26.402439,-4.268293,5.060976,-0.06134,-0.901123,-0.536987,6.9462289478811385,82.85552034431345,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381278121135,-25.792683,-4.268293,4.512195,-0.068542,-0.899597,-0.543579,6.958290449035644,82.30422777125773,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381283061135,-25.365854,-4.268293,4.329268,-0.070374,-0.89917,-0.547913,6.971148312382809,81.75548787311567,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381288001135,-25.365854,-4.390244,4.390244,-0.065979,-0.892944,-0.551514,6.981830643891783,81.20702792228542,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381292941135,-25.121952,-4.329268,4.45122,-0.066711,-0.89032,-0.550842,6.9933831733418685,80.66022011827818,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381297881135,-25.0,-4.512195,4.390244,-0.069153,-0.88269,-0.551758,7.005416401988839,80.11453363659149,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381302821135,-24.87805,-4.634146,3.963415,-0.07312,-0.878723,-0.556335,7.018441001714137,79.57002066839539,,,,,
178383a6-f01d-47a1-9f54-b5ab261ff40b,dda16b2d-7ea6-47cb-a72e-be0b84bdc357,1702036381307761135,-24.817074,-4.634146,3.719512,-0.070496,-0.876343,-0.558411,7.03026767574741,79.02618328109082,,,,,
