section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927956365972,-5.365854,1.097561,0.304878,-0.145813,-1.005676,-0.304749,7.066814054314051,89.55010629039202,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927961305972,-5.182927,0.792683,0.365854,-0.145874,-1.004578,-0.30481,7.132223592254377,89.10115738254763,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927966245972,-5.121951,0.487805,0.182927,-0.142273,-1.010986,-0.301575,7.194257057484009,88.65229419734777,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927971185972,-4.878049,0.182927,0.182927,-0.142273,-1.014038,-0.299194,7.254592678341453,88.20468542501487,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927976125972,-4.695122,-0.243902,0.182927,-0.146301,-1.012878,-0.29834,7.31449661439791,87.75831904227175,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927981065972,-4.573171,-0.609756,-0.304878,-0.146545,-1.015015,-0.296204,7.372429110400816,87.31265482952978,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927986005972,-4.268293,-0.97561,-0.853659,-0.144348,-1.023193,-0.294373,7.427004018778774,86.86842154522054,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927990945972,-3.902439,-1.463415,-1.280488,-0.142639,-1.0224,-0.290283,7.4783204141267845,86.42604384884555,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035927995885972,-3.658537,-1.768293,-1.829268,-0.144714,-1.022522,-0.291809,7.528662215180162,85.98513340975438,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928000825972,-3.353659,-2.073171,-2.378049,-0.14386,-1.023987,-0.293945,7.576738467319103,85.54583056198351,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928005765972,-2.926829,-2.256098,-2.804878,-0.140686,-1.019836,-0.296509,7.622542060028678,85.1086725996779,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928010705972,-2.682927,-2.560976,-3.04878,-0.139709,-1.009949,-0.29364,7.666708506788211,84.67294547007634,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928015645972,-2.5,-2.804878,-3.292683,-0.13269,-1.00824,-0.29187,7.706632905856225,84.23797580755985,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928020585972,-2.256098,-3.04878,-3.597561,-0.133362,-1.010193,-0.293457,7.745159306187929,83.80446352033175,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928025525972,-2.134146,-3.353659,-3.902439,-0.133972,-1.011169,-0.293335,7.781991080148686,83.37182389179162,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928030465972,-1.829268,-3.414634,-4.268293,-0.13031,-1.014404,-0.292542,7.816444193076904,82.94073228530829,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928035405972,-1.646341,-3.597561,-4.512195,-0.126099,-1.010559,-0.293091,7.848113315989025,82.51063186876758,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928040345972,-1.463415,-3.780488,-4.573171,-0.124878,-1.012329,-0.295532,7.878013255951743,82.08166450599714,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928045285972,-1.341463,-3.658537,-4.512195,-0.123474,-1.003662,-0.300537,7.908152392842766,81.65359787354458,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928050225972,-1.158537,-3.780488,-4.085366,-0.121765,-1.000854,-0.296021,7.937205221553484,81.22673417139254,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928055165972,-0.914634,-3.780488,-3.719512,-0.124878,-0.999207,-0.294739,7.967627260960398,80.80160677934111,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928060105972,-0.670732,-3.780488,-3.414634,-0.122559,-0.996765,-0.296997,7.997254088954037,80.37795925166967,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928065045972,-0.487805,-3.719512,-2.743902,-0.121155,-0.99707,-0.29834,8.026946184645567,79.95556302833774,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928069985972,-0.426829,-3.47561,-2.560976,-0.119629,-0.992798,-0.298645,8.057384410574826,79.53380327477612,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928074925972,-0.304878,-3.292683,-2.195122,-0.117798,-0.997925,-0.298401,8.087881748119287,79.11294685692718,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928079865972,-0.304878,-3.04878,-1.829268,-0.118958,-1.000916,-0.29895,8.12005527842797,78.69255023221143,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928084805972,-0.548781,-2.926829,-1.646341,-0.119385,-1.000671,-0.300781,8.153014838076757,78.27138458946706,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928089745972,-0.487805,-2.682927,-1.402439,-0.121338,-0.999573,-0.300476,8.18806928723049,77.8510467340841,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928094685972,-0.853659,-2.560976,-1.158537,-0.118347,-1.004822,-0.303467,8.22238692299112,77.42917605127883,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928099625972,-0.853659,-2.317073,-1.280488,-0.115417,-1.008667,-0.30011,8.25628057463723,77.00757685166167,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928104565972,-0.914634,-2.317073,-1.52439,-0.117249,-1.009705,-0.300354,8.290419876941513,76.58616334147428,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928109505972,-0.792683,-2.195122,-1.463415,-0.121582,-1.007751,-0.303467,8.326832347691692,76.16599378402248,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928114445972,-0.853659,-2.012195,-1.463415,-0.120789,-1.006409,-0.304077,8.363710593702649,75.74593548129138,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928119385972,-1.036585,-1.890244,-1.402439,-0.11969,-1.005066,-0.30603,8.400712376872292,75.32538390602167,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928124325972,-1.097561,-1.768293,-1.463415,-0.122009,-1.006348,-0.307312,8.438895890237717,74.90507583918273,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928129265972,-1.036585,-1.707317,-1.280488,-0.126282,-1.003052,-0.303406,8.479265131226157,74.4857786269913,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928134205972,-1.097561,-1.646341,-1.158537,-0.122314,-1.002502,-0.299377,8.518410864527453,74.0664991318038,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928139145972,-1.036585,-1.463415,-0.792683,-0.122375,-1.00293,-0.299927,8.558765685279099,73.64803756709125,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928144085972,-0.792683,-1.219512,-0.548781,-0.120239,-1.00116,-0.30011,8.59971476090675,73.23119679672652,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928149025972,-0.548781,-1.219512,-0.243902,-0.126282,-1.002136,-0.303162,8.643249885507885,72.81634315020429,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928153965972,-0.487805,-1.097561,0.060976,-0.123413,-1.001404,-0.299744,8.686598771962906,72.40220266773923,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928158905972,-0.304878,-1.036585,0.426829,-0.125916,-1.00238,-0.299011,8.731578994926338,71.9896197032457,,,,,
0247f8f3-da7e-429a-b045-f7197c3addd0,7111d6a3-98d7-4735-901c-cd1dcf78cdb2,1702035928163845972,-0.121951,-0.914634,0.670732,-0.132019,-1.006042,-0.297302,8.779565966228517,71.57874054159305,,,,,
