section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804495026957,-2.804878,1.341463,3.231707,-0.116516,-1.009216,-0.252991,7.055753527735703,89.56116019392164,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804499966957,-2.560976,0.792683,3.170732,-0.117004,-1.009888,-0.250183,7.10908771169278,89.1235850347681,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804504906957,-2.560976,0.365854,3.04878,-0.117615,-1.00708,-0.250671,7.160802149275725,88.68611634704814,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804509846957,-2.317073,0.121951,2.865854,-0.122375,-1.009216,-0.254517,7.213247631861776,88.25015551134567,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804514786957,-2.195122,-0.121951,2.621951,-0.118103,-1.006104,-0.25531,7.262922162214437,87.81470515029821,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804519726957,-2.195122,-0.426829,2.621951,-0.115173,-1.006836,-0.253357,7.309915914583996,87.37923530401224,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804524666957,-2.012195,-0.487805,2.682927,-0.116455,-1.006104,-0.249695,7.3572479157784585,86.94488011647877,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804529606957,-1.890244,-0.792683,2.5,-0.121033,-1.006897,-0.248779,7.404926151261776,86.51150325728071,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804534546957,-1.890244,-1.280488,2.317073,-0.123718,-1.014832,-0.24353,7.450891757732052,86.07838842961581,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804539486957,-1.768293,-1.768293,2.134146,-0.124939,-1.019592,-0.238708,7.494681207912208,85.6461014177334,,,,,
bebe9bde-c8e0-4156-8190-6de0df41c520,d7f59bac-13d4-4d40-a643-0a54ac43e38e,1702035804544426957,-1.707317,-2.378049,2.012195,-0.120911,-1.019287,-0.237793,7.533830766010112,85.21413486067024,,,,,
