section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1,1702035715274145965,1702035715430193965,156,723.14,888.448,14.417484625202391,-25.946198994841126
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,2,1702035715450207965,1702035715570230965,120,710.286,885.677,13.361862359711528,-25.7710784432777
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,3,1702035715590224965,1702035715778218965,187,727.979,871.864,14.699323461838024,-24.69248680814209
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,4,1702035715802235965,1702035715958212965,155,739.096,866.189,15.55338715284132,-24.239397946189484
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,5,1702035716038234965,1702035716626268965,588,669.61,854.618,9.945995178284347,-23.523906650710128
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,6,1702035716650218965,1702035716770203965,119,670.654,834.993,9.952921771019827,-22.049480455642417
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,7,1702035717070235965,1702035717142243965,72,649.814,882.057,8.468433841320472,-25.619450761191132
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,8,1702035717182266965,1702035717570260965,387,625.148,880.196,6.476024738446423,-25.51293305366439
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,9,1702035717602252965,1702035718422294965,820,573.829,876.88,2.3417956616680855,-25.303871916291932
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,10,1702035718982228965,1702035719082409965,100,670.615,629.453,9.486565586979369,-6.672985850940906
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,11,1702035719230252965,1702035719394219965,163,683.926,461.285,10.476607452031605,5.886416545920091
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,12,1702035719462339965,1702035719622233965,159,566.182,741.375,1.6500814497462852,-15.106246520528172
