section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715234165965,670.217,888.184,1.0,,,10.140202905323468,-26.045913507300767
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715234218965,666.539,893.626,1.0,,,9.868046279009521,-26.462413493116564
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715238159965,672.194,892.187,1.0,,,10.31907929780525,-26.34341495352343
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715242161965,672.295,892.196,1.0,,,10.327299893188263,-26.34385560579271
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715250179965,671.979,898.725,1.0,,,10.333584871496084,-26.836101492044595
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715254184965,701.784,899.844,1.0,,,12.760085687949525,-26.855070140940725
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715258172965,694.945,892.825,1.0,,,12.164034956248946,-26.343644092328432
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715262177965,707.283,886.721,1.0,,,13.125738947232582,-25.856626488680927
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715270268965,698.048,884.425,1.0,,,12.367235884236646,-25.705812420849362
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715274145965,694.13,879.136,1.0,1,,12.0227115802565,-25.317509273926927
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715278165965,703.585,877.578,1.0,1,,12.774544726650614,-25.179611724833183
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715282185965,703.179,885.839,1.0,1,,12.789287912814904,-25.800163316236656
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715290222965,722.713,895.552,1.0,1,,14.430751692794958,-26.479574059747243
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715294207965,714.489,905.439,1.0,1,,13.829702306609578,-27.24309608199301
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715298191965,714.61,901.724,1.0,1,,13.814540939032517,-26.9639683671024
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715302180965,717.522,898.975,1.0,1,,14.032727875460308,-26.750036102959736
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715310181965,713.534,894.797,1.0,1,,13.681689203802515,-26.447003667265758
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715314152965,719.443,890.179,1.0,1,,14.130024471950085,-26.085518929095624
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715318182965,718.66,889.46,1.0,1,,14.062037785452818,-26.03370364572721
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715322161965,721.952,886.938,1.0,1,,14.311554159296707,-25.836205810507035
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715330182965,723.964,884.551,1.0,1,,14.458276458269667,-25.652180290898812
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715334160965,699.016,876.187,1.0,1,,12.399606085079354,-25.08552185905561
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715338159965,706.1,879.937,1.0,1,,12.990353807728747,-25.350697320240467
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715342180965,723.916,890.706,1.0,1,,14.495348609419903,-26.113255581686545
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715350196965,717.284,881.373,1.0,1,,13.899565713615175,-25.431243617033957
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715354203965,717.742,875.988,1.0,1,,13.903136055308671,-25.02681901738911
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715358189965,723.2,880.397,1.0,1,,14.369789975457701,-25.343159011652318
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715362224965,729.205,878.422,1.0,1,,14.840215939472804,-25.179788733794524
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715370162965,743.679,884.55,1.0,1,,16.04877167121582,-25.59789675465171
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715374167965,728.027,885.46,1.0,1,,14.792192515854087,-25.70948486330994
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715378160965,742.92,887.006,1.0,1,,16.005485047076046,-25.783544882520346
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035715382167965,725.17,899.332,1.0,1,,14.656352321033607,-26.756193994305654
