section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716398855965,-1.158537,1.707317,0.548781,-0.128296,-1.001953,-0.240662,7.062779914573696,89.56992829136743,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716403795965,-1.463415,1.646341,0.426829,-0.131409,-0.998962,-0.244507,7.126735731130736,89.13856656649227,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716408735965,-2.012195,1.707317,0.609756,-0.131836,-0.998169,-0.243347,7.1912443867998945,88.70457542749278,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716413675965,-2.865854,1.707317,0.792683,-0.129089,-0.996826,-0.244019,7.254720834554718,88.26630441863392,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716418615965,-3.170732,1.585366,0.97561,-0.130798,-0.995117,-0.251038,7.31844214981308,87.82673361953363,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716423555965,-3.719512,1.646341,1.219512,-0.136047,-0.994934,-0.259216,7.38471254089896,87.3848718087811,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716428495965,-4.45122,1.707317,1.341463,-0.131104,-0.995544,-0.254089,7.449245253088463,86.93926295462359,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716433435965,-4.939024,1.707317,1.402439,-0.131836,-0.997498,-0.253723,7.513999930210389,86.49143709941438,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716438375965,-5.243903,1.585366,1.341463,-0.135132,-1.002869,-0.264343,7.579198004081121,86.04242878083153,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716443315965,-5.54878,1.768293,1.402439,-0.134155,-0.998657,-0.261047,7.645143647622177,85.59209882970907,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716448255965,-5.853659,1.829268,1.036585,-0.131897,-0.999817,-0.269165,7.710249316095883,85.14033377232067,,,,,
a3e13182-c2fd-449d-8d97-9bb20a5e9aa8,f541f1e9-7747-4e56-bd33-1c62daeb03fe,1702035716453195965,-6.280488,1.768293,1.219512,-0.130615,-1.001831,-0.275146,7.774476120451766,84.68663018996097,,,,,
