section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584265971977,-1.707317,-3.658537,-4.207317,-0.115356,-0.986023,-0.344849,7.031559688749354,89.56664366921325,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584270911977,-1.890244,-3.353659,-4.573171,-0.115967,-0.986023,-0.341125,7.064655408625299,89.13241926535494,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584275851977,-2.195122,-3.109756,-4.756098,-0.111145,-0.984192,-0.343567,7.096762958861717,88.69649234652093,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584280791977,-2.682927,-2.804878,-4.878049,-0.109192,-0.981445,-0.347412,7.129430483309477,88.25812914242402,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584285731977,-3.04878,-2.560976,-4.878049,-0.112915,-0.98114,-0.346008,7.1646563304828135,87.81821274919702,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584290671977,-3.536585,-2.317073,-5.0,-0.110291,-0.982483,-0.347168,7.199649892084977,87.37584874725201,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584295611977,-4.02439,-2.073171,-5.060976,-0.110413,-0.983276,-0.344055,7.235602083420787,86.93119398443031,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584300551977,-4.268293,-2.073171,-5.060976,-0.112427,-0.979675,-0.341858,7.2723219447536,86.48558844546915,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584305491977,-4.634146,-2.012195,-5.0,-0.110718,-0.977356,-0.334839,7.308506191288984,86.03826919639539,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584310431977,-4.634146,-2.134146,-4.939024,-0.110046,-0.978455,-0.335205,7.343523231990844,85.59109498640703,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584315371977,-4.573171,-2.256098,-4.756098,-0.109802,-0.972961,-0.333618,7.377913923354811,85.14444496200235,,,,,
f4e27f12-76dd-4a1a-8465-14311e56174d,adf281ae-92c4-47bd-8511-625c2ef45a9c,1702035584320311977,-4.45122,-2.439024,-4.573171,-0.109558,-0.973267,-0.329956,7.4111206569172055,84.69861030410715,,,,,
