section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1,1702035242085288930,1702035243701418930,1616,490.98,603.58,-4.037766949569803,-4.756563711850903
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,2,1702035243721367930,1702035244149379930,428,575.063,728.83,2.3253488750839453,-14.16203411464556
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,3,1702035244173426930,1702035245049421930,875,550.611,724.343,0.45259566003436014,-13.828541937208945
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,4,1702035245233442930,1702035245405456930,172,659.827,839.085,9.111454099749922,-22.373151411333517
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,5,1702035245505369930,1702035245869358930,363,381.488,617.207,-12.280832882993066,-5.740358584901349
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,6,1702035246005409930,1702035246273423930,268,668.748,880.399,9.986227501775266,-25.46288836135446
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,7,1702035246413376930,1702035246593412930,180,574.395,898.721,2.4113862299598026,-26.954661722021978
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,8,1702035246933368930,1702035247133484930,200,538.19,464.304,-0.48942863309176077,5.693863852259216
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,9,1702035247181444930,1702035247521529930,340,512.644,666.387,-2.425951710759683,-9.473334978072673
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,10,1702035247561397930,1702035247873343930,311,526.975,707.31,-1.3507023662562474,-12.54819658826561
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,11,1702035247949356930,1702035248669411930,720,556.27,847.245,0.9190613044994945,-23.07269505999863
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,12,1702035248749333930,1702035249065395930,316,564.729,539.257,1.5024067400995333,0.06843387110252493
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,13,1702035249153309930,1702035250093383930,940,594.522,803.511,3.8942543306672976,-19.765624493415544
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,14,1702035250173372930,1702035250393324930,219,591.911,527.686,3.541093087732845,0.9363383926659029
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,15,1702035250565946930,1702035250625403930,59,226.604,63.792,-27.632700112874094,34.792832101708264
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,16,1702035250785524930,1702035251181371930,395,308.979,164.777,-19.2689830935203,27.7378557374933
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,17,1702035251433315930,1702035251769415930,336,665.063,793.2,9.376193609079019,-18.925241530007625
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,18,1702035251829407930,1702035252109354930,279,556.915,687.021,0.9279910111280619,-11.025131904266145
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,19,1702035252213393930,1702035252701453930,488,609.768,855.993,5.184296885221035,-23.70439853923868
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,20,1702035252893401930,1702035253033359930,139,671.786,784.162,9.872613256192992,-18.23971794873086
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,21,1702035253109436930,1702035253505401930,395,507.575,628.331,-2.7963620356492425,-6.616167943962948
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,22,1702035253601366930,1702035253961344930,359,569.381,849.827,1.9619509294080821,-23.26421930794921
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,23,1702035254033702930,1702035254433319930,399,557.478,596.753,0.9604635541210228,-4.247668599621622
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,24,1702035254461373930,1702035254961351930,499,518.33,627.677,-1.9860358109324394,-6.568337539168546
