section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243236678930,-1.341463,3.963415,-3.04878,-0.141907,-0.882751,-0.622437,7.087423529614682,89.570969859098,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243241618930,-1.402439,4.02439,-3.353659,-0.141174,-0.883789,-0.623901,7.174684000147039,89.14158219100636,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243246558930,-1.463415,3.963415,-3.536585,-0.139526,-0.884338,-0.623657,7.260773502620111,88.7117954431153,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243251498930,-1.402439,3.780488,-3.597561,-0.139832,-0.888062,-0.621948,7.345748505351935,88.28233925896154,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243256438930,-1.219512,3.597561,-3.780488,-0.135071,-0.88623,-0.620605,7.427660176987757,87.85353303855794,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243261378930,-1.280488,3.536585,-4.146341,-0.135254,-0.887756,-0.616394,7.50905975891655,87.42449364191918,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243266318930,-1.280488,3.47561,-4.512195,-0.13031,-0.890015,-0.619507,7.587552600681164,86.99518006201413,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243271258930,-1.280488,3.292683,-4.634146,-0.132996,-0.887939,-0.617065,7.6662920354341395,86.56617736681818,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243276198930,-1.280488,3.170732,-4.878049,-0.135559,-0.884766,-0.618286,7.745540592982934,86.13749912220186,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243281138930,-1.341463,2.926829,-5.060976,-0.130127,-0.885498,-0.619385,7.820851340061694,85.70827756446408,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243286078930,-1.097561,2.865854,-5.182927,-0.126282,-0.882812,-0.620544,7.894060625657062,85.28018406752534,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243291018930,-1.097561,2.926829,-5.0,-0.130371,-0.883057,-0.619019,7.969210986772822,84.85253938288838,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243295958930,-1.036585,2.743902,-5.0,-0.129578,-0.885193,-0.615173,8.042732043329579,84.42530841415157,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243300898930,-0.914634,2.621951,-4.939024,-0.123169,-0.888245,-0.61969,8.112446304457762,83.99844969491016,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243305838930,-0.792683,2.560976,-5.0,-0.123169,-0.888855,-0.621765,8.18154632556005,83.57239228877626,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243310778930,-0.609756,2.621951,-4.878049,-0.122925,-0.886902,-0.622986,8.250773608246107,83.14747123303965,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243315718930,-0.426829,2.621951,-4.695122,-0.122253,-0.882996,-0.624939,8.319807202479069,82.72369481839542,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243320658930,-0.304878,2.560976,-4.45122,-0.119873,-0.882568,-0.62146,8.387430773978338,82.30065060642517,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243325598930,-0.182927,2.621951,-4.146341,-0.119263,-0.881531,-0.622437,8.455107294400733,81.87846693312474,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243330538930,0.060976,2.682927,-3.597561,-0.118347,-0.884338,-0.615479,8.522648982045894,81.45774440438106,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243335478930,0.121951,2.621951,-3.47561,-0.116211,-0.887085,-0.610107,8.588666789090183,81.03747213051531,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243340418930,0.365854,2.682927,-3.353659,-0.114868,-0.889465,-0.611389,8.65414339567755,80.6186081663597,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243345358930,0.487805,2.621951,-3.292683,-0.114502,-0.892456,-0.608398,8.718809180358818,80.20060731809758,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243350298930,0.792683,2.682927,-3.170732,-0.117065,-0.890564,-0.605164,8.78481351298305,79.78458231724005,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243355238930,1.036585,2.743902,-3.170732,-0.118835,-0.89093,-0.607544,8.851604655734747,79.370155875622,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243360178930,1.097561,2.682927,-3.109756,-0.120483,-0.893188,-0.59967,8.918447296433811,78.95643378349155,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243365118930,1.219512,2.682927,-2.804878,-0.117737,-0.893311,-0.601379,8.984201095356923,78.5435186985743,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243370058930,1.341463,2.743902,-2.743902,-0.117004,-0.892029,-0.599792,9.049838599789524,78.13150190871585,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243374998930,1.341463,2.804878,-2.560976,-0.115906,-0.897095,-0.59552,9.114970855701415,77.71975344479739,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243379938930,1.52439,2.621951,-2.317073,-0.116455,-0.896301,-0.590942,9.179496452833348,77.30933104151012,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243384878930,1.707317,2.743902,-2.317073,-0.116943,-0.893799,-0.587646,9.24470167473271,76.90018839984987,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243389818930,1.890244,2.926829,-2.5,-0.112061,-0.897705,-0.586243,9.308133155353175,76.49196570776604,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243394758930,1.95122,2.865854,-2.621951,-0.116028,-0.898987,-0.584534,9.372412818201127,76.08456896800169,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243399698930,2.134146,2.743902,-2.682927,-0.111877,-0.897217,-0.581848,9.43418580652721,75.67821123405861,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243404638930,2.134146,2.865854,-2.926829,-0.109436,-0.892944,-0.580261,9.495208592917066,75.27204302340337,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243409578930,2.317073,2.926829,-2.804878,-0.110718,-0.89032,-0.576355,9.55704125102153,74.8672363324543,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243414518930,2.256098,2.987805,-2.926829,-0.10791,-0.882812,-0.576294,9.617989942907087,74.46233910119554,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243419458930,1.890244,2.926829,-2.865854,-0.10553,-0.881287,-0.574097,9.677547994873038,74.0558986225929,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243424398930,1.707317,3.04878,-2.682927,-0.10791,-0.882629,-0.572388,9.738533454986083,73.64906520159744,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243429338930,1.402439,3.170732,-2.865854,-0.107849,-0.88501,-0.571228,9.799395580185717,73.24102887076225,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243434278930,1.341463,3.04878,-2.987805,-0.104553,-0.888306,-0.561829,9.857659389893797,72.8328975621086,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243439218930,1.158537,3.170732,-3.04878,-0.102905,-0.889465,-0.562866,9.915386873600426,72.4241221189547,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243444158930,0.792683,3.109756,-3.231707,-0.107239,-0.884216,-0.563538,9.97424256578239,72.01409494521664,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243449098930,0.609756,3.04878,-3.47561,-0.1073,-0.881226,-0.561157,10.032274754991477,71.60350424806558,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243454038930,0.609756,3.04878,-3.536585,-0.104126,-0.878784,-0.560852,10.088722608688926,71.19312459919021,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243458978930,0.304878,2.865854,-3.597561,-0.104858,-0.878174,-0.5625,10.14420544347675,70.78164406039804,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243463918930,0.060976,2.804878,-3.719512,-0.107117,-0.879578,-0.560608,10.199665565349306,70.36942744524242,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243468858930,-0.121951,2.682927,-3.963415,-0.104858,-0.88385,-0.555359,10.25263854611623,69.95654711630215,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243473798930,-0.365854,2.439024,-4.02439,-0.111023,-0.885925,-0.554993,10.306325871998354,69.54315060207614,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243478738930,-0.548781,2.256098,-4.207317,-0.110413,-0.88739,-0.554932,10.358149346820028,69.12917394667198,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243483678930,-0.548781,1.95122,-4.268293,-0.111084,-0.882812,-0.551941,10.408556462513644,68.71566308366181,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243488618930,-0.609756,1.829268,-4.207317,-0.105164,-0.8797,-0.555603,10.45597416763161,68.30196750423568,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243493558930,-0.548781,1.768293,-3.963415,-0.105835,-0.877075,-0.554077,10.503558902625826,67.8890860133539,,,,,
1fbefd71-1533-4ab9-a483-506f941d4c4f,0d9e46b7-0015-4d72-83c7-347046721422,1702035243498498930,-0.609756,1.52439,-3.597561,-0.107666,-0.878845,-0.555786,10.550968658223951,67.47650029147547,,,,,
