section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1,1702035101185887689,1702035101465888689,280,528.478,675.968,-1.2293101045030213,-10.194791611916218
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,2,1702035101549953689,1702035102325715689,775,575.489,859.833,2.45731277171893,-24.016510995208954
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,3,1702035102349816689,1702035103609739689,1259,593.851,855.602,3.9156798785643256,-23.687351783179757
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,4,1702035103757829689,1702035104321807689,563,564.119,433.797,1.4658790946371376,7.98200881637685
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,5,1702035104425746689,1702035104570030689,144,562.719,810.3,1.4118843697287016,-20.288745841344685
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,6,1702035104617865689,1702035105873902689,1256,601.05,876.032,4.528010889262179,-25.222872515552446
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,7,1702035105901820689,1702035106509748689,607,649.836,829.942,8.292526172919652,-21.700566542080594
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,8,1702035106529744689,1702035106785819689,256,638.122,810.893,7.319580693741069,-20.28439094865186
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,9,1702035106841834689,1702035108185722689,1343,637.089,843.292,7.323858755955232,-22.719700984192336
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,10,1702035108337847689,1702035108797872689,460,600.493,439.126,4.208309959735516,7.576103456150264
