section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102352320689,-25.365854,4.512195,7.256098,-0.018066,-0.6745,-0.850281,7.03391734108007,89.44704436571294,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102357260689,-25.609756,4.573171,6.463415,-0.02417,-0.676636,-0.854248,7.072367133640455,88.89306550128936,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102362200689,-25.914635,4.45122,5.853659,-0.028198,-0.679565,-0.856079,7.113011006050101,88.33777271332923,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102367140689,-25.914635,4.390244,5.426829,-0.032043,-0.676941,-0.861145,7.156102661826253,87.78271877397003,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102372080689,-25.853659,4.329268,5.182927,-0.032043,-0.671692,-0.870789,7.19937650179088,87.22813395901358,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102377020689,-25.914635,4.390244,5.426829,-0.035461,-0.666992,-0.879639,7.2455690628965215,86.6735561944866,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102381960689,-25.731709,4.695122,5.853659,-0.04126,-0.664001,-0.888611,7.297307434852485,86.12031718912556,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102386900689,-25.54878,4.817073,6.341464,-0.041199,-0.667725,-0.895386,7.350026209758738,85.5682281864531,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102391840689,-25.365854,5.0,6.890244,-0.042725,-0.673279,-0.894287,7.404935828729634,85.01737122659159,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102396780689,-25.0,5.121951,6.95122,-0.046265,-0.672546,-0.890442,7.462921346395092,84.46874941087685,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102401720689,-24.390244,4.939024,6.95122,-0.046814,-0.678284,-0.889221,7.520497498971736,83.92345373506532,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102406660689,-23.780489,4.756098,6.95122,-0.045288,-0.687317,-0.884338,7.57638499664057,83.38141343233184,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102411600689,-22.92683,4.817073,6.890244,-0.039001,-0.684265,-0.882874,7.629624656958413,82.84370075065277,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102416540689,-22.37805,4.817073,6.646342,-0.037354,-0.687073,-0.880432,7.682112047847369,82.30896626387607,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102421480689,-21.646341,4.634146,5.97561,-0.044312,-0.690491,-0.874756,7.7371564442856595,81.77838221400498,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102426420689,-20.731709,4.390244,5.243903,-0.044312,-0.691162,-0.872375,7.79075280530904,81.2526200560153,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102431360689,-19.939024,4.085366,4.390244,-0.039673,-0.68988,-0.872131,7.84010042247283,80.7309120534826,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102436300689,-19.146341,3.658537,3.109756,-0.039673,-0.682251,-0.876831,7.886788512046451,80.21337689710515,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102441240689,-18.597561,3.231707,1.768293,-0.038452,-0.678162,-0.875916,7.929876123048842,79.69876113494547,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102446180689,-18.292683,2.865854,0.609756,-0.032532,-0.675964,-0.874817,7.967219492560332,79.18572785201104,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102451120689,-17.865854,2.5,-0.487805,-0.040039,-0.673401,-0.868408,8.005615425751415,78.67529602063257,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102456060689,-17.560976,2.134146,-1.402439,-0.038025,-0.674622,-0.873291,8.040199351500462,78.16656467950543,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102461000689,-17.37805,1.829268,-2.073171,-0.040222,-0.671082,-0.877869,8.073699961480656,77.65907949445364,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102465940689,-17.012196,1.52439,-2.378049,-0.037231,-0.666504,-0.879883,8.10387581003289,77.1536130245334,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102470880689,-16.95122,1.463415,-2.621951,-0.034424,-0.664612,-0.879883,8.13193943173124,76.64867770164761,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102475820689,-16.829269,1.341463,-2.682927,-0.034058,-0.664429,-0.877319,8.158940555038328,76.14467802695458,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102480760689,-16.463415,1.280488,-2.865854,-0.036926,-0.666077,-0.880432,8.186562110295455,75.64288807281784,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102485700689,-15.853659,1.097561,-3.04878,-0.036499,-0.662537,-0.877808,8.212732459415975,75.14442257489844,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102490640689,-15.243903,0.97561,-3.292683,-0.032593,-0.656311,-0.874084,8.236031301925294,74.64916843680615,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102495580689,-14.695123,0.914634,-3.536585,-0.030945,-0.656128,-0.879211,8.257678634418,74.15687428544632,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102500520689,-14.207317,0.609756,-4.02439,-0.033447,-0.656738,-0.877869,8.278115213373695,73.66735757567312,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102505460689,-13.719513,0.365854,-4.207317,-0.032898,-0.656372,-0.87677,8.296581796045075,73.1805608208019,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102510400689,-13.353659,0.243902,-4.329268,-0.029541,-0.655579,-0.878784,8.312423021790636,72.69579639249832,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102515340689,-13.04878,0.060976,-4.45122,-0.029785,-0.65155,-0.881165,8.327131949723992,72.21283579246915,,,,,
3c8dba83-4d7c-4177-a1e9-5db0ae0bab39,8ed95ff9-72ee-45af-9b08-4a6746eaf7e7,1702035102520280689,-12.926829,-0.121951,-4.817073,-0.029785,-0.65509,-0.875488,8.339985966082168,71.73082573398563,,,,,
