section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943856731941,-4.756098,0.548781,2.804878,-0.05365,-0.873901,-0.597046,7.028979842175914,89.54949804803726,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943861671941,-5.060976,0.670732,2.987805,-0.05426,-0.874939,-0.593872,7.058949270503774,89.0975405739776,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943866611941,-4.878049,0.548781,2.987805,-0.056274,-0.875427,-0.596619,7.089388544534245,88.64660640813702,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943871551941,-4.695122,0.487805,2.743902,-0.057312,-0.876648,-0.600037,7.120063673413597,88.19668640864586,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943876491941,-4.634146,0.548781,2.804878,-0.053162,-0.873901,-0.602783,7.149257787574271,87.74705355416648,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943881431941,-4.695122,0.426829,3.109756,-0.056396,-0.876587,-0.600952,7.179466083613022,87.29734127705086,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943886371941,-4.756098,0.365854,3.170732,-0.059204,-0.875977,-0.6026,7.21083286138898,86.84756493642385,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943891311941,-4.512195,0.426829,3.292683,-0.059998,-0.874084,-0.599304,7.243070554891148,86.39919280644273,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943896251941,-4.390244,0.304878,3.414634,-0.062622,-0.870667,-0.603516,7.276189842872327,85.95170544689529,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943901191941,-4.45122,0.304878,3.658537,-0.063416,-0.867126,-0.602722,7.30999293482148,85.50416212485942,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943906131941,-4.146341,0.365854,3.841464,-0.059937,-0.868591,-0.598511,7.342619429154354,85.0582339341106,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943911071941,-4.02439,0.426829,4.02439,-0.063416,-0.870605,-0.600525,7.377283359639819,84.61325917821756,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943916011941,-4.02439,0.426829,3.963415,-0.060852,-0.873169,-0.599182,7.410784504532131,84.16844653918645,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943920951941,-3.902439,0.365854,3.902439,-0.060486,-0.870667,-0.599731,7.4439856028129725,83.72449369694544,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943925891941,-3.902439,0.365854,3.902439,-0.061279,-0.876465,-0.601135,7.477475182404078,83.28083295920749,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943930831941,-3.902439,0.365854,4.02439,-0.060303,-0.875366,-0.599182,7.51074268411827,82.83744163354726,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943935771941,-3.841464,0.548781,3.841464,-0.064453,-0.879211,-0.60083,7.546631959151711,82.39476907940872,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943940711941,-3.963415,0.609756,3.597561,-0.062378,-0.880249,-0.600464,7.5818061585963505,81.95172992467366,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943945651941,-4.085366,0.487805,3.353659,-0.060242,-0.876648,-0.599976,7.615470894783584,81.50834319869756,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943950591941,-4.085366,0.609756,3.109756,-0.059875,-0.878174,-0.602295,7.6494200233055665,81.0652618540675,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943955531941,-4.207317,0.609756,2.743902,-0.065369,-0.881775,-0.605225,7.6854358890067545,80.62206199725682,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943960471941,-4.45122,0.548781,2.378049,-0.063782,-0.883118,-0.604004,7.720170686861252,80.1779377039498,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943965411941,-4.573171,0.487805,1.95122,-0.057373,-0.887573,-0.606445,7.7513806343737315,79.7333491597343,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943970351941,-4.573171,0.426829,1.52439,-0.064575,-0.885071,-0.606628,7.78508076627341,79.28931400341139,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943975291941,-4.756098,0.304878,0.97561,-0.063538,-0.881653,-0.608093,7.817327780066535,78.84468315587526,,,,,
ebf238d1-ef75-4f20-ba60-633b273c8623,28ebca3f-e6e2-4e70-b93c-8e7e01de0a1f,1702034943980231941,-4.695122,0.243902,0.548781,-0.060547,-0.88385,-0.608826,7.847487907289889,78.40061097604843,,,,,
