section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,1,1702034817337458445,1702034817593473445,256,651.753,740.337,8.219154396396002,-14.98094293154291
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,2,1702034817657502445,1702034818049461445,391,649.754,757.37,8.100198931448057,-16.258631939069826
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,3,1702034818073552445,1702034818149465445,75,606.076,779.303,4.761510947731392,-17.93945582496745
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,4,1702034818253499445,1702034818541445445,287,511.738,721.964,-2.5197191428859527,-13.64569095663072
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,5,1702034818681425445,1702034818961524445,280,766.865,772.908,17.20355921393313,-17.235276550724105
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,6,1702034819109427445,1702034819237485445,128,536.178,870.479,-0.6825167590763536,-24.826047121083118
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,7,1702034819261516445,1702034819825440445,563,567.424,850.729,1.8070806963509045,-23.332809141443313
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,8,1702034819853604445,1702034820237459445,383,577.269,851.35,2.5903969537922493,-23.37602389495134
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,9,1702034820337470445,1702034820609502445,272,847.08,681.294,22.95072299877889,-10.329293248187533
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,10,1702034820717459445,1702034821129465445,412,546.729,507.507,0.1526290976247513,2.451665318841491
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,11,1702034821225448445,1702034821345486445,120,582.958,796.974,2.984266413870292,-19.279780684170635
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,12,1702034821373490445,1702034822053492445,680,555.834,821.728,0.8760864200083297,-21.15023726893108
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,13,1702034822161460445,1702034822709466445,548,616.501,499.905,5.389542317608388,3.0174223117224366
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,14,1702034822861428445,1702034822977457445,116,762.213,796.702,16.963715324904,-19.01038740124465
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,15,1702034823037431445,1702034823329507445,292,734.092,694.316,14.400687753671948,-11.456295034417158
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,16,1702034823425549445,1702034824493503445,1067,570.487,840.165,2.0421859985238973,-22.535546833825748
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,17,1702034824677473445,1702034825145492445,468,563.937,506.815,1.4438274519437593,2.5033233946838283
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,18,1702034825213489445,1702034825377485445,163,670.93,701.116,9.610289323297911,-12.029233693481398
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,19,1702034825445459445,1702034825933525445,488,551.175,537.063,0.4859743717798119,0.23311269971862125
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,20,1702034826045554445,1702034826697483445,651,580.432,814.43,2.8033118624955207,-20.593958620348495
ef2168ab-6a26-44f0-8a4f-7ddeb7a0b94f,de5f1856-a92f-4759-90fb-25d193b6ea9c,21,1702034826809519445,1702034827037475445,227,593.886,483.283,3.6954539736532523,4.266562440269855
