section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1,1702034266106060516,1702034266190053516,83,644.203,567.197,7.465459856251924,-2.023631994504026
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,2,1702034266230052516,1702034266358070516,128,643.422,620.969,7.431816068095919,-6.049293739716687
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,3,1702034266594070516,1702034266810102516,216,546.507,577.97,0.13594843651053243,-2.8377673845775595
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,4,1702034266866126516,1702034267090075516,223,762.852,716.243,16.659243052648197,-13.043408064571551
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,5,1702034267122182516,1702034267270082516,147,717.32,718.954,13.188981735958228,-13.310569837427767
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,6,1702034267314099516,1702034267686127516,372,552.16,680.151,0.5662108693067285,-10.509563547770608
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,7,1702034267718125516,1702034267838106516,119,541.609,682.865,-0.2341749482736271,-10.71348124509364
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,8,1702034267866085516,1702034268030121516,164,541.05,672.7,-0.27616656890612173,-9.950181520419603
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,9,1702034268086127516,1702034268466130516,380,727.609,701.899,13.927335296824841,-12.028078563023339
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,10,1702034268506153516,1702034268694153516,188,515.038,638.52,-2.2366580122904693,-7.381907218719603
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,11,1702034268718136516,1702034268814184516,96,551.998,654.411,0.5518501546753013,-8.576816900224024
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,12,1702034268874311516,1702034269082143516,207,754.422,699.25,15.961400666633525,-11.796262742815996
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,13,1702034269114149516,1702034269278134516,163,770.738,679.118,17.143326613435768,-10.282967378007166
