section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267195419516,-6.402439,3.109756,0.670732,-0.095459,-0.937134,-0.504944,7.058728686995153,89.54276179632973,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267200359516,-5.304878,2.865854,-0.121951,-0.096619,-0.934204,-0.502258,7.116926607357385,89.09104095201315,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267205299516,-4.207317,2.195122,-1.036585,-0.100342,-0.930298,-0.501404,7.173598247862884,88.64498063388595,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267210239516,-3.353659,1.707317,-1.585366,-0.099609,-0.930908,-0.494507,7.227401020622551,88.20316076774247,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267215179516,-2.560976,1.158537,-2.012195,-0.10199,-0.930542,-0.497925,7.279434179393093,87.76545357918019,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267220119516,-1.890244,0.609756,-2.5,-0.101196,-0.924988,-0.500427,7.328483639920847,87.33114495673357,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267225059516,-1.463415,0.0,-2.682927,-0.105835,-0.915955,-0.503723,7.376873698698859,86.89934564543302,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267229999516,-1.402439,-0.548781,-2.743902,-0.103333,-0.907593,-0.502563,7.4217077073871565,86.46790617927411,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267234939516,-1.52439,-0.97561,-2.865854,-0.107849,-0.901062,-0.514648,7.466606392600255,86.0362912458886,,,,,
8ba688cb-8dcf-4c16-85fe-5e5b37c03ded,c3566b04-6932-43b5-b7bd-a2ade9583445,1702034267239879516,-2.317073,-1.463415,-2.865854,-0.099976,-0.89325,-0.535034,7.505797122083976,85.60057009976163,,,,,
