section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1,1702034176802306680,1702034176890381680,88,625.298,819.727,6.3341108718588455,-20.961090660581327
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,2,1702034176958349680,1702034177198602680,240,635.875,806.629,7.133377626333004,-19.966635780672597
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,3,1702034177458374680,1702034178382400680,924,691.77,825.363,11.580563227019958,-21.29237008740207
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,4,1702034178418374680,1702034178538352680,119,651.501,794.763,8.323897766296223,-19.059084130218704
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,5,1702034178594397680,1702034178874372680,279,617.438,884.188,5.865962898698883,-25.822780098471103
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,6,1702034178898370680,1702034179338372680,440,666.334,817.543,9.551351552298133,-20.747612753421084
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,7,1702034179378354680,1702034180186400680,808,749.842,747.508,15.777802240096126,-15.384219122775951
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,8,1702034180346356680,1702034180806379680,460,423.128,507.581,-9.121270608373422,2.4349435774841965
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,9,1702034180838361680,1702034181038357680,199,458.936,550.825,-6.431656226432062,-0.79855645751637
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,10,1702034181090377680,1702034181358349680,267,536.291,696.523,-0.6392994006362678,-11.738903933938262
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,11,1702034181406349680,1702034181566361680,160,709.66,724.781,12.6195837513136,-13.754539564231424
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,12,1702034181594365680,1702034181766378680,172,673.203,748.38,9.88524868951293,-15.5608623011691
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,13,1702034181818357680,1702034181898349680,79,551.788,749.124,0.5457574666925287,-15.690220961377964
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,14,1702034181922352680,1702034182002363680,80,556.332,777.607,0.9023197204005249,-17.83065425137135
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,15,1702034182042422680,1702034182358418680,315,698.409,791.609,11.967733090093969,-18.757207636200707
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,16,1702034182398381680,1702034182478364680,79,553.946,772.118,0.7162313943258322,-17.418283448893515
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,17,1702034182522359680,1702034182638353680,115,589.357,761.543,3.4474034184725637,-16.614238325754826
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,18,1702034182686393680,1702034182786365680,99,577.26,848.785,2.5870009241929837,-23.18260569742327
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,19,1702034182830403680,1702034182954365680,123,617.879,725.534,5.599586373031126,-13.89681138737834
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,20,1702034182978373680,1702034183074397680,96,582.731,746.435,2.924614953918356,-15.481996244786984
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,21,1702034183214342680,1702034184062364680,848,577.996,916.934,2.7282706050931744,-28.33204346274823
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,22,1702034184170575680,1702034184386370680,215,725.745,655.553,13.682186247885213,-8.582723585340636
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,23,1702034184410366680,1702034184618393680,208,760.671,691.912,16.415191569045888,-11.243685838533183
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,24,1702034184678362680,1702034184986369680,308,554.304,571.763,0.7210225047083566,-2.3717237335304726
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,25,1702034185078344680,1702034185554411680,476,576.676,898.818,2.5966956793025395,-26.960881849516042
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,26,1702034185626361680,1702034185938375680,312,596.358,558.361,3.8751709853624536,-1.3646828794709822
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,27,1702034186030367680,1702034186734380680,704,581.07,913.792,2.975348816546368,-28.092152834962658
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,28,1702034187078341680,1702034187746375680,668,707.962,640.695,12.315233737195582,-7.490379504550755
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,29,1702034187822370680,1702034188270358680,447,593.306,903.561,3.955996792768664,-27.309226127778352
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,30,1702034188406398680,1702034188758378680,351,597.492,587.107,3.964518984145649,-3.5209555356738105
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,31,1702034188826367680,1702034189286359680,459,572.657,840.337,2.214073258249858,-22.54774958179271
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,32,1702034189306368680,1702034189434414680,128,558.943,848.401,1.131808004606275,-23.159391136259714
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,33,1702034189494381680,1702034190142400680,648,694.32,614.78,11.256604943309524,-5.566172793428295
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,34,1702034190214374680,1702034191166372680,951,574.534,821.38,2.3463156924005486,-21.119386758776596
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,35,1702034191286397680,1702034191486375680,199,797.541,624.674,19.042346291389013,-6.232400755767824
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,36,1702034191626398680,1702034191690379680,63,790.157,691.899,18.65785164897938,-11.200409989068836
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,37,1702034191714348680,1702034191950374680,236,829.963,676.843,21.63298023514512,-10.030862254861153
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,38,1702034192030476680,1702034192438372680,407,551.577,790.402,0.5357106351139856,-18.793285655753458
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,39,1702034192506354680,1702034193026353680,519,582.831,548.637,2.860103183933017,-0.6355017757493806
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,40,1702034193114362680,1702034193346377680,232,566.133,803.275,1.6754436717986998,-19.759395898583353
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,41,1702034193410370680,1702034193662337680,251,649.419,497.837,7.860784234823549,3.1668492667530854
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,42,1702034193750346680,1702034194530356680,780,571.815,813.396,2.1266054541551744,-20.51933298308265
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,43,1702034194786381680,1702034195022342680,235,818.314,649.742,20.667267020441596,-8.056530097040557
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,44,1702034195094674680,1702034195226406680,131,569.755,528.546,1.8794440123887695,0.872278715018599
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,45,1702034195282351680,1702034195582368680,300,558.998,547.504,1.0726386573237938,-0.5506321436031473
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,46,1702034195646411680,1702034196818452680,1172,578.99,798.647,2.6762106568826933,-19.407200728344083
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,47,1702034196966388680,1702034197338357680,371,786.897,581.473,18.182485265087507,-3.051822366214185
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,48,1702034197390339680,1702034197914332680,523,558.169,511.774,1.010901622214865,2.131261900277662
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,49,1702034197986539680,1702034198914329680,927,608.439,824.743,5.018187195790646,-21.35305369887648
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,50,1702034198987608680,1702034199506325680,518,604.901,492.838,4.520433787619641,3.5486901818775323
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,51,1702034199530360680,1702034199706331680,175,618.874,517.017,5.564333890983877,1.7347797215961271
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,52,1702034199750356680,1702034199950345680,199,776.235,584.708,17.38433220641177,-3.2951193581215628
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,53,1702034199970333680,1702034200110362680,140,793.264,624.895,18.720317690730667,-6.252343986484932
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,54,1702034200158386680,1702034200226346680,67,579.494,528.207,2.6098165835930076,0.8975247003145809
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,55,1702034200247067680,1702034200526320680,279,596.004,535.919,3.8478027485262936,0.31862785567472374
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,56,1702034200606407680,1702034200706356680,99,627.035,842.323,6.524522286873432,-22.65826074321234
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,57,1702034200734342680,1702034201358603680,624,631.807,842.466,6.902989267993286,-22.66377559216481
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,58,1702034201422355680,1702034201694328680,271,584.147,510.404,2.9599713758649058,2.233113693731806
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,59,1702034201722336680,1702034201978365680,256,529.979,520.41,-1.1038521597125814,1.4830784778333728
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,60,1702034202070642680,1702034202278312680,207,624.596,818.037,6.275278372398562,-20.83482366049976
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,61,1702034202386351680,1702034202614650680,228,629.372,467.97,6.368314575063177,5.407231027935129
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,62,1702034202670337680,1702034203034316680,363,785.46,525.716,18.057876621384096,1.0643179677571248
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,63,1702034203102561680,1702034203458345680,355,595.624,521.042,3.8199829572352164,1.4345489169808032
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,64,1702034203538324680,1702034204126362680,588,639.686,842.782,7.528260186747838,-22.67820785828193
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,65,1702034204198353680,1702034204566357680,368,626.47,454.317,6.157484999575056,6.430512801547675
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,66,1702034204655788680,1702034205770333680,1114,611.343,827.826,5.2526200235065845,-21.582625086131397
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,67,1702034205886359680,1702034206250350680,363,777.783,589.6,17.50535401299243,-3.656057339837645
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,68,1702034206390340680,1702034206574351680,184,594.433,772.704,3.851041665237791,-17.450326837247548
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,69,1702034206750332680,1702034207086320680,335,603.764,513.066,4.431438243760946,2.0321503715485085
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,70,1702034207158349680,1702034207966333680,807,612.96,784.673,5.303926225827274,-18.338111241100258
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,71,1702034208118322680,1702034208454330680,336,792.867,626.491,18.6933548458888,-6.37042536827766
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,72,1702034208506354680,1702034208730336680,223,584.929,550.748,3.0174708944834983,-0.7938607146645786
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,73,1702034208802320680,1702034208882323680,80,583.651,709.588,2.970754826813863,-12.714850371736325
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,74,1702034208902331680,1702034209250343680,348,620.265,721.83,5.777443891781835,-13.61762086530188
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,75,1702034209270351680,1702034209362354680,92,617.895,738.05,5.616812501304725,-14.835576779617417
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,76,1702034209382324680,1702034209506332680,124,626.054,772.156,6.298219750696369,-17.388442218865123
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,77,1702034209690342680,1702034209974340680,283,643.735,553.651,7.427889680254931,-1.0096346454999123
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,78,1702034210090322680,1702034210246402680,156,727.024,653.332,13.774758824693587,-8.416410051809391
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,79,1702034210314600680,1702034210430349680,115,624.017,767.545,6.132700713783353,-17.044085567187416
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,80,1702034210526335680,1702034210794988680,268,662.635,534.393,8.844356658307959,0.4312017942934591
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,81,1702034210814425680,1702034210890634680,76,643.404,539.697,7.402241110885463,0.03491194190919767
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,82,1702034210942474680,1702034211498328680,555,617.623,771.226,5.644133651161982,-17.325124525233846
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,83,1702034211590340680,1702034212034329680,443,660.168,494.478,8.668997615398501,3.4156392711253902
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,84,1702034212098333680,1702034212306325680,207,622.82,763.494,6.03349446579519,-16.741044468060384
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,85,1702034212374329680,1702034213054326680,679,628.358,557.801,6.275179338426704,-1.3212190815202425
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,86,1702034213134340680,1702034213222320680,87,661.007,700.472,8.85381122858858,-11.989349144934124
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,87,1702034213294334680,1702034213690352680,396,643.435,631.644,7.440669543426132,-6.84852586297176
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,88,1702034213726339680,1702034214402411680,676,612.752,573.018,5.107068743434527,-2.4628359609795734
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,89,1702034214706341680,1702034214886883680,180,631.255,522.727,6.4922131315119165,1.3060844334707178
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,90,1702034214918376680,1702034215218499680,300,521.257,507.563,-1.7587379118060962,2.4470526546844824
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,91,1702034215266380680,1702034215390348680,123,587.356,677.53,3.2345666416352583,-10.30749436158932
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,92,1702034215554359680,1702034215686435680,132,900.171,618.242,26.779952923070073,-5.663453356268757
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,93,1702034215706334680,1702034215806344680,100,869.125,649.046,24.513351305113392,-7.9401385545098755
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,94,1702034215846392680,1702034215978370680,131,812.424,632.565,20.18099232943217,-6.79980138524999
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,95,1702034216274546680,1702034216370458680,95,479.755,557.12,-4.87087197126495,-1.2711136676813728
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,96,1702034216394320680,1702034216570361680,176,529.408,526.878,-1.1465826829937509,0.9975522432919921
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,97,1702034216630423680,1702034216862337680,231,592.42,734.381,3.659005836112228,-14.573218510761166
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,98,1702034216938339680,1702034217190332680,251,590.073,471.595,3.4118679208300384,5.143595933505905
