section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176750330680,622.906,835.986,1.0,,,6.182490565625362,-22.185908302062884
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176758304680,645.941,815.779,1.0,,,7.945283635734284,-20.64222029036714
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176762316680,648.69,848.335,1.0,,,8.259605804081014,-23.083853874987838
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176766289680,621.435,772.474,1.0,,,5.94120186278972,-17.416018487119548
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176770308680,606.913,772.009,1.0,,,4.816313519616322,-17.391129757718705
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176778295680,630.802,786.023,1.0,,,6.692774081777931,-18.424930769048785
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176782307680,606.218,772.826,1.0,,,4.763613427873274,-17.452912493822154
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176786314680,634.845,827.123,1.0,,,7.102985514242679,-21.506964100298465
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176790362680,624.214,838.959,1.0,,,6.292919151291028,-22.408177044134455
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176798302680,639.638,823.592,1.0,,,7.471108878538511,-21.236239485796283
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176802306680,641.69,828.08,1.0,1,,7.644904909593498,-21.570958468521447
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176806287680,637.751,822.725,1.0,1,,7.320386657056405,-21.173288146858745
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176810298680,629.498,821.23,1.0,1,,6.667664970283768,-21.06986881763645
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176818306680,634.654,828.526,1.0,1,,7.091489650909638,-21.61260489240126
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176822301680,629.089,831.037,1.0,1,,6.6589520214545175,-21.80741945729578
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176826307680,629.781,844.836,1.0,1,,6.748620431238917,-22.84433937781824
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176830585680,634.463,841.526,1.0,1,,7.110876790968079,-22.59001819497191
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176838410680,624.597,831.721,1.0,1,,6.306161590358199,-21.863462092163875
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176842289680,625.846,823.463,1.0,1,,6.385593118340846,-21.241360168922437
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176846303680,615.592,825.565,1.0,1,,5.58291483842016,-21.408925130899902
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176850327680,611.795,825.341,1.0,1,,5.283550938582621,-21.39535277931658
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176858362680,631.234,806.3,1.0,1,,6.769576493280001,-19.94669031135994
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176862312680,620.885,808.995,1.0,1,,5.965355006038285,-20.15878593715877
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176866426680,616.805,818.87,1.0,1,,5.665044168118153,-20.904484858916774
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176870323680,619.92,812.604,1.0,1,,5.896980014790909,-20.430832594674538
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176878331680,619.527,792.525,1.0,1,,5.828054565461411,-18.922778498689766
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176882345680,611.313,798.738,1.0,1,,5.198522771257351,-19.395900746643047
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176886370680,620.144,790.572,1.0,1,,5.872516753086028,-18.77560090269426
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176890381680,614.458,790.996,1.0,,,5.430693637500111,-18.811902307634206
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176898342680,626.039,787.775,1.0,,,6.3259482843438235,-18.560690609054628
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176902342680,633.732,793.783,1.0,,,6.936997082668046,-19.004598303001842
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176906348680,631.275,757.288,1.0,,,6.675330710910584,-16.268962905875608
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176910348680,626.835,748.182,1.0,,,6.318357076385594,-15.589486029605137
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176918347680,629.239,761.15,1.0,,,6.52507702658669,-16.560230310460426
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176922341680,640.917,763.376,1.0,,,7.43070608241905,-16.717073073058213
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176926361680,627.126,768.87,1.0,,,6.375397208525272,-17.141077471904076
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176930350680,632.439,775.014,1.0,,,6.798031810298108,-17.59749177535019
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176938344680,628.687,787.349,1.0,,,6.531024231036997,-18.526409078809596
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176942350680,624.978,785.932,1.0,,,6.239993279222681,-18.423278255716834
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176946367680,634.182,812.727,1.0,,,7.015270895078678,-20.426248684123433
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176950370680,632.312,822.36,1.0,,,6.891632145558168,-21.151848586309885
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034176958349680,619.951,818.743,1.0,2,,5.911874028934212,-20.89216400155685
