section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177771953680,1.280488,-0.426829,2.073171,0.162781,-0.919006,-0.491394,6.923313203539777,89.58506108255665,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177776893680,1.097561,-0.182927,2.560976,0.162659,-0.917664,-0.49054,6.847876556204795,89.16923250260669,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177781833680,0.853659,0.060976,2.743902,0.15918,-0.919983,-0.488708,6.775478276906227,88.75192223252947,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177786773680,0.731707,0.304878,2.682927,0.157166,-0.920227,-0.486816,6.705303045228419,88.33390068054916,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177791713680,0.182927,0.426829,2.560976,0.156494,-0.920044,-0.485352,6.636122682018311,87.91318872027347,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177796653680,-0.365854,0.487805,2.256098,0.155579,-0.921875,-0.481995,6.567857312231837,87.48977025144688,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177801593680,-0.792683,0.487805,2.012195,0.150696,-0.922668,-0.482544,6.5018548147426145,87.06399608072587,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177806533680,-1.341463,0.487805,1.646341,0.151184,-0.924438,-0.482971,6.435802781611386,86.63566749557685,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177811473680,-1.646341,0.426829,1.463415,0.146118,-0.927673,-0.480042,6.371934995784386,86.20560134867549,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177816413680,-1.707317,0.304878,1.219512,0.144409,-0.926941,-0.481995,6.3081960420811924,85.77530449113851,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177821353680,-1.768293,0.060976,1.097561,0.143188,-0.930603,-0.476807,6.2441010484906485,85.3447773153938,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177826293680,-1.890244,0.0,1.158537,0.143738,-0.927307,-0.478455,6.179400996948289,84.91391184249403,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177831233680,-1.707317,-0.182927,1.219512,0.141602,-0.929077,-0.475342,6.114985705116425,84.48400096935228,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177836173680,-1.768293,-0.365854,1.280488,0.13916,-0.929749,-0.479492,6.050913484955288,84.05384691697498,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177841113680,-1.768293,-0.487805,1.463415,0.143494,-0.932312,-0.478394,5.9848179383965885,83.62416941581921,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177846053680,-1.463415,-0.548781,1.646341,0.142944,-0.934692,-0.478516,5.91906372356317,83.19617414866968,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177850993680,-1.341463,-0.426829,1.52439,0.141418,-0.933472,-0.480042,5.854556290759319,82.76897091915635,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177855933680,-1.341463,-0.426829,1.341463,0.141113,-0.926636,-0.47937,5.7897896912916735,82.34210507349314,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177860873680,-1.219512,-0.426829,1.585366,0.142822,-0.924805,-0.479431,5.724520001793053,81.91622697705293,,,,,
50b53fb8-a091-4279-94af-96f07f76447f,e8bfa59a-6ca3-4e0a-8a29-42c139f6f4c0,1702034177865813680,-1.097561,-0.182927,1.768293,0.144348,-0.930481,-0.481262,5.660482292624607,81.49127011465691,,,,,
