section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,1,1702034043763666191,1702034044095890191,332,549.843,664.052,0.3894945673047734,-9.300783234615345
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,2,1702034044167657191,1702034044811705191,644,557.129,895.453,1.0080635255091581,-26.713008720170226
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,3,1702034044883660191,1702034045399694191,516,588.604,573.576,3.2950651438896688,-2.5065413415532114
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,4,1702034045475710191,1702034045855675191,379,830.244,658.838,21.596124249527744,-8.709300224353349
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,5,1702034045915679191,1702034046155680191,240,552.951,596.781,0.620327416987138,-4.2499381425278555
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,6,1702034046215633191,1702034047799710191,1584,578.384,898.452,2.734901762250041,-26.932297980942543
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,7,1702034047875721191,1702034048071716191,195,837.591,674.351,22.203913898837712,-9.836234394237582
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,8,1702034048095731191,1702034048323716191,227,840.634,683.144,22.46721844354599,-10.475586474634238
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,9,1702034048395698191,1702034049119716191,724,585.929,894.872,3.3417154779653315,-26.65710991726789
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,10,1702034049179770191,1702034049807684191,627,570.056,564.976,1.902641819432606,-1.8619222922226246
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,11,1702034049943661191,1702034050247706191,304,785.912,643.637,18.20340061371382,-7.642475197182061
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,12,1702034050315759191,1702034050463734191,147,582.293,854.289,2.993428050217088,-23.595165584180798
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,13,1702034050487720191,1702034052439670191,1951,598.906,876.321,4.356294869777636,-25.24641295822186
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,14,1702034052535853191,1702034052715666191,179,564.373,524.221,1.4759094752519317,1.1969887350084778
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,15,1702034052747711191,1702034053359738191,612,569.508,565.356,1.8615430869996263,-1.8904823607221966
5d121599-95cc-4c58-adbc-ca8c4f6caf31,60057280-0f7f-42ef-b9f8-17ef9a85da1a,16,1702034053423694191,1702034053655712191,232,803.778,665.244,19.60938920157315,-9.215486625569369
