section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199797059566,-13.780488,-1.219512,-7.317073,-0.118591,-0.937073,-0.489075,7.047533285806679,89.50748117665051,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199801999566,-13.658537,-1.280488,-7.256098,-0.107971,-0.938477,-0.499634,7.089601380065659,89.01498189842732,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199806939566,-13.719513,-1.280488,-7.5,-0.108521,-0.937927,-0.488953,7.131542626191816,88.52223845205867,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199811879566,-13.353659,-1.158537,-6.768293,-0.110779,-0.941162,-0.492554,7.174633421513448,88.03146304314521,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199816819566,-13.47561,-1.036585,-6.95122,-0.105103,-0.941895,-0.495483,7.215408608545118,87.53987912388561,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199821759566,-13.414635,-0.97561,-7.073171,-0.102478,-0.937317,-0.487732,7.2551619519839505,87.04860434286178,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199826699566,-12.987805,-0.914634,-7.012195,-0.106934,-0.936829,-0.494141,7.296820809559165,86.55979282300552,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199831639566,-12.743903,-0.97561,-6.95122,-0.10376,-0.934082,-0.497437,7.336571146177931,86.07220632934332,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199836579566,-12.865854,-0.914634,-6.890244,-0.100769,-0.928955,-0.489685,7.375210880456962,85.58408650606731,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199841519566,-12.621951,-0.97561,-6.707317,-0.106018,-0.926453,-0.485657,7.415653812089772,85.09764618675388,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199846459566,-12.560976,-1.036585,-6.036585,-0.110779,-0.92511,-0.503174,7.457828140564061,84.61199359976433,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199851399566,-12.926829,-0.853659,-5.853659,-0.1026,-0.925842,-0.510315,7.497062512504698,84.1243757861177,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199856339566,-13.47561,-0.609756,-6.280488,-0.098267,-0.925232,-0.50238,7.535092167555376,83.63409775447963,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199861279566,-13.536586,-0.548781,-5.731708,-0.105042,-0.922729,-0.502808,7.576390300401528,83.14415085831456,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199866219566,-13.658537,-0.243902,-4.939024,-0.101929,-0.924255,-0.510925,7.617904425177471,82.65377949738019,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199871159566,-13.963415,0.121951,-4.756098,-0.095947,-0.92395,-0.504333,7.658487645973594,82.16196530439873,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199876099566,-14.390244,0.182927,-4.085366,-0.095459,-0.92334,-0.498596,7.699353659600746,81.66840226714169,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199881039566,-14.45122,0.487805,-3.353659,-0.101135,-0.927856,-0.49646,7.744167144101766,81.1751639696929,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199885979566,-14.329268,0.792683,-2.926829,-0.096863,-0.942322,-0.491821,7.78814140313338,80.68268303675995,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199890919566,-14.146341,0.853659,-3.353659,-0.097473,-0.95282,-0.48822,7.831648072485933,80.19145027545198,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199895859566,-13.47561,0.792683,-3.719512,-0.102722,-0.957764,-0.494141,7.8762080255417,79.70408982965904,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199900799566,-12.865854,0.792683,-4.146341,-0.102173,-0.95105,-0.494751,7.9201742784526346,79.22010957377063,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199905739566,-12.317074,0.670732,-4.695122,-0.103149,-0.947815,-0.498596,7.963268720147084,78.73925063442192,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199910679566,-12.012196,0.914634,-4.817073,-0.100037,-0.941711,-0.49292,8.006113407895754,78.26019435110544,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199915619566,-11.463415,1.036585,-4.573171,-0.098694,-0.934387,-0.491882,8.049240006831297,77.78425567118944,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199920559566,-10.97561,0.97561,-4.146341,-0.099426,-0.931885,-0.499084,8.092609149607341,77.3112126372248,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199925499566,-10.426829,0.97561,-4.085366,-0.102417,-0.93335,-0.506653,8.136886245504257,76.84141673647594,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199930439566,-9.939025,0.97561,-4.207317,-0.104431,-0.933533,-0.501892,8.181539540517946,76.37454609765814,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199935379566,-9.329268,1.036585,-4.207317,-0.104248,-0.928467,-0.500549,8.226334261833387,75.91113235458735,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199940319566,-8.597561,0.914634,-3.780488,-0.107178,-0.921204,-0.502502,8.27226865786065,75.45196263856127,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199945259566,-8.170732,1.097561,-3.292683,-0.106506,-0.912476,-0.508545,8.319517462679073,74.99536542655179,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199950199566,-7.865854,1.097561,-2.682927,-0.103516,-0.906555,-0.508728,8.366341767678648,74.54066730901451,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199955139566,-7.621952,1.158537,-1.95122,-0.106567,-0.903015,-0.505676,8.415596858239297,74.08785827229096,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199960079566,-7.195122,1.158537,-1.158537,-0.106689,-0.899231,-0.508118,8.465938746190204,73.63770684291882,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199965019566,-7.073171,1.341463,-0.670732,-0.107239,-0.900818,-0.505554,8.517795552552172,73.18869457333878,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199969959566,-6.829268,1.341463,0.0,-0.109558,-0.90564,-0.511047,8.571140169911871,72.74149422318882,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199974899566,-6.768293,1.463415,0.426829,-0.105896,-0.904419,-0.508057,8.624130399009715,72.29496091350364,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199979839566,-6.52439,1.463415,0.914634,-0.110229,-0.906006,-0.50824,8.67938217273209,71.85035027143107,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199984779566,-6.280488,1.768293,1.402439,-0.117004,-0.911072,-0.506592,8.73914755238556,71.40777102486663,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199989719566,-6.219512,1.829268,1.585366,-0.114746,-0.913818,-0.499817,8.798365473474632,70.96591295619197,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199994659566,-5.670732,1.829268,1.829268,-0.113525,-0.918335,-0.50116,8.857167391617253,70.52719970001539,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028199999599566,-5.304878,1.768293,2.134146,-0.110901,-0.930542,-0.502441,8.914496466312784,70.0906698023831,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200004539566,-4.878049,1.890244,2.073171,-0.109314,-0.933533,-0.50592,8.971437242930335,69.65661269750404,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200009479566,-4.268293,1.707317,2.012195,-0.116272,-0.937622,-0.501404,9.029819028947344,69.22636099282616,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200014419566,-3.597561,1.646341,2.073171,-0.118774,-0.942139,-0.499084,9.088667622898583,68.80002389391683,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200019359566,-2.987805,1.890244,2.134146,-0.117981,-0.945557,-0.498779,9.148175985320819,68.37712316382769,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200024299566,-2.439024,1.829268,2.134146,-0.118286,-0.94342,-0.49939,9.207503873074472,67.95741477864831,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200029239566,-1.829268,1.707317,2.317073,-0.120483,-0.948364,-0.503296,9.26709025181097,67.54127993822152,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200034179566,-1.707317,1.890244,2.439024,-0.118042,-0.94873,-0.500061,9.326701354359813,67.12613831050302,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200039119566,-1.402439,1.95122,2.439024,-0.117493,-0.95636,-0.497253,9.385927801659335,66.71295295292515,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200044059566,-0.914634,1.95122,2.195122,-0.121704,-0.959961,-0.499634,9.445953254368078,66.30274441195846,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200048999566,-0.426829,2.073171,2.134146,-0.125061,-0.957336,-0.498291,9.507643992135115,65.89553643501824,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200053939566,-0.182927,2.073171,1.829268,-0.129883,-0.952637,-0.499329,9.570585549401557,65.4901323300461,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200058879566,0.304878,2.012195,1.707317,-0.126648,-0.948364,-0.49646,9.631862708581622,65.08745082923235,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200063819566,0.365854,2.134146,1.829268,-0.126221,-0.950928,-0.497009,9.693496805967015,64.68550189725158,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200068759566,0.548781,2.134146,1.768293,-0.121765,-0.956116,-0.492981,9.75295317523225,64.28473477100397,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200073699566,0.548781,2.256098,1.707317,-0.129944,-0.9552,-0.48938,9.815723700282774,63.88477852609327,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200078639566,0.731707,2.256098,1.646341,-0.122925,-0.953308,-0.488037,9.87568487449849,63.48586308232393,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200083579566,0.792683,2.256098,1.402439,-0.12085,-0.949585,-0.488098,9.934332139426601,63.08754533239639,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200088519566,0.792683,2.317073,1.036585,-0.127502,-0.9552,-0.481445,9.994437351357021,62.6899393934778,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200093459566,0.97561,2.317073,0.487805,-0.129517,-0.958313,-0.477478,10.05368118992834,62.29368248706277,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200098399566,1.097561,2.195122,0.0,-0.128479,-0.957397,-0.472656,10.110708345361047,61.89837706502604,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200103339566,1.280488,2.256098,-0.609756,-0.120728,-0.954529,-0.474548,10.163602489438915,61.50390149711285,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200108279566,1.585366,2.378049,-0.97561,-0.121643,-0.952393,-0.473755,10.2163350871827,61.11130322611348,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200113219566,1.585366,2.5,-1.097561,-0.120972,-0.948853,-0.469482,10.268943245832276,60.71910994276601,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200118159566,1.52439,2.378049,-1.036585,-0.11908,-0.943237,-0.469788,10.320450144972114,60.32698291227581,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200123099566,1.707317,2.5,-0.914634,-0.123474,-0.938232,-0.469421,10.374377231015387,59.9363778160631,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200128039566,1.890244,2.682927,-0.609756,-0.125183,-0.937622,-0.469299,10.430224776488416,59.54721909330004,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200132979566,1.95122,2.682927,-0.426829,-0.12561,-0.933899,-0.477112,10.486584778420536,59.15871902644858,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200137919566,1.768293,2.926829,-0.670732,-0.11792,-0.930054,-0.476624,10.540383538060553,58.769300679124,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200142859566,1.646341,2.987805,-0.792683,-0.120911,-0.93335,-0.475037,10.594793327089548,58.37980774451748,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200147799566,1.280488,3.170732,-0.731707,-0.122375,-0.93689,-0.47583,10.650200558613705,57.98896381135563,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200152739566,0.97561,3.353659,-0.914634,-0.121216,-0.939697,-0.471313,10.705013130516988,57.59697910550051,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200157679566,0.914634,3.353659,-1.219512,-0.122437,-0.941528,-0.466125,10.759058546351525,57.20516430988482,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200162619566,0.853659,3.231707,-1.402439,-0.125977,-0.946777,-0.465088,10.812832733144631,56.813611787880404,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200167559566,0.731707,3.04878,-2.012195,-0.120605,-0.945374,-0.464722,10.861934221021073,56.4215167303646,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200172499566,0.609756,2.865854,-2.560976,-0.121216,-0.940125,-0.459229,10.908904658346415,56.02921956504383,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200177439566,0.670732,2.621951,-3.292683,-0.123596,-0.943604,-0.45343,10.953204804521562,55.6376952286941,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200182379566,0.548781,2.439024,-3.597561,-0.121582,-0.9422,-0.456543,10.994846681876538,55.24579229917441,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200187319566,0.548781,2.012195,-3.963415,-0.119507,-0.938416,-0.456848,11.032752444436028,54.85418540070589,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200192259566,0.609756,2.012195,-4.085366,-0.116516,-0.937195,-0.460571,11.068870683437666,54.46307052268719,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200197199566,0.487805,1.707317,-4.329268,-0.113586,-0.931274,-0.462402,11.101863352273,54.07158901149248,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200202139566,-0.0,1.52439,-4.45122,-0.114502,-0.928833,-0.462524,11.133849602600407,53.67814599442448,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200207079566,-0.182927,1.585366,-4.268293,-0.115784,-0.924988,-0.460205,11.166895328791213,53.28433983817723,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200212019566,-0.548781,1.463415,-4.146341,-0.113525,-0.925537,-0.459351,11.198556489148444,52.889146638322615,,,,,
1c920503-9787-4f5c-a96b-ccbd4a54073d,e713ee22-b392-4300-8dc5-0fd192a83eab,1702028200216959566,-0.853659,1.402439,-4.207317,-0.120422,-0.927979,-0.461304,11.231911191894,52.49311113468866,,,,,
