section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100454756320,-18.902439,-7.804878,-15.182927,-0.062744,-0.81543,-0.564392,6.993925514415338,89.48007383486345,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100459696320,-19.207317,-10.487805,-17.317074,-0.070801,-0.840637,-0.572449,6.976611702901977,88.95892165809937,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100464636320,-19.756098,-13.292684,-20.914635,-0.098511,-0.843933,-0.571472,6.957511718398479,88.43647747086897,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100469576320,-19.939024,-16.585365,-23.963415,-0.09491,-0.84082,-0.586243,6.918753417042666,87.91306975713815,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100474516320,-20.975611,-19.756098,-25.670732,-0.097412,-0.805664,-0.62323,6.865589467446881,87.38507393022269,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100479456320,-23.353659,-22.195122,-26.585367,-0.06012,-0.770874,-0.622864,6.780851291579154,86.84391971472536,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100484396320,-25.975611,-24.45122,-27.134148,-0.052246,-0.765747,-0.606628,6.67904646311581,86.28989888224044,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100489336320,-27.134148,-26.402439,-27.256098,-0.055054,-0.779724,-0.637085,6.566536266329024,85.73060716287694,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100494276320,-28.475611,-28.292683,-27.012196,-0.076416,-0.774231,-0.682922,6.453714674608875,85.16589025280626,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100499216320,-30.0,-29.634148,-27.012196,-0.051208,-0.769409,-0.660583,6.319647598411052,84.5932035269999,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100504156320,-29.817074,-31.219513,-28.231709,-0.044617,-0.775452,-0.591248,6.1722256763369785,84.02188001898026,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100509096320,-26.646341,-33.597561,-30.975611,-0.057373,-0.798767,-0.621948,6.015220301612089,83.46724975442453,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100514036320,-23.536587,-35.731709,-32.07317,-0.093994,-0.79248,-0.643188,5.862902859594584,82.92996320774927,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100518976320,-21.097561,-37.865856,-31.646341,-0.06897,-0.786865,-0.728088,5.685105480977114,82.40414237622792,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100523916320,-22.743902,-38.414635,-30.609756,-0.031738,-0.781128,-0.791748,5.4843478710146485,81.86992147781922,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100528856320,-25.975611,-37.378048,-30.243902,0.041931,-0.758057,-0.739868,5.251047719432307,81.32146669314096,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100533796320,-26.463415,-36.402439,-26.768293,0.020447,-0.750671,-0.697327,5.033980793633646,80.77026913261932,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100538736320,-26.95122,-35.670734,-22.682928,-0.033691,-0.740906,-0.709717,4.848725073825079,80.21609689618856,,,,,
a6210462-9f37-40c8-9c15-d81f816485c3,ddf7ad19-6ca8-4e7c-9101-77e6df0a35a3,1702028100543676320,-27.92683,-35.914635,-20.487804,-0.054199,-0.744324,-0.715576,4.672583664641252,79.65739611076259,,,,,
