section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1,1702027997729879135,1702027998873792135,1143,572.14,866.377,2.1960692738278644,-24.51159395313854
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,2,1702027998893855135,1702027999209863135,316,584.58,839.867,3.1575592055704815,-22.507109306178684
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,3,1702027999229776135,1702027999866016135,636,567.447,855.236,1.81215400519823,-23.672671000895228
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,4,1702027999925806135,1702028000045846135,120,703.405,832.92,12.531137612520917,-21.83599033606971
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,5,1702028000181829135,1702028001261817135,1079,558.758,837.71,1.1124511178024064,-22.3536259070591
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,6,1702028001321813135,1702028001453977135,132,722.761,845.474,14.126822369972327,-22.733010937763385
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,7,1702028001522198135,1702028002073819135,551,559.59,809.731,1.1665654485479489,-20.24652278676796
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,8,1702028002105794135,1702028002701803135,596,659.65,786.177,8.935344355838044,-18.40594129073582
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,9,1702028002729792135,1702028003061772135,331,632.077,792.473,6.8052793498403465,-18.907821277335746
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,10,1702028003109777135,1702028003329794135,220,510.916,850.837,-2.685441472261188,-23.33671993792797
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,11,1702028003401808135,1702028003505943135,104,656.558,851.811,8.896769247811267,-23.333823290325586
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,12,1702028003537831135,1702028004185787135,647,663.395,796.297,9.255270895899757,-19.159411214193607
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,13,1702028004221804135,1702028004325862135,104,640.53,888.868,7.74451955735765,-26.146682570073818
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,14,1702028004493811135,1702028004789865135,296,542.109,692.987,-0.19661331134564733,-11.473639463302062
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,15,1702028004842133135,1702028005429771135,587,663.072,896.068,9.598345939939792,-26.65278974715066
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,16,1702028005485832135,1702028005649834135,164,471.166,875.478,-5.906058084027455,-25.16474470279281
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,17,1702028005705823135,1702028005837828135,132,528.214,697.97,-1.2540033716437053,-11.846910073375584
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,18,1702028006173809135,1702028007865832135,1692,564.376,865.808,1.574437161122477,-24.471266713723555
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,19,1702028008021811135,1702028008729842135,708,714.541,797.829,13.24963903381838,-19.193555581747535
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,20,1702028008793944135,1702028008941867135,147,512.771,886.374,-2.5767368970220903,-26.019820567479016
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,21,1702028009022099135,1702028009181737135,159,726.471,888.567,14.687493037893892,-25.946204968633722
