section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998934123135,-11.036586,-6.280488,-20.121952,-0.021484,-0.939026,-0.462463,6.978342119959308,89.5177962633366,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998939063135,-10.731708,-6.52439,-19.817074,-0.026672,-0.937988,-0.458374,6.956914535351615,89.03722208422397,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998944003135,-10.304878,-7.073171,-19.268293,-0.022156,-0.942383,-0.465149,6.929807935209283,88.55879636327046,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998948943135,-10.121951,-7.256098,-18.841463,-0.018921,-0.939941,-0.463867,6.899517206595817,88.08137010835321,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998953883135,-9.939025,-7.560976,-18.658537,-0.015991,-0.936157,-0.461914,6.865580091947066,87.60498222260082,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998958823135,-9.512196,-7.987805,-18.414635,-0.006958,-0.940491,-0.460327,6.824656953478069,87.13084643690252,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998963763135,-9.268292,-8.414635,-17.987804,-0.011597,-0.945923,-0.462158,6.782909002858418,86.65814439293291,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998968703135,-9.085366,-8.780488,-17.682928,-0.007446,-0.944397,-0.464355,6.7367813474004095,86.18656705526354,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998973643135,-8.841464,-9.02439,-17.073172,-0.003967,-0.944824,-0.467529,6.687303987105707,85.71644062089558,,,,,
1ad80807-188c-46c2-ad3f-fd52c3af279f,78f363ee-1072-4dcd-baa2-08254646ea87,1702027998978583135,-8.780488,-9.329268,-16.463415,-0.001709,-0.939209,-0.463196,6.634788919958567,85.24688546574703,,,,,
