section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1,1702286911681276966,1702286911801228966,119,720.39,806.368,13.74397886474473,-19.819359576661583
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,2,1702286911833266966,1702286913149274966,1316,607.274,891.443,5.063264955965767,-26.38101956989415
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,3,1702286913173257966,1702286914385285966,1212,564.637,848.351,1.5839985763395588,-23.15430013440732
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,4,1702286914409265966,1702286914797300966,388,548.569,861.012,0.30939534133175267,-24.111875715276504
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,5,1702286914937285966,1702286915129318966,192,603.834,836.319,4.675493034476072,-22.227663293840596
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,6,1702286915157327966,1702286916153289966,995,610.052,860.846,5.217355292290487,-24.069797024739845
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,7,1702286916181289966,1702286916401299966,220,516.552,833.405,-2.2224206320803246,-22.025424619534828
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,8,1702286916429281966,1702286916501299966,72,485.013,851.21,-4.745452962832796,-23.348530892071455
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,9,1702286916593273966,1702286916713290966,120,719.953,833.571,13.841156048898798,-21.8503419619021
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,10,1702286916741289966,1702286916913285966,171,699.228,806.399,12.088544067169071,-19.860943133441022
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,11,1702286916973314966,1702286917109306966,135,500.164,786.107,-3.461263321365759,-18.45999689965253
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,12,1702286917233318966,1702286917701260966,467,721.524,799.226,13.800643304720438,-19.28458404709378
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,13,1702286917725262966,1702286918089314966,364,758.907,781.257,16.627056443611842,-17.871485230011217
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,14,1702286918153383966,1702286918549325966,395,521.303,789.645,-1.8201542706661826,-18.733670927615975
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,15,1702286918605316966,1702286919305298966,699,528.339,910.594,-1.3354412944833791,-27.85838777469154
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,16,1702286919381309966,1702286920029323966,648,756.438,762.997,16.35082519987278,-16.521584096436257
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,17,1702286920101292966,1702286920481300966,380,513.283,705.219,-2.393383859936324,-12.388707685681478
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,18,1702286920541301966,1702286920665281966,123,533.617,851.232,-0.8807337844904087,-23.373406923738653
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,19,1702286920689331966,1702286921409319966,719,557.305,876.414,1.013431676287479,-25.27371169353818
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,20,1702286921469329966,1702286921789303966,319,555.486,669.644,0.8171790097311391,-9.720418279270874
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,21,1702286921809299966,1702286921881308966,72,511.98,682.207,-2.482338199427083,-10.660835185211782
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,22,1702286921941371966,1702286922161315966,219,700.602,761.853,12.03472927449188,-16.531973429305346
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,23,1702286922225319966,1702286922325381966,100,481.725,899.6,-5.114280809265895,-26.99696551698145
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,24,1702286922425311966,1702286922489280966,63,696.735,797.612,11.859682711349313,-19.208522393831046
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,25,1702286922557292966,1702286922913295966,356,452.613,726.541,-7.046958887675765,-13.959748010616519
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,26,1702286923013373966,1702286923353300966,339,674.739,762.08,10.038968816557304,-16.58368366723962
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,27,1702286923513277966,1702286923873315966,360,513.924,889.649,-2.48738556349979,-26.267978132961257
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,28,1702286923921286966,1702286924281311966,360,548.902,692.597,0.3198149432993731,-11.444266771210327
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,29,1702286924341298966,1702286924589307966,248,544.486,861.938,-0.016576546650326457,-24.1818728629213
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,30,1702286924637295966,1702286925077305966,440,536.855,687.97,-0.5954820219792091,-11.096638720253514
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,31,1702286925161302966,1702286925461266966,299,679.844,770.702,10.457757100804866,-17.22203478974945
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,32,1702286925513299966,1702286925841302966,328,509.285,724.847,-2.708927766409525,-13.861568352319043
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,33,1702286925893302966,1702286926565323966,672,543.915,870.891,-0.06242534309142549,-24.857745515090038
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,34,1702286926609333966,1702286927321299966,711,527.99,683.594,-1.267809155860561,-10.767388928494514
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,35,1702286927381299966,1702286927909315966,528,546.952,815.347,0.1771338295969279,-20.67052158628901
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,36,1702286927969470966,1702286928317294966,347,529.658,688.045,-1.1420815906001782,-11.101774346620209
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,37,1702286928377429966,1702286928589335966,211,705.04,754.768,12.354283163151994,-15.996860425862899
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,38,1702286928609298966,1702286928889304966,280,701.279,766.646,12.102777040263634,-16.88865873403803
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,39,1702286928957281966,1702286929957308966,1000,543.985,866.583,-0.05666516348635273,-24.532495482331733
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,40,1702286930077299966,1702286930445316966,368,522.988,721.921,-1.6595677970200233,-13.644865691143023
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,41,1702286930469303966,1702286930581335966,112,538.762,757.544,-0.457440390044246,-16.32304650675443
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,42,1702286930693385966,1702286930845340966,151,712.459,761.272,12.94808130769666,-16.470665653846385
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,43,1702286930933529966,1702286931025350966,91,834.61,753.359,22.338885832613368,-15.635948886802666
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,44,1702286931121285966,1702286931353302966,232,555.366,796.165,0.8320864619335621,-19.226430559144138
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,45,1702286931381305966,1702286931469318966,88,577.505,800.102,2.561514865625564,-19.517221428821617
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,46,1702286931641301966,1702286931829308966,188,552.762,882.225,0.650071753113173,-25.713427393998415
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,47,1702286931989298966,1702286932085269966,95,591.878,923.986,3.8797083959507543,-28.857368998088592
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,48,1702286932109292966,1702286933289565966,1180,545.662,889.416,0.07830378509451925,-26.257537210653457
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,49,1702286933333549966,1702286933621281966,287,547.444,711.896,0.20978077787904179,-12.893739768649015
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,50,1702286933649436966,1702286933789281966,139,544.776,671.39,0.006166572192134973,-9.851850162990372
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,51,1702286933921267966,1702286934165270966,244,706.774,765.677,12.524196453854643,-16.808062352688573
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,52,1702286934221272966,1702286934601269966,379,534.949,703.528,-0.7423572023572566,-12.264950494434343
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,53,1702286934653293966,1702286935801283966,1147,566.708,846.309,1.7471009966440243,-22.999823874173668
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,54,1702286936005254966,1702286936369253966,363,546.775,860.818,0.16615553592280433,-24.097351722916528
