section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912781503966,0.243902,-2.134146,-0.792683,-0.050903,-1.006042,-0.299988,7.011061432682226,89.57393649065637,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912786443966,0.121951,-1.890244,-1.036585,-0.050537,-1.00415,-0.299316,7.023146648022248,89.14728592859342,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912791383966,-0.060976,-1.646341,-1.280488,-0.051208,-0.999084,-0.30188,7.036746408222626,88.71979521429398,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912796323966,-0.304878,-1.341463,-1.280488,-0.055359,-0.998047,-0.302917,7.053564815811313,88.2912605359383,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912801263966,-0.914634,-1.219512,-1.341463,-0.055969,-0.993286,-0.30603,7.071277360764526,87.85982198604353,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912806203966,-1.219512,-0.853659,-1.097561,-0.057983,-0.989929,-0.30603,7.0917097478569815,87.42704194156158,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912811143966,-1.585366,-0.548781,-0.792683,-0.057251,-0.985718,-0.310547,7.113448407138378,86.9925758219589,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912816083966,-2.378049,-0.487805,-0.426829,-0.055664,-0.983398,-0.312195,7.134919612124406,86.55431503124828,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912821023966,-3.04878,-0.121951,-0.182927,-0.061768,-0.980774,-0.310547,7.1608946461189475,86.1130758401448,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912825963966,-3.536585,0.182927,0.060976,-0.061646,-0.98877,-0.308777,7.1881658580011845,85.66960952523897,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912830903966,-4.02439,0.243902,0.243902,-0.059509,-0.991211,-0.309387,7.214826762127672,85.22389422838148,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912835843966,-4.45122,0.548781,0.609756,-0.058899,-0.99231,-0.310425,7.24284427600162,84.77629594438616,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912840783966,-4.695122,0.731707,0.670732,-0.060974,-0.992126,-0.309631,7.272655083135135,84.3278011436924,,,,,
b64b6c78-af03-475c-b39a-fa62b2e0a62d,4b198ae3-1221-4a8b-a066-811e4bb62333,1702286912845723966,-5.0,0.731707,0.792683,-0.063416,-0.99408,-0.307373,7.3034875495160065,83.87813698422286,,,,,
