section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092710513524,-0.97561,-0.243902,-0.365854,-0.051086,-0.99408,-0.327637,7.020744820585037,89.56792946008659,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092715453524,-1.036585,-0.182927,-0.487805,-0.05426,-0.996033,-0.326111,7.043075872687524,89.13564995893756,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092720393524,-0.914634,-0.182927,-0.609756,-0.052979,-0.997131,-0.329041,7.064799381522334,88.7039879662006,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092725333524,-1.036585,-0.060976,-0.609756,-0.04895,-0.992188,-0.330688,7.08548724898705,88.27171004084477,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092730273524,-0.97561,0.0,-0.426829,-0.050232,-0.994263,-0.327087,7.106973910494673,87.83985056905681,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092735213524,-0.853659,0.0,-0.304878,-0.052673,-0.995605,-0.329285,7.129460467635738,87.40875862862231,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092740153524,-0.731707,-0.060976,-0.182927,-0.05188,-0.997253,-0.33075,7.151278800711395,86.9783836262203,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092745093524,-0.548781,-0.060976,-0.304878,-0.049744,-1.001648,-0.331665,7.172050231499725,86.54901242180699,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092750033524,-0.670732,-0.060976,-0.121951,-0.050842,-0.996948,-0.330933,7.193407365143884,86.11924030735025,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092754973524,-0.792683,0.0,0.182927,-0.050781,-0.992737,-0.326904,7.215211216500535,85.68906394583377,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092759913524,-0.548781,0.121951,0.670732,-0.051941,-0.991211,-0.328857,7.238308430636579,85.2603357132574,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092764853524,-0.304878,0.243902,0.731707,-0.051697,-0.996216,-0.328979,7.261821531171876,84.83302729655776,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092769793524,-0.243902,0.304878,0.548781,-0.052368,-0.998291,-0.329346,7.2857849517435795,84.40626841813469,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092774733524,-0.182927,0.243902,0.487805,-0.054138,-0.997192,-0.330139,7.310167380983131,83.98010473390514,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092779673524,-0.0,0.243902,0.304878,-0.053162,-0.995117,-0.329041,7.334081710889734,83.55509037376981,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092784613524,-0.121951,0.243902,0.304878,-0.052612,-0.992371,-0.328857,7.357808051404106,83.12974814408926,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092789553524,0.182927,0.426829,0.426829,-0.054321,-0.989624,-0.33075,7.383249525969092,82.70625191933675,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092794493524,0.121951,0.365854,0.487805,-0.052307,-0.989929,-0.329224,7.407572096242745,82.28272235989914,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092799433524,0.060976,0.304878,0.670732,-0.05658,-0.989624,-0.32782,7.433468862763277,81.85931800132482,,,,,
13dfe516-75dd-4f4a-9723-a4a58f985360,dee25439-b981-4b63-9edc-b54b3ec6ef72,1702287092804373524,-0.0,0.243902,0.792683,-0.057068,-0.995117,-0.326294,7.459209666167453,81.4359587579309,,,,,
