section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094161049958,-15.54878,-15.304878,-4.695122,-0.193359,-0.944336,-0.419312,7.010111251739545,89.50406922299226,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094165989958,-15.365854,-14.939025,-4.573171,-0.195251,-0.949402,-0.418945,7.021919875108324,89.00908519841585,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094170929958,-15.182927,-14.573171,-4.207317,-0.193176,-0.948486,-0.420471,7.034314761965987,88.5148437994705,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094175869958,-14.878049,-14.146341,-4.146341,-0.195251,-0.947266,-0.422729,7.04936059532227,88.0223360959128,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094180809958,-14.695123,-13.719513,-4.02439,-0.19342,-0.946228,-0.425476,7.0654258968282875,87.53065171859606,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094185749958,-14.695123,-13.109756,-3.719512,-0.192688,-0.942688,-0.424927,7.084153571758435,87.03905344917774,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094190689958,-14.512196,-12.804878,-3.353659,-0.192017,-0.944641,-0.42688,7.103648861901718,86.54838455482161,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094195629958,-14.45122,-12.195122,-2.865854,-0.193237,-0.943665,-0.429382,7.126520462827841,86.05827472217771,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094200569958,-14.390244,-11.646341,-2.439024,-0.19519,-0.939758,-0.42804,7.153059153449362,85.56886286413953,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094205509958,-14.390244,-11.097561,-2.256098,-0.192688,-0.936829,-0.433777,7.181241388706724,85.07947346268463,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094210449958,-14.390244,-10.731708,-2.073171,-0.194153,-0.939697,-0.432434,7.211387830993488,84.59037128720081,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094215389958,-14.45122,-10.182927,-1.707317,-0.195496,-0.940491,-0.433044,7.244613953956616,84.1013012763284,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094220329958,-14.390244,-9.512196,-1.463415,-0.192261,-0.94397,-0.432617,7.2794022425212574,83.61247273376341,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094225269958,-14.329268,-9.02439,-1.219512,-0.196045,-0.946716,-0.433533,7.317798071823944,83.12448248383248,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094230209958,-14.146341,-8.414635,-1.036585,-0.198242,-0.946899,-0.440186,7.359895584096762,82.63785214702483,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094235149958,-14.02439,-7.987805,-0.731707,-0.19397,-0.942383,-0.440369,7.402706300965036,82.15187144231555,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094240089958,-13.841464,-7.317073,-0.487805,-0.197083,-0.942871,-0.43811,7.450004905313222,81.6673707227526,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094245029958,-13.719513,-6.890244,-0.182927,-0.199463,-0.943787,-0.439392,7.500301527735502,81.18399747247713,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094249969958,-13.597561,-6.585366,-0.182927,-0.20343,-0.946899,-0.44165,7.553226537114739,80.70184446853614,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094254909958,-13.292684,-6.097561,-0.121951,-0.197998,-0.943176,-0.442444,7.606543323312508,80.22119202573981,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094259849958,-13.04878,-5.609756,-0.182927,-0.198425,-0.944885,-0.440247,7.662072317283446,79.74213377869876,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094264789958,-12.926829,-5.182927,-0.365854,-0.200012,-0.946411,-0.4422,7.719834104856005,79.26415223733397,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094269729958,-12.682927,-4.695122,-0.487805,-0.201233,-0.945801,-0.448547,7.780140645482987,78.78784880658031,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094274669958,-12.439025,-4.512195,-0.548781,-0.200317,-0.945984,-0.444275,7.840762388803569,78.31309629821305,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094279609958,-12.012196,-4.085366,-0.792683,-0.199768,-0.949585,-0.440308,7.902560576852892,77.84076827799112,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094284549958,-11.463415,-3.841464,-0.731707,-0.203369,-0.950623,-0.439514,7.966734986446738,77.37184108261312,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094289489958,-11.036586,-3.597561,-0.670732,-0.201843,-0.953308,-0.434082,8.031217487379848,76.90532325340627,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094294429958,-10.54878,-3.47561,-0.792683,-0.20166,-0.949951,-0.43634,8.096125001167309,76.44166559512803,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094299369958,-9.695122,-3.353659,-0.914634,-0.202332,-0.946777,-0.436829,8.161779801508317,75.98274542878721,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094304309958,-9.085366,-3.231707,-1.097561,-0.202942,-0.946655,-0.437744,8.227831500761738,75.5273030828285,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094309249958,-8.536586,-3.231707,-1.158537,-0.203796,-0.944641,-0.432312,8.294143912376484,75.07513055071959,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094314189958,-7.865854,-3.109756,-1.158537,-0.198853,-0.945557,-0.429749,8.35888161527481,74.62634680334529,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094319129958,-7.439024,-3.170732,-1.402439,-0.200623,-0.947815,-0.429932,8.423302852406096,74.18019785552363,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094324069958,-7.256098,-3.353659,-1.646341,-0.20343,-0.944397,-0.429504,8.487646436893584,73.73564004703013,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094329009958,-7.012195,-3.292683,-1.890244,-0.201721,-0.938232,-0.429138,8.55153297534551,73.29266584815497,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094333949958,-7.134147,-3.414634,-1.829268,-0.204773,-0.934814,-0.42749,8.616148785086551,72.84984520370952,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094338889958,-7.134147,-3.536585,-1.768293,-0.205933,-0.928101,-0.427979,8.681011066060648,72.40767518001704,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094343829958,-7.012195,-3.536585,-1.707317,-0.208496,-0.925415,-0.429626,8.746906095300176,71.9668007281843,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094348769958,-7.012195,-3.658537,-1.829268,-0.207458,-0.92749,-0.428894,8.81124487100351,71.5262744505502,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094353709958,-6.829268,-3.597561,-1.829268,-0.203064,-0.924805,-0.425232,8.874195921254938,71.08684462225943,,,,,
bcd3a4ad-d4e7-4cfd-9397-29f2fdd1d170,3ba5b0e5-18ce-444b-88be-aaa00a3362a2,1702288094358649958,-6.890244,-3.597561,-1.707317,-0.203674,-0.929199,-0.424011,8.93700501859081,70.64760186532988,,,,,
