section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212902302097,11.219512,-6.402439,-1.341463,-0.076111,-0.990173,0.239136,7.0011383795152256,89.62886735606094,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212907242097,11.829268,-6.219512,-1.280488,-0.079346,-0.986938,0.242004,7.0046899404663066,89.26088621556869,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212912182097,12.073171,-6.158537,-1.097561,-0.074341,-0.982361,0.244568,7.006560363530724,88.89399151674968,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212917122097,12.195122,-5.97561,-0.792683,-0.073486,-0.983093,0.247314,7.008991714703399,88.52772499442148,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212922062097,11.95122,-5.731708,-0.731707,-0.078613,-0.985779,0.249695,7.014795742649682,88.16049114141589,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212927002097,11.829268,-5.670732,-0.914634,-0.078674,-0.983154,0.250061,7.021012848098451,87.79275237009222,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212931942097,11.52439,-5.731708,-1.463415,-0.081116,-0.979736,0.252258,7.028024819386673,87.42370856311527,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212936882097,11.158537,-5.853659,-2.012195,-0.073914,-0.979492,0.250305,7.031163371847896,87.05272616398008,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212941822097,10.609756,-5.853659,-2.5,-0.074402,-0.974976,0.248291,7.0345255924003425,86.67919729097753,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212946762097,10.0,-5.914634,-2.865854,-0.080322,-0.971252,0.248047,7.040201511899284,86.3030306648202,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212951702097,9.207317,-5.731708,-2.743902,-0.071411,-0.973083,0.244812,7.042765364380102,85.92280307239253,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212956642097,8.231708,-5.487805,-2.439024,-0.069824,-0.973572,0.246399,7.045895130749784,85.53789447052503,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212961582097,7.317073,-5.243903,-1.890244,-0.065552,-0.976685,0.25061,7.048436779360571,85.14853840281665,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212966522097,6.707317,-4.878049,-1.463415,-0.065369,-0.977661,0.248596,7.052844246027888,84.7563900363192,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212971462097,6.097561,-4.329268,-1.158537,-0.069519,-0.982361,0.248474,7.061792119656417,84.36159242089923,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212976402097,5.609756,-4.207317,-1.036585,-0.071228,-0.975098,0.250488,7.072409019844287,83.96471989705742,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212981342097,5.182927,-3.963415,-0.914634,-0.070374,-0.971313,0.257568,7.084060757539163,83.56600088284085,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212986282097,4.512195,-3.780488,-0.853659,-0.069946,-0.963867,0.261719,7.096724293894766,83.16427028653447,,,,,
35e9c001-8ec7-47a8-a29c-0692e257babf,b1e62027-d7c7-4edd-8455-cb05413ff2a7,1702288212991222097,3.841464,-3.536585,-0.670732,-0.069275,-0.96405,0.258118,7.110380157715014,82.75951594659415,,,,,
