section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312746473718,-29.024391,-4.878049,1.646341,-0.172729,-0.881836,-0.48938,7.058176788119567,89.43678963470188,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312751413718,-28.780489,-4.329268,1.707317,-0.167236,-0.88623,-0.49115,7.116050013114602,88.87423896483801,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312756353718,-28.231709,-3.841464,1.402439,-0.167358,-0.897095,-0.490479,7.175319826248909,88.31428647533005,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312761293718,-27.865854,-3.170732,1.158537,-0.166809,-0.911499,-0.491394,7.23632191242578,87.75596614194575,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312766233718,-27.073172,-2.682927,0.670732,-0.160828,-0.925842,-0.486938,7.295797479227247,87.20102060703982,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312771173718,-25.487806,-2.378049,-0.182927,-0.160645,-0.937866,-0.479675,7.355467419658993,86.65387826133139,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312776113718,-23.414635,-2.256098,-0.853659,-0.165771,-0.949463,-0.473938,7.416698326610259,86.11736539272255,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312781053718,-20.670732,-2.256098,-1.829268,-0.170532,-0.960938,-0.476624,7.478529135536007,85.59476943204237,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312785993718,-17.317074,-2.256098,-2.865854,-0.168091,-0.970581,-0.482056,7.538022311291684,85.08861857911319,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312790933718,-13.780488,-2.378049,-3.902439,-0.16803,-0.968628,-0.487732,7.596285362737149,84.60012880879117,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312795873718,-10.365854,-2.682927,-4.939024,-0.167664,-0.967468,-0.48877,7.652172472381608,84.12867162023758,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312800813718,-6.95122,-2.682927,-5.731708,-0.165527,-0.963684,-0.490967,7.706697089102249,83.67416675769834,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312805753718,-3.963415,-2.682927,-6.280488,-0.159607,-0.954651,-0.496521,7.7587532425447705,83.23432320827555,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312810693718,-1.341463,-2.439024,-6.768293,-0.160278,-0.94751,-0.504333,7.812081304420985,82.80775371259875,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312815633718,0.792683,-2.012195,-7.134147,-0.155212,-0.949036,-0.506409,7.864727336623275,82.39158810630784,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312820573718,2.560976,-1.829268,-7.865854,-0.151978,-0.947815,-0.511902,7.916157886056311,81.98414818810693,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312825513718,4.146341,-1.463415,-8.658537,-0.156189,-0.945374,-0.520142,7.970271023112929,81.58500494301569,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312830453718,5.426829,-1.036585,-9.390244,-0.154846,-0.938965,-0.527283,8.025374092221796,81.19233473975828,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312835393718,6.402439,-0.792683,-10.182927,-0.154236,-0.934875,-0.525269,8.08065157769613,80.80465923164837,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312840333718,7.256098,-0.426829,-10.792684,-0.157349,-0.927734,-0.521973,8.138516212634187,80.42166362999171,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312845273718,7.804878,0.0,-11.280488,-0.156006,-0.918396,-0.522827,8.197661786246329,80.04157392863578,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312850213718,8.04878,0.121951,-11.158537,-0.155334,-0.910461,-0.521057,8.25729411826751,79.66298572781989,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312855153718,8.414635,0.548781,-11.280488,-0.157166,-0.908508,-0.519226,8.31930098446179,79.28657935093298,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312860093718,8.536586,1.158537,-11.097561,-0.154175,-0.903992,-0.515503,8.383046053578767,78.91088597772102,,,,,
b460d5f9-727a-44a3-86de-8dc9f6fb71db,4b4fabcc-335e-458a-ae28-ebcde5558044,1702288312865033718,8.963415,1.585366,-10.731708,-0.156738,-0.901855,-0.50531,8.449969465193334,78.53780580553018,,,,,
