section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1,1702288409005494797,1702288409113536797,108,625.245,1051.892,7.209979478777881,-38.60365679017527
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,2,1702288409473511797,1702288409549628797,76,389.261,443.823,-11.715818284510489,7.179141444993224
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,3,1702288409573396797,1702288409945388797,371,369.854,452.121,-13.16717526386231,6.54851712269318
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,4,1702288410281355797,1702288411001528797,720,724.79,1030.56,15.847065893971854,-36.67163557601324
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,5,1702288411021610797,1702288412089401797,1067,676.096,1023.193,11.499330336328628,-36.27190351890441
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,6,1702288412129414797,1702288412477399797,347,637.478,1040.321,8.227634029416764,-37.68468420937485
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,7,1702288412597415797,1702288412737397797,139,614.989,1075.171,6.418799569494579,-40.43167703278216
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,8,1702288412765397797,1702288412865389797,99,608.466,1128.603,6.1366011136559075,-44.64785521704262
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,9,1702288412949491797,1702288413249651797,300,755.457,1047.163,18.787396768344582,-37.80630129667273
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,10,1702288413285378797,1702288413573358797,287,719.873,1017.682,15.267447769055373,-35.708001099059025
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,11,1702288413693361797,1702288413897343797,203,475.624,963.13,-5.805553942676224,-31.809043169471952
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,12,1702288413945366797,1702288414325378797,380,476.279,964.31,-5.754621259170145,-31.899708886267394
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,13,1702288414345372797,1702288414409387797,64,488.297,916.358,-4.618696601605266,-28.271317708499115
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,14,1702288414465475797,1702288414581433797,115,705.409,959.466,13.479001964049743,-31.337886284335124
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,15,1702288414613372797,1702288414873386797,260,717.274,1014.612,15.007554628118246,-35.48360805443732
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,16,1702288414925397797,1702288415245397797,320,532.458,974.455,-1.0355135506290303,-32.7166587660661
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,17,1702288415313402797,1702288415729389797,415,753.84,925.864,17.213912980803265,-28.65570792344396
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,18,1702288415789394797,1702288416137375797,347,569.819,876.485,2.0191456709975424,-25.27565729786809
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,19,1702288416257355797,1702288417281437797,1024,618.999,1056.704,6.677653969539296,-38.98803382910024
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,20,1702288417305418797,1702288417581390797,275,621.62,1058.023,6.920727836004423,-39.08573817426153
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,21,1702288417801372797,1702288417865439797,64,664.529,822.732,9.426798782417682,-21.139327619639193
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,22,1702288417897529797,1702288418025404797,127,618.624,845.708,5.865776976388794,-22.92158719126276
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,23,1702288418157404797,1702288418361394797,203,647.6,1065.76,9.318538683190855,-39.630513927333034
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,24,1702288418521449797,1702288418805395797,283,637.362,838.861,7.333027164958819,-22.38627806817119
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,25,1702288418837385797,1702288418925406797,88,562.678,849.182,1.4289044391734125,-23.217490798915176
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,26,1702288418977417797,1702288419041390797,63,724.079,877.486,14.421869608502696,-25.123041560082427
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,27,1702288419065502797,1702288419229398797,163,698.075,887.742,12.38819291095378,-25.954766280382618
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,28,1702288419257395797,1702288419337394797,79,670.744,864.717,10.078136927005884,-24.28044053799057
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,29,1702288419397405797,1702288419569396797,171,521.905,849.071,-1.8104911463494167,-23.207738560775294
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,30,1702288419621408797,1702288419769381797,147,556.966,846.585,0.9740406550251463,-23.02286472945596
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,31,1702288419925471797,1702288420297398797,371,603.874,1023.37,5.1804373082810065,-36.434209106076345
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,32,1702288420357473797,1702288420693432797,335,552.617,997.538,0.6810782213864616,-34.484694727388785
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,33,1702288420909404797,1702288420973508797,64,761.645,872.701,17.40680428392151,-24.660949420315816
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,34,1702288421001395797,1702288421185545797,184,719.191,920.741,14.322881851828463,-28.37962147639794
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,35,1702288421245448797,1702288421321385797,75,496.91,877.155,-3.8410589886164432,-25.314066621788758
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,36,1702288421345405797,1702288421781394797,435,538.499,865.587,-0.49544546212819446,-24.457042335266202
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,37,1702288421857399797,1702288421949414797,92,549.39,1034.184,0.41481759225119025,-37.307024799562235
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,38,1702288421981397797,1702288422125400797,144,574.709,1068.418,2.724876842002797,-39.95455792878841
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,39,1702288422261386797,1702288422461387797,200,602.946,860.995,4.650409076678852,-24.087142620481092
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,40,1702288422481494797,1702288422545394797,63,629.127,890.648,6.828757986507382,-26.296548779460895
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,41,1702288422665456797,1702288422753404797,87,561.898,866.284,1.3765530027342203,-24.507788901426327
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,42,1702288422841389797,1702288422933397797,92,714.686,870.237,13.623530441496937,-24.603697237523832
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,43,1702288422961391797,1702288423037363797,75,698.958,831.378,12.173115025494571,-21.729228189813377
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,44,1702288423149407797,1702288423237378797,87,517.25,905.116,-2.2349404605218175,-27.439640590722295
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,45,1702288423269377797,1702288423357371797,87,556.246,880.714,0.9301590647322121,-25.59873356539381
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,46,1702288423529499797,1702288423601386797,71,579.138,1063.937,3.1148605232624424,-39.6019021249716
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,47,1702288423621424797,1702288424177427797,556,549.528,1053.76,0.43377167137477535,-38.8241616426645
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,48,1702288424209435797,1702288424297468797,88,508.183,1044.105,-3.2470990141546068,-38.05990514153975
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,49,1702288424425426797,1702288424521403797,95,743.982,841.955,15.789338670490494,-22.419406242664422
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,50,1702288424561425797,1702288424869398797,307,726.971,946.19,15.169855373146197,-30.27054132407257
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,51,1702288424933404797,1702288425113405797,180,532.824,1034.387,-1.0473952700958873,-37.32137015991658
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,52,1702288425301396797,1702288425417478797,116,581.673,805.886,2.892342765347404,-19.950658722331003
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,53,1702288425445614797,1702288425617378797,171,567.326,851.44,1.7998033451029047,-23.38651120737956
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,54,1702288425689407797,1702288425777414797,88,630.462,762.282,6.621453878763992,-16.64416248884248
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,55,1702288425909395797,1702288426365608797,456,627.681,1062.597,7.494857699072814,-39.42933898716021
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,56,1702288426425468797,1702288426701425797,275,762.022,896.329,17.62503021863081,-26.42102502520721
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,57,1702288426809484797,1702288427089388797,279,564.732,843.807,1.5887657424376858,-22.811745227800266
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,58,1702288427149573797,1702288427697510797,547,599.026,1013.05,4.720273693973684,-35.64593104001794
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,59,1702288427789398797,1702288428145376797,355,596.714,798.057,4.058419981979016,-19.35430051486086
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,60,1702288428225396797,1702288428385381797,159,608.059,987.464,5.408861769557362,-33.67338146750873
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,61,1702288428409407797,1702288428669395797,259,628.834,983.405,7.162966735437672,-33.333110334211284
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,62,1702288428849407797,1702288428949425797,100,741.842,812.423,15.453817865839179,-20.225313454766322
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,63,1702288428973444797,1702288429089418797,115,710.065,850.34,13.14457203334806,-23.12514874245928
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,64,1702288429149404797,1702288429261435797,112,597.278,1005.109,4.542783472158237,-35.03791673424391
