section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288409980875797,2.5,12.5,5.487805,-0.119446,-0.943237,0.2453,7.115592785920512,89.58795170471336,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288409985815797,1.95122,13.292684,6.097561,-0.11554,-0.940491,0.24353,7.233608866097114,89.17306276791834,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288409990755797,1.585366,14.146341,6.768293,-0.114929,-0.946106,0.241394,7.355386020392245,88.7563971916478,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288409995695797,1.097561,15.121951,7.378049,-0.110291,-0.950867,0.237549,7.479813142401497,88.33718089693599,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410000635797,0.792683,16.036585,7.5,-0.105774,-0.952393,0.235168,7.6067549181412915,87.91636378672928,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410005575797,0.487805,17.134148,7.439024,-0.105469,-0.95459,0.227478,7.738917228806656,87.49416404626777,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410010515797,0.121951,18.475611,7.378049,-0.101807,-0.954407,0.220886,7.87609330495485,87.0701481869898,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410015455797,-0.243902,20.0,7.317073,-0.096924,-0.947449,0.217957,8.018888466168562,86.64430948162499,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410020395797,-0.97561,21.95122,7.560976,-0.092529,-0.951111,0.213623,8.169196006993928,86.21486278810164,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410025335797,-1.829268,23.963415,7.865854,-0.090576,-0.952454,0.205017,8.328543922602364,85.7813522527673,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410030275797,-2.987805,26.280489,8.109756,-0.087219,-0.953125,0.189453,8.4978435075667,85.34223282352838,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410035215797,-4.268293,28.963415,8.231708,-0.087219,-0.952209,0.178894,8.680365131888408,84.89703421670214,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410040155797,-5.54878,31.890245,8.109756,-0.086975,-0.950684,0.170288,8.877050933442035,84.44571237467858,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410045095797,-7.012195,35.365856,8.597561,-0.077698,-0.947205,0.155334,9.086874629198576,83.98712332560763,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410050035797,-8.658537,39.695122,9.02439,-0.074585,-0.941528,0.139221,9.31685278001325,83.52058428316138,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410054975797,-10.54878,44.268295,9.45122,-0.074097,-0.945068,0.121094,9.569056043093497,83.04494405397787,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410059915797,-12.439025,49.146343,10.0,-0.074158,-0.9552,0.1073,9.84497874385599,82.56020019886466,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410064855797,-14.329268,54.573174,10.182927,-0.074585,-0.958618,0.094177,10.147392849529268,82.06623795166195,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410069795797,-16.707317,60.304878,10.243902,-0.0755,-0.952087,0.079285,10.478190226662235,81.56057307533956,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410074735797,-19.45122,66.524391,10.426829,-0.073853,-0.955078,0.07312,10.838054453398286,81.04119362996403,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410079675797,-22.439024,72.987808,10.609756,-0.078552,-0.955078,0.064758,11.23101212290723,80.50697344997656,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410084615797,-25.487806,79.756096,10.365854,-0.083435,-0.95343,0.054565,11.658192232579466,79.95728688721186,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410089555797,-28.353659,86.768295,10.060976,-0.085876,-0.960449,0.045715,12.119015974136659,79.39263824033787,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410094495797,-31.280489,94.268295,9.45122,-0.091064,-0.964905,0.040466,12.61646307069907,78.8123530047231,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410099435797,-33.963417,101.707321,8.902439,-0.095703,-0.965942,0.032532,13.149900157514253,78.21727850264051,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410104375797,-36.646343,109.756104,8.658537,-0.097778,-0.966309,0.022461,13.721188934021342,77.60696094177024,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410109315797,-39.634148,117.743904,8.292683,-0.104065,-0.969238,0.01062,14.331321744684146,76.9794881178762,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410114255797,-42.378048,125.853661,7.987805,-0.113892,-0.973145,0.015259,14.98123754924751,76.33560726420484,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410119195797,-44.7561,134.207321,7.865854,-0.124756,-0.980896,0.012268,15.672321010629872,75.67658015175274,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410124135797,-46.890244,142.439026,7.073171,-0.137695,-0.987061,0.006226,16.40364951274219,75.00249590891173,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410129075797,-48.475613,150.548782,6.402439,-0.158203,-0.989319,-0.005981,17.177828030319944,74.31579268740018,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410134015797,-49.878052,158.536591,5.792683,-0.170776,-0.984741,-0.017883,17.99081486118118,73.6160678947166,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410138955797,-51.585365,166.707321,5.914634,-0.188721,-0.973633,-0.036194,18.8470253164613,72.90190448186397,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410143895797,-53.292683,174.817078,6.768293,-0.210144,-0.963928,-0.049255,19.74773513492559,72.173270377822,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410148835797,-55.060978,182.743912,7.743903,-0.226685,-0.962158,-0.059692,20.688778496852365,71.42837256088268,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410153775797,-57.134148,190.304886,8.841464,-0.23938,-0.972839,-0.074219,21.66540859711634,70.66409230768039,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410158715797,-59.207317,197.439026,9.695122,-0.258789,-0.976135,-0.08429,22.677569629500198,69.87970582755628,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410163655797,-61.280491,203.841461,10.365854,-0.280029,-0.984863,-0.096191,23.72088543599733,69.07387777679537,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410168595797,-63.292683,210.060974,10.609756,-0.299805,-0.991821,-0.103638,24.792071984222616,68.2446264749129,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410173535797,-65.121956,215.487808,10.0,-0.315735,-1.005981,-0.108521,25.882342580507753,67.38950381034385,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410178475797,-66.890244,220.487808,8.780488,-0.332886,-1.026489,-0.105652,26.986364900942874,66.50588437408854,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410183415797,-68.170731,224.878052,6.890244,-0.345093,-1.048218,-0.105896,28.097016834011782,65.59274287014642,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410188355797,-69.085365,228.536591,4.634146,-0.365112,-1.068359,-0.103149,29.211375753800553,64.65040108667,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410193295797,-69.512199,231.768295,2.134146,-0.38031,-1.080811,-0.095825,30.324309596944204,63.67856192799567,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410198235797,-69.268295,234.268295,-0.426829,-0.39325,-1.095825,-0.088013,31.429683016846155,62.678453053076225,,,,,
5fbad214-3392-405c-9406-8e52f1ed12a0,cab42bef-1266-4f2d-9f01-16a087d0ae1a,1702288410203175797,-68.414635,236.280487,-3.353659,-0.407227,-1.103455,-0.083008,32.52446581352601,61.65111959225584,,,,,
