section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1,1702288652632777786,1702288653020780786,388,612.126,564.931,5.058663206209669,-1.8565995180146242
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,2,1702288653048849786,1702288653232790786,183,574.601,560.195,2.24329494619382,-1.502993511711019
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,3,1702288653252789786,1702288653912765786,659,617.429,536.691,5.454443306979444,0.26043009595476957
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,4,1702288653972790786,1702288654208841786,236,493.69,512.294,-3.8266121086964016,2.0906628314198876
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,5,1702288654240829786,1702288655096785786,855,495.909,526.224,-3.658923439292454,1.0459478453608655
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,6,1702288655168779786,1702288655856799786,688,460.896,454.607,-6.3097232805852395,6.408093876630384
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,7,1702288655932822786,1702288656120796786,187,493.56,514.275,-3.8361154523838517,1.9420758476964257
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,8,1702288656156809786,1702288656256860786,100,477.328,485.46,-5.060219671856762,4.100653195902244
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,9,1702288656288834786,1702288656360834786,72,483.276,543.455,-4.606002428509579,-0.24660683115457108
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,10,1702288656620785786,1702288656732812786,112,604.796,618.178,4.523146318777539,-5.850454902132091
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,11,1702288657008810786,1702288657224792786,215,498.193,524.721,-3.4877285819957806,1.1587681845845268
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,12,1702288657476805786,1702288657548763786,71,506.501,741.979,-2.9334832658466525,-15.147240532294452
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,13,1702288657624768786,1702288657780815786,156,551.743,462.862,0.5302644288526153,5.80206305876918
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,14,1702288657892824786,1702288658192790786,299,718.972,470.145,13.103879162639476,5.208322687260451
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,15,1702288658212792786,1702288658676979786,464,725.661,515.942,13.574285346589972,1.7999010278441332
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,16,1702288659008799786,1702288659680924786,672,490.61,818.721,-4.248633248110966,-20.906890818835624
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,17,1702288659776762786,1702288659952789786,176,596.475,440.312,3.9047585581206783,7.488147160353039
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,18,1702288659976792786,1702288660128841786,152,563.008,458.489,1.378458463005024,6.1296561965508385
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,19,1702288660193204786,1702288660296845786,103,785.878,492.494,18.10964310661254,3.5165810543045257
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,20,1702288660356807786,1702288660520783786,163,666.952,712.784,9.32882044267625,-12.905221764395348
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,21,1702288660612839786,1702288660776859786,164,669.289,499.416,9.35149813477211,3.044432112941784
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,22,1702288660996875786,1702288661252883786,256,493.207,861.493,-4.11105895639686,-24.12976439154681
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,23,1702288661284795786,1702288662208821786,924,531.295,839.41,-1.0605634395199202,-22.481799496644697
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,24,1702288662280782786,1702288662469136786,188,620.82,480.984,5.71963094524542,4.434458374780379
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,25,1702288662500944786,1702288662688763786,187,575.716,451.071,2.3366216660738655,6.684986128776918
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,26,1702288662760802786,1702288663029134786,268,744.681,566.757,15.003201202159536,-1.9749529522813714
