section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653793195786,-0.0,-0.060976,0.304878,-0.04834,-0.955139,-0.436829,7.021328330893851,89.5727325501648,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653798135786,-0.121951,-0.182927,0.121951,-0.049438,-0.954651,-0.433838,7.042551790073958,89.1449117728472,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653803075786,-0.304878,-0.182927,-0.060976,-0.049072,-0.953003,-0.436279,7.063630426178349,88.71622651674534,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653808015786,-0.670732,-0.304878,-0.243902,-0.052063,-0.950134,-0.432861,7.085463757458086,88.28587515184932,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653812955786,-0.731707,-0.609756,-0.304878,-0.051331,-0.952759,-0.433899,7.1053716542164125,87.85529074463216,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653817895786,-0.97561,-0.609756,-0.487805,-0.048584,-0.950806,-0.435608,7.12404630572928,87.42354884444097,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653822835786,-1.158537,-0.548781,-0.487805,-0.047729,-0.950928,-0.434875,7.142602945301974,86.99101448191863,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653827775786,-1.402439,-0.731707,-0.548781,-0.049316,-0.950623,-0.435547,7.160899973678795,86.5574603373147,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653832715786,-1.646341,-0.731707,-0.426829,-0.050781,-0.948914,-0.438049,7.179865034865998,86.12290744733093,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653837655786,-1.707317,-0.670732,-0.365854,-0.049194,-0.949097,-0.436096,7.198411093993315,85.6882054615727,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653842595786,-1.829268,-0.792683,-0.609756,-0.047546,-0.949524,-0.441956,7.2154921259100036,85.25306475030743,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653847535786,-1.829268,-0.792683,-0.792683,-0.047424,-0.952881,-0.443909,7.232313765502312,84.81813583648432,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653852475786,-2.134146,-0.731707,-1.097561,-0.05072,-0.952271,-0.443481,7.2506575698836,84.38200504039611,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653857415786,-2.256098,-0.792683,-1.158537,-0.052124,-0.953003,-0.443848,7.26917651062206,83.9455546795769,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653862355786,-2.5,-0.97561,-1.280488,-0.050049,-0.952942,-0.444092,7.285765571897997,83.50811850944223,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653867295786,-2.621951,-1.036585,-1.402439,-0.046936,-0.953674,-0.449036,7.3005559829088895,83.07029118691844,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653872235786,-2.5,-1.036585,-1.158537,-0.049011,-0.953003,-0.442749,7.316295721027473,82.63341608614382,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653877175786,-2.439024,-0.914634,-1.219512,-0.048706,-0.953003,-0.442749,7.332376780819573,82.19714319049444,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653882115786,-2.439024,-0.97561,-1.280488,-0.045654,-0.953247,-0.443115,7.346738453662169,81.7611278530282,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653887055786,-2.378049,-1.036585,-1.52439,-0.049988,-0.956238,-0.444275,7.362286637929969,81.32582662683922,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653891995786,-2.439024,-1.097561,-1.768293,-0.046448,-0.954407,-0.449646,7.3758064345111904,80.89048529710868,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653896935786,-2.317073,-1.036585,-2.073171,-0.046814,-0.954163,-0.442505,7.389427184120763,80.45610464147722,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653901875786,-2.439024,-1.036585,-2.195122,-0.046326,-0.95105,-0.447144,7.4026788684479925,80.02146966901284,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653906815786,-2.743902,-1.036585,-2.073171,-0.043396,-0.947144,-0.448975,7.414763583830421,79.5856511996302,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653911755786,-2.926829,-0.97561,-2.012195,-0.042786,-0.946289,-0.447571,7.4268374451047805,79.14930711624612,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653916695786,-2.804878,-0.853659,-1.890244,-0.043884,-0.944763,-0.447937,7.4399800194052546,78.71398349116214,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653921635786,-2.926829,-0.792683,-1.646341,-0.044861,-0.948364,-0.444397,7.4538761674166665,78.27849238003955,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653926575786,-3.04878,-0.853659,-1.52439,-0.043091,-0.951599,-0.44458,7.466703826265984,77.84278326512197,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653931515786,-3.04878,-0.792683,-1.707317,-0.044739,-0.951721,-0.444946,7.480199821483126,77.40751616151243,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653936455786,-3.04878,-0.914634,-1.768293,-0.048279,-0.949402,-0.44458,7.4944219652767,76.97274336525095,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653941395786,-2.987805,-0.97561,-1.707317,-0.046021,-0.945679,-0.444946,7.507454286551024,76.53866307182136,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653946335786,-2.987805,-1.036585,-1.585366,-0.04126,-0.952087,-0.444092,7.518166067246682,76.1049470042127,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653951275786,-3.04878,-1.097561,-1.585366,-0.043884,-0.953003,-0.444336,7.529525854174267,75.67142291564642,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653956215786,-2.926829,-1.158537,-1.768293,-0.047241,-0.954895,-0.442261,7.541580123776555,75.23901433409958,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653961155786,-2.987805,-1.280488,-1.768293,-0.042725,-0.956543,-0.440735,7.5510932773240995,74.8066885700286,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653966095786,-2.926829,-1.402439,-1.707317,-0.042725,-0.956787,-0.446106,7.559986102475193,74.37511509629911,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653971035786,-3.04878,-1.402439,-1.646341,-0.042358,-0.953674,-0.449646,7.568757463330911,73.9433888998663,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653975975786,-3.109756,-1.463415,-1.463415,-0.042664,-0.950439,-0.450806,7.577563772066924,73.51184043354425,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653980915786,-2.987805,-1.463415,-1.158537,-0.040039,-0.950012,-0.447998,7.5856637562904154,73.08135175716575,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653985855786,-2.682927,-1.463415,-1.158537,-0.041992,-0.952698,-0.449646,7.59440903843381,72.65287566676653,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653990795786,-2.743902,-1.402439,-1.219512,-0.042297,-0.95166,-0.451599,7.60340140101863,72.22457082083363,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288653995735786,-2.865854,-1.280488,-1.097561,-0.045349,-0.952637,-0.451294,7.614254156291139,71.79620678418615,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654000675786,-3.04878,-1.341463,-0.97561,-0.045959,-0.953552,-0.448242,7.62515328394997,71.3674621545278,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654005615786,-2.926829,-1.219512,-0.97561,-0.043762,-0.959839,-0.449585,7.635563852069623,70.93977592064925,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654010555786,-2.560976,-1.097561,-0.914634,-0.043701,-0.95929,-0.44989,7.64654654316476,70.51438754893428,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654015495786,-2.439024,-1.158537,-0.914634,-0.04541,-0.957764,-0.453064,7.657856685799004,70.09010435527972,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654020435786,-2.317073,-1.097561,-0.97561,-0.049194,-0.95636,-0.447449,7.6707778355558105,69.66701146593442,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654025375786,-2.256098,-1.097561,-0.97561,-0.044861,-0.957581,-0.444702,7.681908312059221,69.24466175096018,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654030315786,-2.317073,-1.280488,-1.097561,-0.04364,-0.954651,-0.438965,7.691482178333075,68.82251999602761,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654035255786,-2.378049,-1.402439,-0.914634,-0.047852,-0.957947,-0.433533,7.70233471129751,68.40071061662758,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654040195786,-2.378049,-1.585366,-1.036585,-0.047363,-0.9599,-0.43158,7.711827476096175,67.97941635128723,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654045135786,-2.256098,-2.012195,-0.914634,-0.048096,-0.955017,-0.43158,7.719896952718329,67.55925082701032,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654050075786,-2.012195,-2.378049,-0.731707,-0.05072,-0.954773,-0.42926,7.7276125170544105,67.1408827382968,,,,,
49a6bbd8-3caf-444c-bfec-c06866d03b32,d6c82b2b-aa31-45e4-8011-28077596f270,1702288654055015786,-1.829268,-2.743902,-0.670732,-0.05481,-0.95752,-0.426697,7.735268853898077,66.72404570198927,,,,,
