section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796820896372,449.54,589.107,1.0,,,-7.145774139148677,-3.664561980324885
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796820937372,458.158,581.855,1.0,,,-6.496164878393888,-3.122964394123496
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796828925372,458.982,582.744,1.0,,,-6.434615330379327,-3.1896290762818396
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796832918372,454.611,580.255,1.0,,,-6.761948663349352,-3.002553350557223
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796836912372,456.813,589.532,1.0,,,-6.599819715486125,-3.69780847523597
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796840910372,427.821,596.62,1.0,,,-8.780694190312557,-4.22171047102362
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796848901372,419.031,604.815,1.0,,,-9.446437131138104,-4.831665575718893
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796852916372,430.172,609.315,1.0,,,-8.612007817708887,-5.171828640681366
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796856929372,438.069,611.104,1.0,1,,-8.019382982322554,-5.308311236155461
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796860929372,441.551,607.004,1.0,1,,-7.755029800989811,-5.002498257896598
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796868890372,447.174,604.783,1.0,1,,-7.331050770159427,-4.837789777927635
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796872834372,433.068,601.754,1.0,1,,-8.389432577736873,-4.607183039503735
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796876821372,435.983,604.665,1.0,1,,-8.172165803949493,-4.825828011811699
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796880856372,443.735,600.102,1.0,1,,-7.586952948776555,-4.486479730041949
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796888792372,447.811,612.268,1.0,1,,-7.287453782180795,-5.39836684373323
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796892886372,451.628,625.17,1.0,1,,-7.008584125076988,-6.365737512540165
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796896931372,453.245,629.046,1.0,1,,-6.88945564502201,-6.65660918271636
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796900835372,448.731,626.18,1.0,1,,-7.227456265576939,-6.440395198168662
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796908847372,444.599,606.529,1.0,1,,-7.5255609101742476,-4.967788863045971
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796912924372,442.252,608.919,1.0,1,,-7.703462418740155,-5.145995531767727
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796916824372,431.611,615.447,1.0,1,,-8.508208289075672,-5.63104410467638
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796920832372,436.644,605.861,1.0,1,,-8.123219078771536,-4.915505397213723
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796928818372,431.035,617.506,1.0,1,,-8.553024549434843,-5.784818224451733
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796932852372,441.47,614.011,1.0,1,,-7.765475537986876,-5.526923919102884
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796936824372,459.412,616.712,1.0,1,,-6.417372252202247,-5.734570233140794
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796940858372,461.572,615.724,1.0,1,,-6.254312364768002,-5.661150215528224
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796948851372,465.265,622.342,1.0,1,,-5.980035885356791,-6.15802295511869
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796952821372,459.55,617.853,1.0,1,,-6.407603817952263,-5.8201027202697135
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796956838372,460.279,629.069,1.0,1,,-6.35960777901641,-6.6606542539092235
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796960808372,457.358,628.138,1.0,1,,-6.57906017974094,-6.589953769408723
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796969934372,457.61,618.169,1.0,1,,-6.553768012374826,-5.843201945470097
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796972898372,465.769,617.998,1.0,1,,-5.939696734378301,-5.832605073049557
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796976903372,467.854,614.682,1.0,1,,-5.78113916992697,-5.5846008816900286
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796980895372,465.462,615.024,1.0,1,,-5.961265231637813,-5.609695286870051
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796988920372,452.185,622.862,1.0,1,,-6.965100939695186,-6.193069286408142
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796992910372,463.875,620.341,1.0,1,,-6.083560320724751,-6.007722164858857
0aeec839-8bc6-4731-82d4-e54f0a3430a8,564db537-9781-4e6e-b526-ff3507e1a6ab,1702288796996976372,451.417,618.03,1.0,1,,-7.019713636832266,-5.830931658425007
